date,open,high,low,adjClose,value,volume,count,close
2001-04-11,1107.0,1107.0,1107.0,1107.0,154980,140,2,1107.0
2001-05-30,2000.0,2000.0,2000.0,2000.0,23800000,11900,2,2000.0
2001-08-01,2100.0,2100.0,2100.0,2100.0,2954700,1407,2,2100.0
2001-08-27,4500.0,8000.0,4000.0,4000.0,2149702400,345500,112,4000.0
2001-08-29,4200.0,4200.0,4200.0,4200.0,4200000,1000,1,4200.0
2001-09-01,4410.0,4410.0,4410.0,4410.0,4410000,1000,1,4410.0
2001-09-02,4630.0,4630.0,4630.0,4630.0,4630000,1000,1,4630.0
2001-09-03,4861.0,4861.0,4861.0,4861.0,4861000,1000,4,4861.0
2001-09-10,5104.0,5104.0,5104.0,5104.0,3246144,636,1,5104.0
2001-09-12,5359.0,5359.0,5359.0,5359.0,5359000,1000,5,5359.0
2001-09-16,5626.0,5626.0,5626.0,5626.0,6188600,1100,5,5626.0
2001-09-17,5907.0,5907.0,5907.0,5907.0,5907000,1000,1,5907.0
2001-09-19,6202.0,6202.0,6202.0,6202.0,6202000,1000,1,6202.0
2001-09-24,6512.0,6512.0,6512.0,6512.0,6512000,1000,2,6512.0
2001-09-30,6674.0,6674.0,6674.0,6674.0,3337000,500,2,6674.0
2001-10-02,6840.0,6840.0,6840.0,6840.0,172190160,25174,33,6840.0
2001-10-08,7011.0,7011.0,7011.0,7011.0,11098413,1583,1,7011.0
2001-10-10,7186.0,7186.0,7186.0,7186.0,9528636,1326,5,7186.0
2001-10-13,7170.0,7186.0,7012.0,7186.0,356550180,49680,35,7186.0
2001-10-14,7186.0,7192.0,7012.0,7192.0,25668870,3585,15,7192.0
2001-10-16,7192.0,7192.0,7192.0,7192.0,7192000,1000,2,7192.0
2001-10-17,7371.0,7371.0,7371.0,7371.0,14520870,1970,5,7371.0
2001-10-21,7555.0,7555.0,7555.0,7555.0,12072890,1598,2,7555.0
2001-10-22,7630.0,7630.0,7630.0,7630.0,8560860,1122,2,7630.0
2001-10-23,7701.0,7701.0,7701.0,7701.0,7701000,1000,1,7701.0
2001-10-28,7703.0,7703.0,7703.0,7703.0,2773080,360,2,7703.0
2001-10-29,7780.0,7780.0,7703.0,7703.0,180110886,23162,11,7703.0
2001-10-31,7703.0,7703.0,7703.0,7703.0,2310900,300,1,7703.0
2001-11-05,7707.0,7707.0,7706.0,7706.0,23120000,3000,2,7706.0
2001-11-06,7706.0,7706.0,7706.0,7706.0,11790180,1530,1,7706.0
2001-11-07,7706.0,7706.0,7706.0,7706.0,16722020,2170,2,7706.0
2001-11-10,7651.0,7651.0,7651.0,7651.0,104244875,13625,30,7651.0
2001-11-11,7700.0,7727.0,7700.0,7727.0,114468340,14840,2,7727.0
2001-11-12,7804.0,7804.0,7804.0,7804.0,63212400,8100,4,7804.0
2001-11-13,7882.0,7882.0,7882.0,7882.0,3901590,495,3,7882.0
2001-11-18,7882.0,7960.0,7882.0,7960.0,24147680,3035,8,7960.0
2001-11-19,8039.0,8039.0,8039.0,8039.0,94860200,11800,9,8039.0
2001-11-20,8119.0,8119.0,8119.0,8119.0,8119000,1000,1,8119.0
2001-11-21,8200.0,8200.0,8200.0,8200.0,53628000,6540,9,8200.0
2001-11-24,8282.0,8282.0,8282.0,8282.0,149076000,18000,4,8282.0
2001-11-25,8282.0,8282.0,8200.0,8200.0,108743480,13140,8,8200.0
2001-11-26,8118.0,8118.0,8118.0,8118.0,28413000,3500,5,8118.0
2001-11-27,8037.0,8037.0,8037.0,8037.0,21941010,2730,4,8037.0
2001-12-01,7957.0,7957.0,7957.0,7957.0,3978500,500,2,7957.0
2001-12-02,7878.0,7878.0,7878.0,7878.0,4057170,515,2,7878.0
2001-12-09,7800.0,7800.0,7800.0,7800.0,2644200,339,2,7800.0
2001-12-10,7722.0,7722.0,7722.0,7722.0,7722000,1000,2,7722.0
2001-12-11,7530.0,7722.0,7530.0,7722.0,7887660,1022,3,7722.0
2001-12-12,7530.0,7532.0,7530.0,7532.0,48565239,6449,16,7532.0
2001-12-17,7536.0,7536.0,7536.0,7536.0,9043200,1200,2,7536.0
2001-12-23,7724.0,7724.0,7724.0,7724.0,8156544,1056,2,7724.0
2001-12-24,7800.0,7917.0,7800.0,7917.0,39156161,4995,7,7917.0
2001-12-25,7957.0,7957.0,7957.0,7957.0,7957000,1000,2,7957.0
2001-12-26,7958.0,7980.0,7958.0,7980.0,10180142,1277,6,7980.0
2001-12-29,8030.0,8030.0,8030.0,8030.0,21841600,2720,1,8030.0
2002-01-01,8110.0,8110.0,8110.0,8110.0,33753820,4162,11,8110.0
2002-01-02,8110.0,8110.0,8110.0,8110.0,12165000,1500,4,8110.0
2002-01-05,8110.0,8110.0,8110.0,8110.0,5190400,640,2,8110.0
2002-01-06,8191.0,8191.0,8111.0,8190.0,98887082,12134,16,8190.0
2002-03-30,8109.0,8190.0,8109.0,8190.0,16299000,2000,2,8190.0
2002-04-06,8271.0,8271.0,8271.0,8271.0,921612717,111427,386,8271.0
2002-04-07,8353.0,8353.0,8353.0,8353.0,2338840,280,2,8353.0
2002-04-08,8436.0,8436.0,8436.0,8436.0,195453684,23169,64,8436.0
2002-06-18,6210.0,10500.0,6210.0,6890.0,88046659,12937,21,6890.0
2002-06-23,7234.0,7234.0,7234.0,7234.0,113436354,15681,46,7234.0
2002-07-17,3000.0,3070.0,3000.0,3070.0,22621290,7497,8,3070.0
2002-07-28,3223.0,3223.0,3223.0,3223.0,1866117,579,3,3223.0
2002-07-30,3384.0,3384.0,3384.0,3384.0,15796512,4668,7,3384.0
2002-08-04,3560.0,3750.0,3560.0,3750.0,7120200,1920,2,3750.0
2002-09-15,3937.0,3937.0,3937.0,3937.0,3937000,1000,2,3937.0
2002-09-18,4133.0,4133.0,4133.0,4133.0,6199500,1500,3,4133.0
2002-10-01,4339.0,4339.0,4339.0,4339.0,8678000,2000,1,4339.0
2002-10-06,4555.0,4555.0,4555.0,4555.0,4555000,1000,2,4555.0
2002-10-08,4782.0,4782.0,4782.0,4782.0,4782000,1000,3,4782.0
2002-10-12,5021.0,5021.0,5021.0,5021.0,20084000,4000,3,5021.0
2002-10-13,5272.0,5272.0,5272.0,5272.0,4217600,800,1,5272.0
2002-10-14,5535.0,5535.0,5535.0,5535.0,5535000,1000,2,5535.0
2002-10-15,5811.0,5811.0,5811.0,5811.0,7455513,1283,1,5811.0
2002-10-16,6101.0,6101.0,6101.0,6101.0,5490900,900,3,6101.0
2002-10-19,6406.0,6406.0,5810.0,6400.0,56465427,9179,19,6400.0
2002-10-20,6400.0,6500.0,6250.0,6400.0,137026590,21170,13,6400.0
2002-10-21,6254.0,6265.0,6250.0,6262.0,17153340,2740,5,6262.0
2002-10-23,6300.0,6300.0,6300.0,6300.0,31500000,5000,2,6300.0
2002-10-27,6457.0,6457.0,6457.0,6457.0,15522628,2404,3,6457.0
2002-10-28,6500.0,6522.0,6500.0,6522.0,23891094,3667,4,6522.0
2002-11-04,7300.0,7300.0,7300.0,7300.0,7300000,1000,1,7300.0
2002-11-10,7665.0,7665.0,7665.0,7665.0,7665000,1000,2,7665.0
2002-11-12,8048.0,8048.0,8048.0,8048.0,8048000,1000,3,8048.0
2002-11-17,8450.0,8450.0,8450.0,8450.0,8450000,1000,3,8450.0
2002-11-20,8872.0,8872.0,8872.0,8872.0,62174976,7008,8,8872.0
2002-11-24,9315.0,9315.0,9315.0,9315.0,9315000,1000,2,9315.0
2002-11-25,9780.0,9780.0,9780.0,9780.0,43638360,4462,9,9780.0
2002-11-30,10269.0,10269.0,10269.0,10269.0,13442121,1309,2,10269.0
2002-12-02,10782.0,10782.0,10782.0,10782.0,22857840,2120,3,10782.0
2002-12-03,11321.0,11321.0,10782.0,10803.0,55355998,5104,7,10803.0
2002-12-04,10900.0,10900.0,10803.0,10809.0,121848280,11244,9,10809.0
2002-12-07,10804.0,10804.0,10804.0,10804.0,4959036,459,1,10804.0
2002-12-08,10800.0,10804.0,10790.0,10790.0,30653356,2839,8,10790.0
2002-12-09,10800.0,10800.0,10790.0,10800.0,37785000,3500,4,10800.0
2002-12-11,10804.0,10804.0,10803.0,10803.0,21682121,2007,4,10803.0
2002-12-17,10812.0,10815.0,10812.0,10815.0,29953650,2770,3,10815.0
2002-12-18,10809.0,10809.0,10809.0,10809.0,3826386,354,1,10809.0
2002-12-23,10830.0,10830.0,10299.0,10299.0,36106416,3494,3,10299.0
2002-12-24,10556.0,10556.0,10312.0,10556.0,307482504,29499,20,10556.0
2002-12-29,10819.0,10819.0,10819.0,10819.0,23801800,2200,5,10819.0
2002-12-31,11359.0,11359.0,11359.0,11359.0,91485386,8054,7,11359.0
2003-01-01,11359.0,11642.0,11080.0,11359.0,1549741683,133512,83,11359.0
2003-01-04,11440.0,11642.0,11252.0,11642.0,214075845,18835,35,11642.0
2003-01-05,11933.0,11933.0,11933.0,11933.0,28639200,2400,3,11933.0
2003-01-06,12231.0,12231.0,12231.0,12231.0,12231000,1000,2,12231.0
2003-01-07,12536.0,12536.0,12536.0,12536.0,398055608,31753,29,12536.0
2003-01-08,12849.0,12849.0,12849.0,12849.0,92628441,7209,8,12849.0
2003-01-11,13170.0,13170.0,13170.0,13170.0,602751390,45767,28,13170.0
2003-01-12,13170.0,13499.0,13170.0,13499.0,997342161,74638,28,13499.0
2003-01-14,13499.0,13525.0,13499.0,13501.0,406294856,30096,12,13501.0
2003-01-15,13500.0,13502.0,13500.0,13501.0,231764774,17167,11,13501.0
2003-01-18,13509.0,13515.0,13503.0,13507.0,270072496,19992,10,13507.0
2003-01-19,13507.0,13509.0,13507.0,13507.0,567688134,42027,26,13507.0
2003-01-20,13200.0,13497.0,13198.0,13497.0,308729233,22958,24,13497.0
2003-01-25,13160.0,13160.0,13160.0,13160.0,13344240,1014,3,13160.0
2003-01-26,13153.0,13153.0,13153.0,13153.0,1315300,100,1,13153.0
2003-01-27,13133.0,13133.0,13133.0,13133.0,3677240,280,1,13133.0
2003-01-29,12477.0,12477.0,12477.0,12477.0,12477000,1000,1,12477.0
2003-02-01,11854.0,11854.0,11854.0,11854.0,14224800,1200,2,11854.0
2003-02-02,11262.0,11262.0,11262.0,11262.0,56310000,5000,5,11262.0
2003-02-05,11262.0,11262.0,11262.0,11262.0,5631000,500,3,11262.0
2003-02-09,11259.0,11259.0,11259.0,11259.0,2364390,210,1,11259.0
2003-02-10,10890.0,10890.0,10890.0,10890.0,123568830,11347,3,10890.0
2003-02-15,10890.0,10890.0,10702.0,10707.0,50122980,4680,5,10707.0
2003-02-16,10708.0,10710.0,10707.0,10708.0,46131224,4308,10,10708.0
2003-02-17,10546.0,10546.0,10545.0,10546.0,20458240,1940,7,10546.0
2003-02-18,10550.0,10562.0,10550.0,10561.0,325750971,30847,23,10561.0
2003-02-22,10544.0,10561.0,10544.0,10561.0,54624680,5180,5,10561.0
2003-02-23,10300.0,10300.0,10200.0,10200.0,86384134,8426,6,10200.0
2003-02-25,10200.0,10200.0,10200.0,10200.0,13137600,1288,5,10200.0
2003-02-26,10200.0,10200.0,10200.0,10200.0,9588000,940,2,10200.0
2003-03-02,10002.0,10002.0,10002.0,10002.0,56771352,5676,3,10002.0
2003-03-11,11261.0,11262.0,10703.0,11262.0,329915740,30626,28,11262.0
2003-03-12,11824.0,11825.0,11300.0,11820.0,1532892906,130092,231,11820.0
2003-04-28,11680.0,11820.0,10000.0,11820.0,1990430080,187323,319,11820.0
2003-05-04,12411.0,12411.0,12411.0,12411.0,77407407,6237,16,12411.0
2003-05-05,13031.0,13031.0,12411.0,12411.0,559738184,43044,93,12411.0
2003-05-06,12411.0,12600.0,12411.0,12600.0,44702853,3575,12,12600.0
2003-05-07,12900.0,13210.0,12900.0,13210.0,186777426,14314,18,13210.0
2003-05-10,12555.0,13250.0,12555.0,13250.0,47474714,3647,12,13250.0
2003-05-11,13250.0,13253.0,12591.0,12591.0,210084871,15883,14,12591.0
2003-05-12,12500.0,12500.0,12399.0,12400.0,86786200,6997,7,12400.0
2003-05-13,12400.0,12401.0,12400.0,12400.0,27193222,2193,7,12400.0
2003-05-14,12400.0,12400.0,12400.0,12400.0,2765200,223,1,12400.0
2003-05-17,12400.0,12400.0,12400.0,12400.0,1984000,160,1,12400.0
2003-05-21,12383.0,12383.0,12383.0,12383.0,4953200,400,1,12383.0
2003-05-24,12200.0,12379.0,12200.0,12300.0,13379237,1085,7,12300.0
2003-05-25,12250.0,12290.0,12249.0,12249.0,53008000,4318,5,12249.0
2003-05-26,12000.0,12219.0,12000.0,12000.0,56742540,4700,5,12000.0
2003-05-31,11979.0,11990.0,11899.0,11978.0,33363263,2785,7,11978.0
2003-06-02,11881.0,11881.0,11881.0,11881.0,1984127,167,1,11881.0
2003-06-07,11870.0,11870.0,11870.0,11870.0,1958550,165,2,11870.0
2003-06-08,11863.0,11863.0,11863.0,11863.0,1186300,100,1,11863.0
2003-06-09,11600.0,11600.0,11600.0,11600.0,55413200,4777,4,11600.0
2003-06-10,11600.0,11600.0,11600.0,11600.0,1194800,103,1,11600.0
2003-06-11,11569.0,11569.0,11569.0,11569.0,2892250,250,1,11569.0
2003-06-14,11296.0,11297.0,11296.0,11297.0,4665381,413,2,11297.0
2003-06-22,10733.0,10733.0,10733.0,10733.0,10733000,1000,3,10733.0
2003-06-23,10730.0,10730.0,10730.0,10730.0,3004400,280,1,10730.0
2003-06-24,10300.0,10300.0,10200.0,10200.0,24365000,2375,3,10200.0
2003-06-25,10188.0,10200.0,10188.0,10200.0,90375560,8866,11,10200.0
2003-06-28,9690.0,9701.0,9690.0,9690.0,32379390,3341,8,9690.0
2003-06-29,9999.0,10000.0,9999.0,10000.0,64949916,6495,4,10000.0
2003-06-30,9500.0,9800.0,9500.0,9500.0,102051400,10643,7,9500.0
2003-07-01,9500.0,9500.0,9500.0,9500.0,12796500,1347,5,9500.0
2003-07-02,9500.0,9500.0,9500.0,9500.0,475000,50,1,9500.0
2003-07-05,9025.0,9025.0,9025.0,9025.0,84076900,9316,4,9025.0
2003-07-06,9025.0,9025.0,9025.0,9025.0,6091875,675,5,9025.0
2003-07-07,9100.0,9350.0,9100.0,9350.0,67684470,7329,9,9350.0
2003-07-08,9400.0,9495.0,9400.0,9495.0,12861870,1366,4,9495.0
2003-07-09,9495.0,9495.0,9495.0,9495.0,6437610,678,4,9495.0
2003-07-12,9495.0,9497.0,9495.0,9497.0,19684198,2073,4,9497.0
2003-07-13,9497.0,9600.0,9497.0,9600.0,201119100,20966,6,9600.0
2003-07-15,9600.0,9710.0,9600.0,9700.0,139781921,14486,8,9700.0
2003-09-09,5000.0,5000.0,5000.0,5000.0,5000000,1000,1,5000.0
2003-09-13,5000.0,5000.0,5000.0,5000.0,1315000,263,1,5000.0
2003-09-14,5000.0,5240.0,5000.0,5000.0,3772000,734,4,5000.0
2003-09-15,5003.0,5003.0,5001.0,5002.0,36498182,7296,7,5002.0
2003-09-17,5001.0,5001.0,5001.0,5001.0,30746148,6148,4,5001.0
2003-09-20,5000.0,5000.0,5000.0,5000.0,1480000,296,1,5000.0
2003-09-22,4999.0,5000.0,4999.0,4999.0,15927730,3186,7,4999.0
2003-09-27,4750.0,4791.0,4750.0,4791.0,30001410,6316,8,4791.0
2003-09-29,4791.0,4791.0,4791.0,4791.0,4958685,1035,1,4791.0
2003-10-06,4791.0,4791.0,4791.0,4791.0,23955000,5000,2,4791.0
2003-10-07,4791.0,5000.0,4791.0,4828.0,31543795,6525,4,4828.0
2003-10-11,5069.0,5069.0,5069.0,5069.0,44531165,8785,2,5069.0
2003-10-13,5322.0,5322.0,5085.0,5085.0,2711850,510,2,5085.0
2003-10-14,5339.0,5339.0,5339.0,5339.0,157724738,29542,18,5339.0
2003-10-15,5253.0,5304.0,5250.0,5304.0,15808240,3010,5,5304.0
2003-10-18,5304.0,5304.0,5304.0,5304.0,12427272,2343,3,5304.0
2003-10-19,5304.0,5304.0,5304.0,5304.0,15912000,3000,1,5304.0
2003-10-22,5298.0,5300.0,5298.0,5300.0,26499909,5001,6,5300.0
2003-10-25,5300.0,5300.0,5300.0,5300.0,2968000,560,1,5300.0
2003-10-26,5297.0,5299.0,5297.0,5299.0,3972770,750,2,5299.0
2003-10-29,5265.0,5350.0,5263.0,5290.0,171454935,32410,19,5290.0
2003-11-08,5290.0,5290.0,5288.0,5289.0,12245359,2315,4,5289.0
2003-11-11,5272.0,5287.0,5272.0,5287.0,2688870,510,2,5287.0
2003-11-22,5229.0,5285.0,5229.0,5285.0,1046360,200,2,5285.0
2003-11-23,5211.0,5216.0,5211.0,5212.0,62606504,12010,8,5212.0
2003-11-24,5027.0,5112.0,5027.0,5112.0,20436460,4065,5,5112.0
2003-11-29,5020.0,5097.0,5020.0,5097.0,6019750,1199,3,5097.0
2003-12-01,5018.0,5065.0,5018.0,5065.0,15107387,3010,4,5065.0
2003-12-02,5018.0,5058.0,5018.0,5058.0,5068580,1010,2,5058.0
2003-12-07,5006.0,5007.0,5006.0,5006.0,50111651,10010,6,5006.0
2003-12-08,4980.0,4992.0,4980.0,4992.0,24983751,5010,3,4992.0
2003-12-14,4986.0,4991.0,4986.0,4991.0,5011775,1005,3,4991.0
2004-01-10,4742.0,4990.0,4742.0,4990.0,287000,60,2,4990.0
2004-01-12,4741.0,5116.0,4741.0,4741.0,2582032849,510462,21,4741.0
2004-01-13,4747.0,4747.0,4741.0,4741.0,1376570,290,2,4741.0
2004-01-14,4950.0,4950.0,4760.0,4760.0,7185500,1452,3,4760.0
2004-01-18,4998.0,4998.0,4833.0,4833.0,23398986,4682,4,4833.0
2004-01-19,4998.0,4998.0,4760.0,4884.0,58882440,12020,8,4884.0
2004-01-25,4997.0,4998.0,4884.0,4893.0,9127274,1838,6,4893.0
2004-01-26,5002.0,5002.0,4896.0,4896.0,2344878,469,2,4896.0
2004-02-01,5140.0,5140.0,5100.0,5137.0,678744670,132123,19,5137.0
2004-02-04,5137.0,5137.0,5137.0,5137.0,5547960,1080,2,5137.0
