date,open,high,low,adjClose,value,volume,count,close
2019-12-16,29383.0,29393.0,29289.0,29367.0,170828043,5817,34,29339.0
2019-12-17,29335.0,29335.0,28705.0,29115.0,157077780,5395,82,29329.0
2019-12-18,28985.0,29242.0,28985.0,29242.0,600183545638,20524746,8,29127.0
2019-12-21,29324.0,30180.0,29324.0,29486.0,39806710,1350,4,30180.0
2019-12-22,30191.0,30452.0,30191.0,30370.0,374072265,12317,13,30450.0
2019-12-23,30400.0,30482.0,29638.0,30309.0,132146368,4360,20,30000.0
2019-12-24,30180.0,30237.0,30180.0,30232.0,4988250,165,2,30237.0
2019-12-25,30483.0,30695.0,30483.0,30585.0,229235878,7495,14,30695.0
2019-12-28,30700.0,30999.0,30366.0,30601.0,61201668,2000,7,30366.0
2019-12-29,30887.0,30887.0,30378.0,30781.0,60761668,1974,7,30554.0
2019-12-30,30626.0,31580.0,30626.0,31470.0,320202302,10175,15,31580.0
2019-12-31,31610.0,31610.0,30919.0,31083.0,3152631593,101427,6,30919.0
2020-01-01,31113.0,31655.0,31113.0,31329.0,54261136,1732,3,31635.0
2020-01-04,31507.0,32144.0,30383.0,31062.0,113531095,3655,14,30383.0
2020-01-05,30402.0,30958.0,30302.0,30491.0,4909068,161,4,30958.0
2020-01-07,30950.0,30950.0,29430.0,29955.0,261565080,8732,4,29430.0
2020-01-08,29561.0,29561.0,29539.0,29560.0,30594975,1035,3,29539.0
2020-01-11,30151.0,30151.0,29995.0,30148.0,945495510,31362,15,30151.0
2020-01-12,30435.0,31716.0,30435.0,31184.0,68043452,2182,10,31500.0
2020-01-13,31500.0,32963.0,31400.0,31762.0,413284896,13012,15,32963.0
2020-01-14,32271.0,32880.0,32861.0,32880.0,38206370,1162,6,32880.0
2020-01-15,33033.0,33737.0,33033.0,33684.0,366073991,10868,9,33737.0
2020-01-18,33677.0,34489.0,32970.0,34270.0,273987203,7995,18,33903.0
2020-01-19,34137.0,34435.0,33730.0,34053.0,159161723,4674,15,34435.0
2020-01-20,34254.0,34350.0,33550.0,33704.0,295144160,8757,15,34350.0
2020-01-21,33638.0,33638.0,33638.0,33638.0,4810234,143,1,33638.0
2020-01-25,34778.0,34778.0,34775.0,34777.0,589015485,16937,27,34778.0
2020-01-26,34233.0,35068.0,34200.0,34305.0,306889730,8946,31,34200.0
2020-01-27,33935.0,35044.0,33935.0,34505.0,240812104,6979,8,35044.0
2020-01-28,35200.0,35749.0,35200.0,35276.0,94222873,2671,15,35749.0
2020-02-01,35750.0,36135.0,34815.0,35915.0,717799127,19986,27,35000.0
2020-02-02,35502.0,35948.0,34803.0,34961.0,374253798,10705,24,35360.0
2020-02-03,35500.0,36786.0,35383.0,36382.0,302809566,8323,27,36786.0
2020-02-04,36801.0,36801.0,36059.0,36461.0,589203303,16160,26,36100.0
2020-02-05,36383.0,37426.0,36150.0,37116.0,84922032,2288,11,37426.0
2020-02-08,37500.0,38248.0,37470.0,37814.0,1893980374,50087,65,37500.0
2020-02-09,37500.0,37802.0,36897.0,37531.0,233439745,6220,23,37623.0
2020-02-10,37706.0,37706.0,36610.0,37232.0,101308918,2721,15,37000.0
2020-02-12,37124.0,37980.0,36354.0,36962.0,445136822,12043,50,37844.0
2020-02-15,37200.0,37939.0,37200.0,37365.0,578704032,15488,44,37695.0
2020-02-16,37897.0,38550.0,37290.0,37906.0,208669791,5505,20,38549.0
2020-02-17,38650.0,39000.0,38031.0,38697.0,465257194,12023,38,38678.0
