date,open,high,low,adjClose,value,volume,count,close
2002-05-08,1107.0,1107.0,1106.0,1106.0,171934216,155436,12,1106.0
2002-05-14,1105.0,1106.0,1105.0,1106.0,67204341,60764,267,1106.0
2002-05-15,1106.0,1106.0,1100.0,1100.0,833324,754,2,1100.0
2002-05-18,1100.0,1100.0,1097.0,1097.0,4800431,4370,8,1097.0
2002-05-19,1098.0,1100.0,1098.0,1100.0,18985576,17268,90,1100.0
2002-05-20,1100.0,1100.0,1100.0,1100.0,25305500,23005,117,1100.0
2002-05-21,1101.0,1101.0,1100.0,1100.0,42925000,39019,129,1100.0
2002-05-22,1101.0,1101.0,1100.0,1100.0,28416750,25833,133,1100.0
2002-05-25,1100.0,1100.0,1099.0,1100.0,28395732,25821,134,1100.0
2002-05-26,1101.0,1101.0,1100.0,1100.0,25606700,23278,111,1100.0
2002-05-27,1100.0,1100.0,1100.0,1100.0,50459200,45872,109,1100.0
2002-05-28,1100.0,1100.0,1100.0,1100.0,22324500,20295,74,1100.0
2002-05-29,1100.0,1100.0,1100.0,1100.0,15023800,13658,50,1100.0
2002-06-01,1100.0,1100.0,1100.0,1100.0,2172500,1975,4,1100.0
2002-06-02,1100.0,1100.0,1100.0,1100.0,22740300,20673,117,1100.0
2002-06-03,1102.0,1102.0,1098.0,1102.0,44647568,40565,150,1102.0
2002-06-08,1101.0,1101.0,1101.0,1101.0,118908,108,3,1101.0
2002-06-09,1100.0,1102.0,1100.0,1101.0,23010588,20901,13,1101.0
2002-06-11,1097.0,1097.0,1097.0,1097.0,984009,897,2,1097.0
2002-06-16,1043.0,1043.0,1043.0,1043.0,4241881,4067,11,1043.0
2002-06-18,1000.0,1043.0,1000.0,1043.0,139419000,138989,97,1043.0
2002-06-19,1043.0,1043.0,1040.0,1043.0,38784681,37201,139,1043.0
2002-06-22,1040.0,1043.0,1040.0,1043.0,23172474,22259,111,1043.0
2002-06-23,1043.0,1051.0,1043.0,1051.0,55710343,53173,189,1051.0
2002-06-24,1051.0,1053.0,1051.0,1053.0,28300972,26880,105,1053.0
2002-06-25,1053.0,1060.0,1053.0,1060.0,52970208,50000,239,1060.0
2002-06-26,1065.0,1065.0,1065.0,1065.0,23609985,22169,46,1065.0
2002-06-29,1065.0,1065.0,1065.0,1065.0,48548025,45585,225,1065.0
2002-06-30,1064.0,1065.0,1064.0,1065.0,1983556,1863,2,1065.0
2002-07-01,1064.0,1065.0,1063.0,1065.0,38752408,36402,179,1065.0
2002-07-02,1064.0,1065.0,1063.0,1065.0,35752139,33594,88,1065.0
2002-07-03,1065.0,1065.0,1065.0,1065.0,10703250,10050,9,1065.0
2002-07-06,1065.0,1070.0,1065.0,1070.0,107119852,100164,168,1070.0
2002-07-07,1070.0,1070.0,1065.0,1065.0,16359390,15356,8,1065.0
2002-07-09,1064.0,1070.0,1064.0,1070.0,41619255,38947,81,1070.0
2002-07-10,1070.0,1070.0,1070.0,1070.0,90740280,84804,155,1070.0
2002-07-13,1070.0,1070.0,1070.0,1070.0,893450,835,2,1070.0
2002-07-15,1067.0,1075.0,1067.0,1070.0,39489165,36920,175,1070.0
2002-07-16,1070.0,1075.0,1070.0,1075.0,16554090,15467,46,1075.0
2002-07-17,1074.0,1074.0,1072.0,1072.0,4961104,4621,4,1072.0
2002-07-20,1069.0,1069.0,1065.0,1065.0,7275167,6823,5,1065.0
2002-07-21,1065.0,1065.0,1062.0,1062.0,4614062,4343,3,1062.0
2002-07-22,1053.0,1057.0,1053.0,1057.0,22133046,20967,66,1057.0
2002-07-23,1055.0,1057.0,1055.0,1057.0,17148266,16232,40,1057.0
2002-07-24,1056.0,1076.0,1056.0,1076.0,73806578,69497,39,1076.0
2002-07-27,1086.0,1086.0,1086.0,1086.0,14422080,13280,5,1086.0
2002-07-28,1087.0,1095.0,1086.0,1095.0,17478724,16032,5,1095.0
2002-07-29,1090.0,1100.0,1090.0,1100.0,19150105,17447,10,1100.0
2002-07-30,1125.0,1125.0,1125.0,1125.0,1832625,1629,1,1125.0
2002-07-31,1131.0,1131.0,1131.0,1131.0,6070077,5367,2,1131.0
2002-08-03,1136.0,1136.0,1100.0,1135.0,62941254,55655,54,1135.0
2002-08-04,1135.0,1140.0,1135.0,1140.0,20340395,17877,35,1140.0
2002-08-05,1146.0,1146.0,1145.0,1145.0,18653905,16289,25,1145.0
2002-08-06,1150.0,1150.0,1150.0,1150.0,15539950,13513,9,1150.0
2002-08-07,1158.0,1158.0,1155.0,1155.0,17659885,15286,7,1155.0
2002-08-10,1161.0,1162.0,1160.0,1160.0,15277761,13152,8,1160.0
2002-08-11,1165.0,1165.0,1165.0,1165.0,11650000,10000,2,1165.0
2002-08-13,1170.0,1170.0,1170.0,1170.0,33790770,28881,49,1170.0
2002-08-14,1175.0,1175.0,1175.0,1175.0,15275000,13000,4,1175.0
2002-08-17,1200.0,1200.0,1190.0,1190.0,23797410,19939,11,1190.0
2002-08-18,1201.0,1201.0,1200.0,1200.0,32172530,26807,65,1200.0
2002-08-19,1190.0,1200.0,1190.0,1200.0,14441800,12044,34,1200.0
2002-08-20,1220.0,1223.0,1220.0,1222.0,14698133,12037,12,1222.0
