date,open,high,low,adjClose,value,volume,count,close
2019-01-01,10050.0,10600.0,10001.0,10484.0,6291816934,600134,428,10600.0
2019-01-02,10300.0,10445.0,10151.0,10295.0,3328498729,323319,165,10300.0
2019-01-05,10380.0,10380.0,9961.0,10244.0,8001831512,781120,126,10000.0
2019-01-06,9558.0,10099.0,9558.0,10000.0,3615588487,361548,103,10000.0
2019-01-07,9556.0,10300.0,9556.0,9905.0,4399255577,444123,172,10300.0
2019-01-08,9704.0,10100.0,9704.0,9982.0,312838031,31341,34,10100.0
2019-01-09,10100.0,10100.0,9971.0,10009.0,870230036,86946,54,10100.0
2019-01-12,10050.0,10098.0,9800.0,9931.0,695963432,70078,55,10000.0
2019-01-13,9720.0,9999.0,9720.0,9905.0,378196253,38184,47,9900.0
2019-01-14,9751.0,9939.0,9751.0,9806.0,995928326,101562,55,9820.0
2019-01-15,9950.0,9950.0,9555.0,9733.0,517093996,53126,70,9555.0
2019-01-16,9555.0,9555.0,9305.0,9468.0,1193266093,126034,64,9427.0
2019-01-19,9426.0,9700.0,9301.0,9398.0,419054181,44588,39,9450.0
2019-01-20,9450.0,9500.0,9306.0,9364.0,605942295,64711,70,9401.0
2019-01-21,9265.0,9500.0,9265.0,9369.0,792823835,84620,42,9479.0
2019-01-22,9363.0,9500.0,9363.0,9485.0,605562957,63846,36,9454.0
2019-01-23,9407.0,9689.0,9407.0,9563.0,516446504,54004,39,9450.0
2019-01-26,9450.0,9750.0,9380.0,9540.0,730939697,76621,51,9542.0
2019-01-27,9500.0,9650.0,9485.0,9564.0,2455958529,256792,56,9506.0
2019-01-28,9505.0,9540.0,9500.0,9506.0,636519126,66962,47,9500.0
2019-01-29,9500.0,9530.0,9411.0,9477.0,1145406795,120857,34,9420.0
2019-01-30,9420.0,9506.0,9420.0,9457.0,895836428,94731,32,9506.0
2019-02-02,9424.0,9600.0,9424.0,9519.0,1982821715,208305,43,9501.0
2019-02-03,9430.0,9502.0,9430.0,9497.0,863533800,90926,38,9502.0
2019-02-04,9500.0,9520.0,9430.0,9455.0,1130639730,119582,39,9440.0
2019-02-05,9430.0,9434.0,9330.0,9405.0,542565823,57692,45,9420.0
2019-02-06,9430.0,9547.0,9401.0,9522.0,2341099948,245857,51,9547.0
2019-02-10,9410.0,9500.0,9410.0,9487.0,373694668,39392,21,9500.0
2019-02-12,9460.0,9509.0,9460.0,9495.0,2951677909,310857,28,9509.0
2019-02-13,9301.0,9505.0,9301.0,9465.0,1188893422,125604,59,9505.0
2019-02-16,9400.0,9400.0,9300.0,9318.0,431875671,46350,40,9324.0
2019-02-17,9051.0,9200.0,8950.0,9048.0,2289721215,253065,56,9200.0
2019-02-18,9020.0,9200.0,8712.0,8826.0,2938502180,332955,103,9000.0
2019-02-19,8718.0,8990.0,8450.0,8547.0,5640090147,659864,157,8450.0
2019-02-20,8777.0,8800.0,8500.0,8553.0,89338854317,10445232,411,8601.0
2019-02-23,8910.0,9389.0,8653.0,9107.0,10901012703,1196990,116,9100.0
2019-02-24,9000.0,9199.0,8760.0,8871.0,9616955377,1084126,134,9199.0
2019-02-25,9100.0,9200.0,9050.0,9120.0,2099989735,230264,107,9100.0
2019-02-26,9190.0,9300.0,9000.0,9138.0,2514461921,275174,131,9150.0
2019-06-01,12000.0,12300.0,12000.0,12000.0,749134721117,62427248,1334,12300.0
2019-06-02,12500.0,12500.0,12200.0,12258.0,4211379747,343553,51,12200.0
2019-06-03,12200.0,12200.0,12000.0,12035.0,203434040666,16903468,569,12000.0
2019-06-08,12200.0,12855.0,12000.0,12021.0,117229827700,9752474,391,12000.0
