date,open,high,low,adjClose,value,volume,count,close
2001-12-09,6600.0,6600.0,6600.0,6600.0,3029400,459,1,6600.0
2001-12-10,7000.0,7000.0,6778.0,7000.0,65640000,9645,5,7000.0
2001-12-11,7250.0,7300.0,7250.0,7300.0,14550000,2000,5,7300.0
2001-12-12,7313.0,7400.0,7312.0,7312.0,7331420,1000,3,7312.0
2001-12-15,9999.0,9999.0,7405.0,7502.0,26858450,2750,3,7502.0
2001-12-18,9999.0,9999.0,9999.0,9999.0,9799020,980,4,9999.0
2001-12-22,8300.0,8350.0,8300.0,8350.0,112375000,13500,20,8350.0
2001-12-23,8366.0,8400.0,8350.0,8400.0,50258250,6003,12,8400.0
2001-12-24,8402.0,8700.0,8402.0,8700.0,33590460,3862,3,8700.0
2001-12-25,8700.0,8700.0,8700.0,8700.0,67668600,7778,6,8700.0
2001-12-26,8800.0,8800.0,8800.0,8800.0,15840000,1800,1,8800.0
2001-12-29,8800.0,8800.0,8800.0,8800.0,28776000,3270,2,8800.0
2002-01-01,8427.0,8427.0,8420.0,8420.0,113245980,13449,10,8420.0
2002-01-02,8400.0,8400.0,8400.0,8400.0,1260000,150,1,8400.0
2002-01-05,8000.0,8000.0,8000.0,8000.0,40000000,5000,3,8000.0
2002-01-06,7800.0,7800.0,7799.0,7800.0,38997575,5000,4,7800.0
2002-01-08,7601.0,7601.0,7600.0,7600.0,20157200,2652,4,7600.0
2002-01-12,7600.0,7606.0,7600.0,7606.0,19994780,2630,3,7606.0
2002-01-13,8000.0,8000.0,7632.0,8000.0,1209132572,152307,56,8000.0
2002-01-14,8003.0,8050.0,8000.0,8050.0,978492700,121971,46,8050.0
2002-01-15,8100.0,8102.0,8000.0,8100.0,1161560115,144720,83,8100.0
2002-01-16,8100.0,8100.0,7990.0,8000.0,464733830,58040,48,8000.0
2014-03-18,901.0,973.0,900.0,935.0,623313100,666580,48,973.0
2014-03-19,1009.0,1009.0,1009.0,1009.0,12108000,12000,5,1009.0
2014-03-25,1089.0,1089.0,1000.0,1080.0,1117107521,1033978,64,1000.0
2014-03-26,1102.0,1145.0,994.0,1048.0,1655783457,1580602,170,1110.0
2014-03-29,1020.0,1131.0,1020.0,1130.0,901568088,798080,101,1131.0
2014-03-30,1220.0,1220.0,1220.0,1220.0,338546340,277497,32,1220.0
2014-03-31,1317.0,1317.0,1317.0,1317.0,11842996068,8992404,483,1317.0
2014-04-05,1399.0,1419.0,1255.0,1322.0,12984506369,9821857,1014,1276.0
2014-04-06,1240.0,1295.0,1217.0,1222.0,4033733027,3301862,309,1217.0
2014-04-07,1131.0,1131.0,1125.0,1126.0,1654287598,1469074,118,1125.0
2014-04-08,1189.0,1189.0,1036.0,1055.0,53093435276,50339678,5193,1040.0
2014-04-09,1040.0,1059.0,971.0,983.0,19029413504,19350029,1986,971.0
2014-04-12,908.0,945.0,905.0,912.0,5104027288,5595020,458,905.0
2014-04-13,840.0,840.0,840.0,840.0,205506000,244650,17,840.0
2014-04-14,773.0,773.0,773.0,773.0,44612149,57713,11,773.0
2014-04-15,712.0,767.0,712.0,714.0,13275422135,18583845,1291,712.0
2014-05-18,1350.0,1350.0,1350.0,1350.0,207603000,153780,4,1350.0
2014-05-24,1600.0,1600.0,1600.0,1600.0,16896000,10560,2,1600.0
2014-05-25,1472.0,1472.0,1472.0,1472.0,1472000,1000,1,1472.0
2014-05-26,1355.0,1355.0,1355.0,1355.0,1355000,1000,1,1355.0
2014-05-28,1247.0,1463.0,1247.0,1423.0,7684200,5400,4,1463.0
2014-05-31,1310.0,1310.0,1310.0,1310.0,13100000,10000,1,1310.0
2014-06-01,1414.0,1414.0,1206.0,1243.0,10563000,8500,4,1206.0
2014-06-02,1144.0,1144.0,1144.0,1144.0,5720000,5000,1,1144.0
2014-06-03,1053.0,1053.0,1053.0,1053.0,2106000,2000,1,1053.0
2014-06-07,969.0,969.0,969.0,969.0,23682360,24440,5,969.0
2014-06-08,892.0,892.0,892.0,892.0,8920000,10000,1,892.0
2014-06-09,821.0,821.0,821.0,821.0,4105000,5000,1,821.0
2014-06-10,756.0,756.0,756.0,756.0,539330400,713400,32,756.0
2014-06-11,696.0,696.0,696.0,696.0,223484904,321099,11,696.0
2014-06-14,641.0,641.0,641.0,641.0,89740000,140000,7,641.0
2014-06-15,600.0,600.0,590.0,590.0,61312328864,103901890,4240,600.0
2017-03-05,1179.0,1296.0,1178.0,1220.0,13364540125,10958560,980,1296.0
2017-03-06,1289.0,1342.0,1280.0,1328.0,11415533779,8596526,954,1319.0
2017-03-07,1327.0,1345.0,1254.0,1299.0,3190732678,2455402,444,1260.0
2017-03-08,1250.0,1289.0,1201.0,1245.0,3593963215,2885603,408,1216.0
2017-03-11,1212.0,1212.0,1121.0,1128.0,3447163167,3056596,340,1121.0
2017-03-12,1120.0,1169.0,1120.0,1141.0,1010019223,885239,170,1147.0
2017-03-13,1075.0,1192.0,1027.0,1063.0,3862245281,3632504,504,1051.0
2017-03-14,1099.0,1169.0,1001.0,1142.0,3762916701,3296118,351,1169.0
2017-03-15,1256.0,1256.0,1225.0,1256.0,3169089413,2523891,193,1256.0
2017-03-18,1288.0,1374.0,1272.0,1324.0,5371283215,4057173,433,1369.0
2017-03-25,1330.0,1420.0,1330.0,1381.0,3072485984,2225245,286,1379.0
2017-03-26,1430.0,1430.0,1243.0,1274.0,6759971167,5307080,527,1247.0
2017-03-27,1296.0,1298.0,1201.0,1242.0,2470498390,1988445,293,1278.0
2017-03-28,1313.0,1320.0,1255.0,1279.0,1506661621,1177738,181,1269.0
2017-03-29,1317.0,1406.0,1280.0,1375.0,7793533558,5668518,526,1406.0
2017-04-03,1456.0,1512.0,1451.0,1501.0,8941184920,5955016,528,1512.0
2017-04-04,1580.0,1640.0,1450.0,1549.0,6297444946,4065881,622,1521.0
2017-04-05,1600.0,1650.0,1462.0,1611.0,8470105238,5257744,547,1620.0
2017-04-08,1640.0,1675.0,1603.0,1638.0,5389107100,3290162,357,1620.0
2017-04-09,1640.0,1640.0,1500.0,1536.0,7422868201,4831063,549,1514.0
2017-04-10,1539.0,1548.0,1385.0,1430.0,6780731975,4741795,623,1409.0
2017-04-12,1400.0,1400.0,1292.0,1331.0,3792499123,2849303,364,1292.0
2017-04-15,1301.0,1400.0,1260.0,1323.0,4208319170,3181532,425,1270.0
2017-04-16,1303.0,1303.0,1228.0,1244.0,5952218028,4784250,436,1265.0
2017-04-17,1289.0,1301.0,1180.0,1227.0,1796207515,1463810,176,1235.0
2017-04-18,1268.0,1349.0,1250.0,1320.0,3454683175,2616809,302,1349.0
2017-04-19,1350.0,1452.0,1350.0,1432.0,8361306972,5837928,525,1452.0
2017-04-22,1464.0,1545.0,1388.0,1460.0,6266647178,4293412,486,1390.0
2017-04-23,1465.0,1498.0,1314.0,1349.0,9579950938,7103792,601,1400.0
2017-04-24,1251.0,1399.0,1251.0,1340.0,12702049256,9480973,872,1287.0
2017-04-26,1302.0,1302.0,1234.0,1277.0,13339468001,10443269,924,1260.0
2017-04-29,1230.0,1300.0,1199.0,1232.0,21052765140,17084508,1384,1285.0
2017-05-29,1380.0,1380.0,1380.0,1380.0,1380000000,1000000,20,1380.0
2017-05-30,1300.0,1300.0,1243.0,1287.0,7050880000,5480000,179,1243.0
2017-05-31,1211.0,1211.0,1180.0,1189.0,2207556000,1856300,70,1180.0
2017-06-03,1095.0,1095.0,1071.0,1074.0,8234960430,7667410,375,1071.0
2017-06-06,1121.0,1121.0,1101.0,1101.0,74236208,67408,6,1101.0
2017-06-07,1052.0,1052.0,1050.0,1050.0,2213713860,2108180,131,1050.0
2017-06-10,1110.0,1110.0,1020.0,1028.0,1328391200,1292645,68,1035.0
2017-06-11,1020.0,1020.0,1000.0,1001.0,5495987640,5492410,376,1000.0
2017-06-12,1080.0,1080.0,950.0,979.0,14313309734,14621997,797,952.0
2018-05-05,2650.0,2750.0,2470.0,2652.0,6258545986,2360212,398,2600.0
2018-05-06,2629.0,2629.0,2406.0,2478.0,2271931847,916763,182,2478.0
2018-05-07,2380.0,2381.0,2252.0,2313.0,1320771202,571073,106,2302.0
2018-05-08,2152.0,2490.0,2152.0,2421.0,723572248,298882,86,2430.0
2018-05-09,2213.0,2423.0,2220.0,2375.0,115012198,48428,40,2423.0
2018-05-12,2341.0,2450.0,2345.0,2434.0,702054636,288462,80,2450.0
2018-05-13,2448.0,2609.0,2448.0,2557.0,2295832578,897818,174,2600.0
2018-05-14,2610.0,2630.0,2565.0,2584.0,3387173204,1311003,169,2568.0
2018-05-15,2561.0,2580.0,2460.0,2535.0,697987047,275371,61,2501.0
2018-05-16,2450.0,2598.0,2412.0,2445.0,1964094376,803212,97,2430.0
2018-05-19,2550.0,2550.0,2423.0,2501.0,1013714090,405398,53,2423.0
2018-05-20,2479.0,2500.0,2400.0,2411.0,1251880863,519284,84,2400.0
2018-05-21,2400.0,2400.0,2321.0,2363.0,393050640,166336,41,2350.0
2018-05-22,2425.0,2425.0,2310.0,2327.0,352077000,151327,28,2320.0
2018-05-23,2290.0,2379.0,2277.0,2284.0,262450126,114909,24,2359.0
2018-05-26,2285.0,2298.0,2250.0,2258.0,602045010,266591,44,2250.0
2018-05-27,2250.0,2387.0,2250.0,2295.0,85571539,37287,29,2373.0
2018-05-28,2350.0,2420.0,2262.0,2368.0,601067028,253830,64,2419.0
2018-05-29,2449.0,2449.0,2350.0,2410.0,103044223,42753,15,2350.0
2018-05-30,2301.0,2395.0,2301.0,2335.0,2819642289,1207627,68,2338.0
2018-06-02,2254.0,2487.0,2254.0,2344.0,1124414438,479673,80,2409.0
2018-06-03,2345.0,2400.0,2250.0,2326.0,687607812,295592,48,2250.0
2018-06-09,2251.0,2278.0,2150.0,2251.0,398679704,177143,45,2270.0
2018-06-10,2270.0,2270.0,2168.0,2220.0,880935925,396785,74,2200.0
2018-06-11,2114.0,2267.0,2114.0,2196.0,788115320,358837,65,2199.0
2018-06-12,2200.0,2200.0,2112.0,2170.0,413015214,190340,65,2114.0
2018-06-13,2190.0,2288.0,2190.0,2223.0,308466168,138788,47,2193.0
2018-06-17,2233.0,2275.0,2184.0,2247.0,1343956702,598106,115,2219.0
2018-06-18,2299.0,2300.0,2237.0,2270.0,3062699550,1348969,191,2258.0
2018-06-19,2242.0,2315.0,2241.0,2295.0,1822185711,793823,85,2300.0
2018-06-20,2301.0,2437.0,2301.0,2368.0,1470834939,621242,86,2400.0
2018-06-23,2307.0,2375.0,2307.0,2343.0,990758394,422879,89,2355.0
2018-06-24,2440.0,2577.0,2340.0,2491.0,4518207346,1813816,242,2577.0
