date,open,high,low,adjClose,value,volume,count,close
2015-09-23,258.0,283.0,258.0,282.0,57012038,202461,17,283.0
2015-09-26,310.0,310.0,262.0,302.0,1038778605,3445307,347,307.0
2015-09-27,303.0,313.0,272.0,289.0,1294121099,4483524,336,284.0
2015-09-28,294.0,299.0,269.0,275.0,565148551,2056549,155,275.0
2015-09-29,279.0,286.0,252.0,261.0,710469097,2727098,201,252.0
2015-09-30,250.0,250.0,235.0,239.0,387080093,1617805,108,235.0
2015-10-03,216.0,222.0,216.0,217.0,251147928,1157320,76,216.0
2015-10-04,216.0,220.0,196.0,201.0,583979407,2908587,192,197.0
2015-10-05,197.0,200.0,181.0,185.0,380234519,2051366,149,181.0
2015-10-06,170.0,188.0,167.0,173.0,737237882,4269067,255,170.0
2015-10-07,159.0,185.0,156.0,163.0,126572612,778343,61,156.0
2015-10-10,166.0,166.0,149.0,154.0,120148936,779695,60,161.0
2015-10-11,149.0,158.0,139.0,147.0,263899318,1789256,134,152.0
2015-10-12,150.0,161.0,150.0,161.0,193078139,1202466,71,161.0
2015-10-13,177.0,177.0,177.0,177.0,85986069,485797,38,177.0
2015-10-14,194.0,194.0,194.0,194.0,13962568,71972,18,194.0
2015-10-17,213.0,213.0,213.0,213.0,37597695,176515,13,213.0
2015-10-18,234.0,234.0,194.0,224.0,1333519520,5945450,311,220.0
2015-10-19,244.0,246.0,213.0,240.0,738817749,3075169,191,246.0
2015-10-20,240.0,264.0,240.0,263.0,1250920871,4747729,272,264.0
2015-10-21,286.0,286.0,245.0,260.0,1023132431,3929775,297,260.0
2015-10-25,245.0,245.0,234.0,234.0,294162806,1254609,90,234.0
2015-10-26,211.0,245.0,211.0,214.0,859610341,4009172,204,211.0
2015-10-27,204.0,223.0,195.0,199.0,265268486,1330846,118,196.0
2015-10-28,191.0,218.0,185.0,210.0,557946155,2661747,158,218.0
2015-10-31,200.0,231.0,200.0,229.0,560898039,2452342,157,231.0
2015-11-01,231.0,251.0,230.0,247.0,1078836395,4361913,283,250.0
2015-11-02,257.0,265.0,223.0,233.0,1001075179,4297528,321,223.0
2015-11-03,210.0,224.0,210.0,215.0,359261542,1668801,110,212.0
2015-11-04,201.0,236.0,200.0,225.0,348834491,1548728,107,236.0
2015-11-07,236.0,245.0,226.0,231.0,380481749,1648133,120,239.0
2015-11-08,238.0,238.0,208.0,210.0,1331960927,6352345,399,209.0
2015-11-09,214.0,217.0,203.0,209.0,565204336,2699251,170,203.0
2015-11-10,214.0,215.0,194.0,203.0,306880043,1514599,102,197.0
2015-11-11,195.0,203.0,183.0,188.0,711426287,3775382,241,188.0
2015-11-14,178.0,183.0,170.0,173.0,299726645,1736660,133,170.0
2015-11-15,160.0,160.0,156.0,156.0,166550160,1064360,53,156.0
2015-11-16,141.0,143.0,141.0,141.0,535112601,3794061,198,141.0
2015-11-17,139.0,143.0,127.0,128.0,492289323,3831643,211,128.0
2015-11-18,134.0,134.0,116.0,118.0,402690139,3408787,193,116.0
2015-11-21,129.0,129.0,129.0,129.0,59061231,457839,24,129.0
2015-11-22,141.0,141.0,134.0,141.0,273568642,1940993,95,141.0
2015-11-23,143.0,155.0,143.0,154.0,170495185,1103969,68,155.0
2015-11-24,169.0,169.0,154.0,167.0,705989649,4233331,218,159.0
2015-11-25,160.0,160.0,151.0,152.0,42079243,275964,16,156.0
2015-11-28,137.0,138.0,137.0,137.0,133532000,974000,42,137.0
2015-11-29,124.0,124.0,124.0,124.0,111021416,895334,61,124.0
2015-11-30,114.0,125.0,114.0,118.0,253787780,2159679,144,117.0
2015-12-01,117.0,121.0,115.0,118.0,68521617,581628,39,117.0
2015-12-05,119.0,122.0,110.0,117.0,110656980,943470,58,110.0
2015-12-06,106.0,110.0,106.0,107.0,216827906,2034042,148,106.0
2016-03-09,1250.0,1260.0,1250.0,1252.0,2505000000,2000000,92,1260.0
2016-03-12,1377.0,1377.0,1377.0,1377.0,1129828500,820500,42,1377.0
2016-03-14,1480.0,1480.0,1382.0,1382.0,42933179028,31062909,1261,1382.0
