date,open,high,low,adjClose,value,volume,count,close
2006-04-12,800.0,800.0,800.0,800.0,1600000,2000,1,800.0
2006-04-18,832.0,832.0,832.0,832.0,924352,1111,1,832.0
2006-04-19,865.0,865.0,865.0,865.0,3978135,4599,5,865.0
2006-04-22,899.0,899.0,899.0,899.0,68324,76,2,899.0
2006-04-23,934.0,934.0,934.0,934.0,109278,117,3,934.0
2006-04-24,971.0,971.0,971.0,971.0,2790654,2874,1,971.0
2006-04-25,1009.0,1009.0,1008.0,1008.0,346521108,343439,85,1008.0
2006-04-26,1008.0,1048.0,1008.0,1032.0,10161984,9843,4,1032.0
2006-04-29,1073.0,1073.0,1039.0,1067.0,558776070,523035,53,1067.0
2006-04-30,1025.0,1031.0,1025.0,1027.0,51822873,50434,10,1027.0
2006-05-01,1027.0,1068.0,1027.0,1063.0,100248454,94258,29,1063.0
2006-06-18,1258.0,1453.0,1200.0,1317.0,608031729,461413,29,1317.0
2008-06-18,200.0,330.0,200.0,286.0,20236470,70587,18,286.0
2008-06-21,297.0,297.0,297.0,297.0,1759131,5923,3,297.0
2008-06-22,305.0,305.0,305.0,305.0,152500,500,1,305.0
2008-06-23,317.0,317.0,317.0,317.0,158500,500,1,317.0
2008-06-24,305.0,306.0,305.0,305.0,6110000,20000,3,305.0
2008-06-25,317.0,317.0,317.0,317.0,9617780,30340,7,317.0
2008-06-28,329.0,329.0,329.0,329.0,246750,750,1,329.0
2008-06-29,342.0,342.0,329.0,335.0,40073172,119428,36,335.0
2008-06-30,330.0,330.0,322.0,325.0,11393250,35010,8,325.0
2008-07-01,312.0,312.0,312.0,312.0,6240000,20000,6,312.0
2008-07-02,300.0,300.0,300.0,300.0,5118000,17060,8,300.0
2008-07-05,288.0,312.0,288.0,289.0,106938986,369906,76,289.0
2008-07-06,286.0,300.0,286.0,291.0,9467320,32434,9,291.0
2008-07-07,297.0,297.0,297.0,297.0,2970000,10000,1,297.0
2008-07-08,305.0,305.0,305.0,305.0,1525000,5000,1,305.0
2008-07-09,304.0,317.0,304.0,309.0,9381451,30304,7,309.0
2008-07-12,304.0,317.0,304.0,310.0,9234735,29785,13,310.0
2008-07-22,310.0,310.0,310.0,310.0,1550000,5000,1,310.0
2008-07-28,298.0,298.0,298.0,298.0,298000,1000,1,298.0
2008-07-29,287.0,309.0,287.0,299.0,38043159,126983,33,299.0
2008-08-03,289.0,310.0,289.0,301.0,5258843,17429,9,301.0
2008-11-16,200.0,203.0,200.0,200.0,462823952,2307950,334,200.0
2012-04-23,102.0,106.0,102.0,104.0,4046818,38941,20,106.0
2012-04-24,108.0,112.0,108.0,108.0,5824864,53698,9,112.0
2012-04-28,116.0,116.0,116.0,116.0,13110320,113020,23,116.0
2012-04-29,125.0,125.0,125.0,125.0,125,1,1,125.0
2012-04-30,135.0,135.0,135.0,135.0,135,1,1,135.0
2012-05-01,145.0,145.0,145.0,145.0,1302680,8984,4,145.0
2012-05-02,156.0,156.0,156.0,156.0,982800,6300,2,156.0
2012-05-05,168.0,168.0,168.0,168.0,3360000,20000,4,168.0
2012-05-06,181.0,181.0,181.0,181.0,181543,1003,3,181.0
2012-05-07,195.0,195.0,195.0,195.0,220935,1133,1,195.0
2012-05-08,210.0,210.0,210.0,210.0,15927030,75843,51,210.0
2012-05-13,220.0,237.0,220.0,226.0,20272540,89717,16,237.0
2012-05-14,244.0,244.0,244.0,244.0,1027972,4213,2,244.0
2012-05-15,263.0,263.0,263.0,263.0,4677455,17785,6,263.0
2012-05-16,284.0,284.0,284.0,284.0,11994172,42233,6,284.0
2012-05-19,283.0,284.0,265.0,274.0,77803812,284140,49,265.0
2012-05-20,278.0,278.0,253.0,253.0,62522028,247056,31,257.0
2012-05-21,233.0,234.0,233.0,233.0,6367900,27300,5,233.0
2012-05-22,215.0,215.0,215.0,215.0,20957125,97475,14,215.0
2012-05-23,232.0,232.0,198.0,224.0,62127719,277956,26,232.0
2012-05-26,241.0,241.0,230.0,238.0,41556347,174286,45,240.0
2012-05-27,250.0,250.0,225.0,226.0,11675642,51582,12,226.0
2012-05-28,214.0,217.0,211.0,212.0,5275156,24919,6,217.0
2012-05-29,228.0,228.0,220.0,227.0,56666671,249131,79,228.0
2012-05-30,245.0,245.0,232.0,238.0,72284567,303712,31,245.0
2012-06-02,245.0,257.0,245.0,251.0,65688865,261778,32,250.0
2012-06-05,258.0,258.0,231.0,246.0,63310476,257747,41,232.0
2012-06-06,227.0,229.0,227.0,228.0,20224016,88890,15,229.0
2012-06-09,229.0,229.0,210.0,210.0,1516670,7220,6,210.0
2012-06-10,209.0,209.0,194.0,195.0,916590,4695,5,194.0
2012-06-11,180.0,180.0,180.0,180.0,1111500,6175,14,180.0
2012-06-12,166.0,166.0,166.0,166.0,288176,1736,11,166.0
2012-06-13,153.0,153.0,153.0,153.0,6368778,41626,12,153.0
2012-06-16,141.0,141.0,141.0,141.0,6204000,44000,6,141.0
2012-06-17,130.0,130.0,130.0,130.0,5454930,41961,6,130.0
2012-06-19,120.0,120.0,120.0,120.0,360,3,3,120.0
2012-06-20,111.0,111.0,111.0,111.0,5614269,50579,4,111.0
2012-10-14,1.0,1.0,1.0,1.0,1000000,1000000,20,1.0
2012-10-15,1.0,1.0,1.0,1.0,500000,500000,10,1.0
2012-10-16,1.0,1.0,1.0,1.0,641504,641504,17,1.0
2012-10-17,1.0,1.0,1.0,1.0,100000,100000,2,1.0
2018-08-06,1700.0,1700.0,1530.0,1603.0,4780252400,2981170,247,1600.0
2018-08-07,1600.0,1600.0,1443.0,1463.0,3620433562,2474832,234,1443.0
2018-08-08,1317.0,1333.0,1317.0,1321.0,564549504,427284,56,1317.0
2018-08-11,1190.0,1229.0,1189.0,1191.0,2711376287,2276403,242,1229.0
2018-08-12,1122.0,1310.0,1122.0,1247.0,1430205345,1146796,166,1310.0
2018-08-13,1363.0,1371.0,1350.0,1365.0,1018499709,746183,132,1371.0
2018-08-14,1465.0,1465.0,1262.0,1347.0,1043567571,774681,105,1370.0
2018-08-15,1255.0,1481.0,1255.0,1455.0,1525244447,1048520,170,1481.0
2018-08-18,1570.0,1570.0,1570.0,1570.0,269404150,171595,13,1570.0
2018-08-19,1727.0,1799.0,1727.0,1752.0,1009388617,576054,74,1764.0
2018-08-25,1927.0,2119.0,1927.0,2101.0,5190977239,2470432,237,2090.0
2018-08-26,2280.0,2311.0,2110.0,2285.0,5595708184,2448397,322,2311.0
2018-08-27,2467.0,2513.0,2465.0,2504.0,1400282211,559156,77,2513.0
2018-08-28,2754.0,2754.0,2660.0,2750.0,5994678996,2179956,235,2754.0
2018-08-29,3024.0,3025.0,2800.0,3024.0,19402022667,6416233,711,3025.0
2018-09-01,3142.0,3142.0,3142.0,3142.0,129418980,41190,7,3142.0
2018-09-02,3250.0,3250.0,2925.0,3030.0,1223303735,403745,63,2925.0
2018-09-03,2727.0,3200.0,2727.0,2894.0,14624948848,5053374,637,2949.0
2018-09-04,2912.0,3183.0,2912.0,3157.0,8978479455,2844077,416,3183.0
2018-09-05,3297.0,3448.0,3297.0,3376.0,2385814079,706674,129,3350.0
2018-09-09,3700.0,3700.0,3600.0,3670.0,12476880105,3399843,468,3688.0
2018-09-10,3899.0,3899.0,3511.0,3682.0,11563411213,3140264,510,3565.0
2018-09-11,3402.0,3599.0,3333.0,3465.0,8590166237,2479083,405,3486.0
2018-09-12,3595.0,3600.0,3360.0,3446.0,10485156756,3042424,465,3384.0
2018-09-15,3421.0,3421.0,3102.0,3136.0,3857917984,1230381,176,3102.0
2018-09-16,2823.0,2823.0,2823.0,2823.0,812640072,287864,45,2823.0
2018-09-17,2542.0,3050.0,2542.0,2773.0,9019683764,3252492,452,2802.0
2018-09-18,2775.0,2945.0,2600.0,2757.0,4903433032,1778714,275,2693.0
2018-09-22,2682.0,2800.0,2600.0,2699.0,9083185455,3365082,512,2605.0
2018-09-23,2699.0,2968.0,2500.0,2810.0,22116529147,7869964,936,2900.0
2018-09-24,3087.0,3091.0,2960.0,3086.0,22729373792,7364808,766,3091.0
2018-09-25,3255.0,3394.0,3255.0,3391.0,28046702004,8269731,803,3394.0
2018-09-30,3728.0,4100.0,3728.0,3863.0,28456582784,7366776,907,3830.0
2018-10-01,3820.0,3820.0,3477.0,3497.0,8521659361,2436600,351,3477.0
2018-10-02,3148.0,3148.0,3148.0,3148.0,229813444,73003,23,3148.0
2018-10-03,2834.0,2834.0,2834.0,2834.0,2959937292,1044438,100,2834.0
2018-12-05,3100.0,3100.0,2790.0,2805.0,591790000,211000,10,2790.0
2018-12-08,2680.0,2680.0,2680.0,2680.0,2680000,1000,1,2680.0
2018-12-09,2630.0,2630.0,2412.0,2430.0,98859748,40679,8,2412.0
2018-12-10,2430.0,2430.0,2187.0,2202.0,578346900,262595,26,2187.0
2018-12-11,2202.0,2202.0,2202.0,2202.0,1962684438,891319,73,2202.0
2018-12-12,2422.0,2422.0,2202.0,2203.0,55514740246,25200000,1099,2202.0
2018-12-15,2203.0,2203.0,2203.0,2203.0,15007587223,6812341,292,2203.0
2018-12-16,2423.0,2423.0,2203.0,2210.0,1700025172,769275,57,2203.0
2018-12-17,2210.0,2431.0,2210.0,2247.0,278811990,124068,17,2210.0
2018-12-18,2247.0,2247.0,2080.0,2113.0,30632000,14500,9,2080.0
2018-12-19,2190.0,2190.0,1902.0,1908.0,19819107137,10389705,594,1902.0
2019-09-14,4200.0,4400.0,3910.0,4122.0,97003571612,23530554,3372,4040.0
2019-09-15,3964.0,4059.0,3721.0,3887.0,35428194961,9114460,1818,3870.0
2019-09-16,3888.0,4019.0,3650.0,3791.0,26252046341,6925659,1297,3681.0
2019-09-17,3633.0,3660.0,3470.0,3549.0,20641592680,5816146,1120,3500.0
2019-09-18,3470.0,3470.0,3210.0,3288.0,16999678030,5169826,909,3366.0
2019-09-21,3371.0,3616.0,3371.0,3562.0,14187557154,3983189,630,3616.0
2019-09-22,3800.0,3868.0,3656.0,3779.0,14580611028,3858375,651,3701.0
2019-09-23,3666.0,3798.0,3622.0,3711.0,13183321475,3552320,771,3698.0
2019-09-24,3620.0,3900.0,3600.0,3716.0,12718107447,3422556,633,3650.0
2019-09-25,3520.0,3739.0,3520.0,3634.0,8036811830,2211505,440,3630.0
2019-09-28,3729.0,3896.0,3661.0,3782.0,15378776975,4065844,712,3880.0
2019-09-29,3897.0,3898.0,3653.0,3741.0,11536238297,3083561,468,3733.0
2019-09-30,3800.0,3915.0,3714.0,3825.0,17070434180,4462984,608,3761.0
2019-10-01,3726.0,3835.0,3500.0,3665.0,15311268180,4177877,641,3551.0
2019-10-02,3460.0,3699.0,3460.0,3545.0,6569460458,1853116,350,3540.0
2019-10-05,3471.0,3618.0,3266.0,3395.0,11140420786,3280981,639,3340.0
2019-10-06,3263.0,3301.0,3101.0,3189.0,6958034883,2181709,353,3221.0
2019-10-07,3188.0,3319.0,3000.0,3083.0,11512563528,3734792,603,3000.0
2019-10-08,3050.0,3152.0,2831.0,2938.0,8010959390,2726891,590,2893.0
2019-10-09,2800.0,3124.0,2800.0,2997.0,5863814363,1956251,479,3110.0
2019-10-12,3150.0,3296.0,3120.0,3248.0,11450456361,3525261,551,3296.0
2019-10-13,3410.0,3572.0,3410.0,3559.0,19707325264,5537451,843,3572.0
2019-10-14,3645.0,3777.0,3310.0,3562.0,17973192413,5046117,878,3687.0
2019-10-15,3660.0,3820.0,3206.0,3425.0,14481364123,4227727,777,3339.0
2019-10-16,3300.0,3420.0,3091.0,3218.0,5200266440,1616060,354,3094.0
2019-10-20,3113.0,3113.0,2897.0,2913.0,7395848156,2539243,292,2897.0
2019-10-21,2651.0,2895.0,2640.0,2757.0,8720702841,3162872,534,2849.0
2019-10-22,2990.0,3032.0,2833.0,2998.0,12290143407,4099238,452,3032.0
2019-10-23,3240.0,3240.0,2990.0,3138.0,11211298457,3572729,587,3230.0
2019-10-26,3280.0,3280.0,2951.0,3066.0,11081290093,3614275,468,3100.0
2019-10-28,3040.0,3200.0,3030.0,3080.0,13647737554,4430421,589,3055.0
2019-10-30,3016.0,3093.0,2980.0,3031.0,34135027523,11263145,1375,3091.0
2019-11-02,3129.0,3250.0,3050.0,3164.0,31276989584,9886276,1334,3187.0
2019-11-03,3195.0,3376.0,3161.0,3274.0,48785134902,14898920,1961,3278.0
2019-12-14,5400.0,5400.0,5400.0,5400.0,23744745000,4397175,123,5400.0
2019-12-15,5940.0,5940.0,5600.0,5619.0,28097309750,5000000,131,5600.0
2019-12-16,6180.0,6180.0,5700.0,5718.0,56021888410,9798070,231,5700.0
2019-12-17,6001.0,6001.0,5750.0,5760.0,60508500040,10505223,253,5750.0
2019-12-18,5760.0,5760.0,5500.0,5500.0,95234993000,17315406,393,5500.0
2019-12-21,6050.0,6050.0,5960.0,5963.0,52033587480,8725827,664,5960.0
