date,open,high,low,adjClose,value,volume,count,close
2013-06-17,3560.0,3560.0,3560.0,3560.0,2065832400,580290,12,3560.0
2017-03-26,1521.0,1673.0,1521.0,1641.0,102953672,62744,13,1673.0
2017-03-27,1805.0,1805.0,1805.0,1805.0,677658370,375434,49,1805.0
2017-03-28,1965.0,1978.0,1701.0,1808.0,294090742,162673,44,1750.0
2017-03-29,1740.0,1740.0,1681.0,1703.0,340589762,199995,40,1694.0
2017-04-03,1650.0,1650.0,1536.0,1584.0,258029113,162944,51,1545.0
2017-04-04,1535.0,1537.0,1455.0,1487.0,945161032,635750,65,1496.0
2017-04-05,1529.0,1529.0,1444.0,1462.0,301739690,206402,42,1476.0
2017-04-08,1499.0,1522.0,1471.0,1486.0,295968099,199209,45,1479.0
2017-04-09,1437.0,1490.0,1437.0,1470.0,212274175,144381,28,1489.0
2017-04-10,1450.0,1600.0,1440.0,1492.0,602774303,404053,74,1600.0
2017-04-12,1619.0,1641.0,1551.0,1629.0,1038103431,637202,71,1641.0
2017-04-15,1785.0,1785.0,1556.0,1719.0,778903020,453104,55,1556.0
2017-04-16,1705.0,1705.0,1600.0,1646.0,233934280,142144,19,1705.0
2017-04-17,1602.0,1660.0,1601.0,1632.0,260680771,159765,44,1649.0
2017-04-18,1601.0,1689.0,1600.0,1603.0,559441404,349031,38,1601.0
2017-04-19,1650.0,1689.0,1649.0,1671.0,219081803,131079,19,1651.0
2017-04-22,1650.0,1720.0,1650.0,1686.0,314188204,186394,31,1670.0
2017-04-23,1670.0,1690.0,1660.0,1664.0,220782720,132687,23,1690.0
2017-04-24,1650.0,1650.0,1621.0,1643.0,65710000,40000,7,1621.0
2017-04-26,1690.0,1807.0,1690.0,1802.0,1334170789,740574,85,1807.0
2017-04-29,1704.0,1816.0,1625.0,1666.0,938334418,563276,62,1651.0
2017-04-30,1627.0,1749.0,1627.0,1676.0,755320388,450781,65,1740.0
2017-05-01,1700.0,1724.0,1673.0,1707.0,139246842,81583,17,1724.0
2017-05-02,1671.0,1848.0,1670.0,1769.0,524664376,296539,41,1845.0
2017-05-03,1849.0,1938.0,1800.0,1905.0,879795998,461718,72,1935.0
2017-09-20,1650.0,1660.0,1650.0,1660.0,4147340000,2499000,179,1660.0
2017-09-23,1680.0,1750.0,1680.0,1690.0,795467750,470553,19,1750.0
