date,open,high,low,adjClose,value,volume,count,close
2003-12-28,8000.0,8000.0,8000.0,8000.0,40000000,5000,1,8000.0
2003-12-29,7200.0,8000.0,7200.0,8000.0,27000000000,3749900,2,8000.0
2003-12-30,7200.0,8000.0,7200.0,8000.0,27000000000,3749900,2,8000.0
2003-12-31,7400.0,8000.0,7400.0,8000.0,27684000000,3741000,2,8000.0
2004-01-03,7400.0,8000.0,7400.0,8000.0,7141777600,965105,2,8000.0
2004-01-17,8403.0,8403.0,8403.0,8403.0,991554,118,1,8403.0
2004-02-03,8000.0,8000.0,8000.0,8000.0,58976000,7372,4,8000.0
2004-02-08,8000.0,8000.0,8000.0,8000.0,7488000,936,2,8000.0
2004-03-03,8000.0,8000.0,8000.0,8000.0,488000,61,1,8000.0
2008-10-06,3525.0,3525.0,3525.0,3525.0,3525000,1000,1,3525.0
2008-10-12,3736.0,3736.0,3736.0,3736.0,373600,100,1,3736.0
2008-10-13,3960.0,3960.0,3960.0,3960.0,396000,100,1,3960.0
2008-10-14,4197.0,4197.0,4197.0,4197.0,4616700,1100,1,4197.0
2008-10-15,4448.0,4448.0,4448.0,4448.0,5337600,1200,2,4448.0
2008-10-20,4440.0,4440.0,4203.0,4302.0,4345323,1010,3,4302.0
2008-11-04,4203.0,4203.0,4197.0,4200.0,3293298,784,5,4200.0
2008-11-05,4197.0,4197.0,4197.0,4197.0,235032,56,1,4197.0
2009-01-14,4197.0,4197.0,4197.0,4197.0,14257209,3397,1,4197.0
2009-01-19,4400.0,4400.0,4400.0,4400.0,668800,152,1,4400.0
2016-07-18,4550.0,4550.0,4095.0,4537.0,11502400,2535,11,4095.0
2016-07-19,4083.0,4561.0,4083.0,4460.0,58716634,13164,21,4480.0
2016-07-20,4472.0,4472.0,4472.0,4472.0,1699360,380,1,4472.0
2016-07-23,4477.0,4792.0,4200.0,4543.0,8268903,1820,7,4792.0
2016-07-24,4600.0,4627.0,4585.0,4620.0,33894100,7336,6,4627.0
2016-07-25,4699.0,4699.0,4601.0,4639.0,141275540,30455,23,4698.0
2016-07-26,4698.0,4699.0,4698.0,4699.0,121941729,25952,9,4699.0
2016-07-27,5060.0,5060.0,4713.0,4992.0,25366045,5081,8,4999.0
2016-07-31,4591.0,4999.0,4590.0,4679.0,83805700,17910,13,4699.0
2016-08-01,4700.0,4890.0,4700.0,4704.0,65056072,13830,7,4890.0
2016-08-02,4701.0,4796.0,4355.0,4666.0,86311070,18499,11,4600.0
2016-08-06,4451.0,4886.0,4451.0,4717.0,21248561,4505,9,4750.0
2016-08-07,4880.0,4888.0,4800.0,4857.0,13084800,2694,7,4880.0
2016-08-08,4600.0,4650.0,4521.0,4540.0,63465351,13980,15,4530.0
2016-08-09,4630.0,4869.0,4400.0,4579.0,424351388,92665,38,4400.0
2017-02-05,4400.0,4400.0,4400.0,4400.0,9218602800,2095137,87,4400.0
