date,open,high,low,adjClose,value,volume,count,close
2013-06-01,5494.0,5690.0,5320.0,5466.0,760730374,139171,52,5600.0
2013-06-02,5850.0,5850.0,5300.0,5514.0,741036906,134398,79,5400.0
2013-06-03,5104.0,5490.0,5103.0,5184.0,154472090,29797,22,5290.0
2013-06-08,5163.0,5190.0,4900.0,5073.0,72651590,14320,15,4900.0
2013-06-09,5100.0,5100.0,4900.0,4933.0,15293000,3100,4,4901.0
2013-06-10,4900.0,4901.0,4900.0,4900.0,45309646,9246,5,4901.0
2013-06-11,4900.0,4900.0,4812.0,4864.0,515061266,105890,35,4900.0
2013-06-12,4960.0,5100.0,4900.0,4905.0,171934900,35052,7,4900.0
2013-06-15,5100.0,5297.0,5100.0,5252.0,516189508,98277,52,5297.0
2013-06-16,5300.0,5670.0,5112.0,5350.0,45668216338,8536198,28,5360.0
2013-06-17,5101.0,5109.0,4950.0,5009.0,186016888,37139,26,5000.0
2013-06-18,5399.0,5399.0,5000.0,5049.0,50310530,9964,16,5000.0
2013-06-19,4802.0,5100.0,4751.0,4891.0,184750830,37775,20,4900.0
2013-06-22,4826.0,4826.0,4824.0,4824.0,40523300,8400,9,4824.0
2013-06-23,4810.0,5150.0,4810.0,5008.0,98075816,19582,13,4950.0
2013-06-25,5100.0,5408.0,4851.0,5274.0,2910084781,551769,42,5408.0
2013-06-26,5450.0,5695.0,5370.0,5682.0,276361516,48641,28,5695.0
2013-06-29,6129.0,6129.0,5850.0,6093.0,80902653,13277,16,6099.0
2013-06-30,6108.0,6195.0,5606.0,6107.0,405690419,66435,31,6020.0
2013-07-01,6100.0,6230.0,6100.0,6120.0,289970922,47378,25,6100.0
2013-07-02,6200.0,6250.0,5866.0,5928.0,328042335,55340,28,5900.0
2013-07-03,6000.0,6402.0,6000.0,6226.0,1102182118,177018,84,6402.0
2013-07-06,6723.0,6724.0,6700.0,6722.0,697152284,103718,49,6724.0
2013-07-07,7249.0,7249.0,6251.0,6675.0,224511951,33634,24,6990.0
2013-07-08,6998.0,6998.0,6190.0,6206.0,346509614,55834,40,6205.0
2013-07-09,6142.0,6142.0,6000.0,6050.0,86108500,14233,14,6000.0
