date,open,high,low,adjClose,value,volume,count,close
2013-12-03,5550.0,5991.0,5404.0,5578.0,1919223840,344059,102,5550.0
2013-12-04,5311.0,5573.0,5300.0,5344.0,13455665233,2518109,686,5380.0
2013-12-07,5499.0,5500.0,5290.0,5369.0,29119945190,5423852,875,5325.0
2013-12-08,5350.0,5409.0,5300.0,5334.0,17336237934,3249883,813,5300.0
2013-12-09,5378.0,5749.0,5301.0,5642.0,19794478825,3508295,1242,5691.0
2013-12-10,5990.0,6093.0,5873.0,5996.0,15321967709,2555245,890,6093.0
2013-12-11,6475.0,6475.0,6475.0,6475.0,3024932225,467171,101,6475.0
2013-12-14,6420.0,6948.0,6210.0,6758.0,22471917038,3325048,893,6929.0
2013-12-15,7090.0,7298.0,7007.0,7214.0,8116126501,1125005,508,7298.0
2013-12-16,7680.0,7690.0,6650.0,7185.0,30960158585,4309095,1491,6890.0
2013-12-17,6852.0,7000.0,6611.0,6781.0,26424520539,3896684,1201,6880.0
2013-12-18,6960.0,7049.0,6600.0,6764.0,15016261869,2220094,998,6602.0
2013-12-21,6899.0,6899.0,6350.0,6389.0,58124731265,9097818,625,6411.0
2013-12-22,6488.0,6666.0,6226.0,6445.0,10513954335,1631447,579,6399.0
2013-12-24,6650.0,6943.0,6500.0,6778.0,16690530990,2462584,689,6700.0
2013-12-25,6700.0,6700.0,6412.0,6483.0,6055228437,934042,337,6450.0
2013-12-28,6260.0,6679.0,6260.0,6340.0,3204241090,505396,235,6299.0
2013-12-29,6200.0,6490.0,6199.0,6245.0,7782220180,1246222,491,6287.0
2013-12-30,6245.0,6581.0,6201.0,6403.0,12202637642,1905667,597,6300.0
2014-01-01,6280.0,6450.0,6255.0,6303.0,51198025634,8123147,1045,6300.0
2014-01-04,6230.0,6800.0,6230.0,6614.0,21475811038,3247055,834,6644.0
2014-01-05,6802.0,7000.0,6601.0,6865.0,33786439969,4921804,1126,6939.0
2014-01-06,7084.0,7087.0,6702.0,6814.0,14805878032,2172854,915,6771.0
2014-01-07,6800.0,6800.0,6551.0,6615.0,12205060626,1845153,376,6598.0
2014-01-08,6790.0,6800.0,6402.0,6588.0,10291012971,1562088,669,6420.0
2014-01-11,6411.0,6600.0,6250.0,6365.0,10588368727,1663649,560,6370.0
2014-01-12,6200.0,6200.0,5900.0,6006.0,12023023569,2001869,479,6100.0
2014-01-13,6397.0,6420.0,6250.0,6360.0,12378100435,1946257,659,6300.0
2014-01-14,6439.0,6439.0,6100.0,6169.0,5344130129,866294,673,6101.0
2014-01-15,6320.0,6320.0,5711.0,5957.0,3246580562,545019,171,6030.0
2014-01-18,6190.0,6190.0,5850.0,6015.0,3583229516,595703,249,5850.0
2014-01-20,6149.0,6149.0,5611.0,5753.0,7015879410,1219528,525,5629.0
2014-01-21,5540.0,6100.0,5400.0,5704.0,7427448948,1302205,296,5600.0
2014-01-22,5600.0,5600.0,5248.0,5308.0,5546421897,1044963,391,5300.0
2014-01-25,5060.0,5500.0,5060.0,5335.0,10329985345,1936175,336,5291.0
2014-01-26,5151.0,5350.0,5000.0,5154.0,26115117132,5067381,624,5023.0
2014-01-27,4745.0,5090.0,4745.0,4992.0,20996641639,4205735,591,5035.0
2014-01-28,5035.0,5353.0,4998.0,5149.0,19092578030,3708263,723,5136.0
2014-01-29,5180.0,5410.0,5051.0,5234.0,53835617288,10285885,1112,5320.0
2014-03-16,5056.0,5200.0,5050.0,5155.0,59842444600,11607889,553,5200.0
2016-01-27,3001.0,3200.0,2960.0,3044.0,10582341314,3475961,833,3010.0
2016-01-30,2898.0,3000.0,2740.0,2781.0,12114280575,4355489,917,2740.0
2016-01-31,2520.0,2659.0,2506.0,2551.0,13651771813,5350994,546,2600.0
