date,open,high,low,adjClose,value,volume,count,close
2014-02-23,2580.0,2580.0,2375.0,2437.0,611530895,250983,72,2435.0
2014-02-24,2270.0,2280.0,2243.0,2270.0,146728981,64638,52,2272.0
2014-02-25,2222.0,2222.0,2089.0,2115.0,228558712,108041,56,2089.0
2014-02-26,2035.0,2157.0,2035.0,2082.0,85533542,41082,29,2080.0
2014-03-01,2100.0,2160.0,2100.0,2140.0,99475203,46493,34,2144.0
2014-03-02,2021.0,2120.0,2021.0,2036.0,102698547,50436,22,2080.0
2014-03-03,2020.0,2157.0,1900.0,1931.0,93910705,48632,18,2000.0
2014-03-04,1905.0,2085.0,1905.0,2060.0,231736865,112493,55,2060.0
2014-03-05,2001.0,2160.0,2000.0,2095.0,229955564,109775,69,2075.0
2014-03-08,2016.0,2040.0,1999.0,2021.0,149430192,73931,36,2010.0
2014-03-09,1911.0,2000.0,1910.0,1935.0,115226378,59550,23,1950.0
2014-03-10,1950.0,2089.0,1950.0,2084.0,274383190,131660,43,2089.0
2014-03-11,2040.0,2041.0,2000.0,2039.0,121212040,59434,36,2000.0
2014-03-12,2200.0,2200.0,2050.0,2083.0,211669279,101595,39,2100.0
2014-03-15,2060.0,2199.0,2060.0,2136.0,102682549,48070,38,2166.0
2014-03-16,2150.0,2150.0,2100.0,2109.0,79420503,37658,28,2110.0
2014-03-17,2102.0,2181.0,2102.0,2150.0,153441170,71380,36,2150.0
2014-03-18,2043.0,2080.0,2043.0,2057.0,71110381,34567,18,2056.0
2014-03-19,2198.0,2221.0,2198.0,2219.0,102398266,46146,29,2221.0
2014-03-25,2396.0,2396.0,2396.0,2396.0,112516160,46960,29,2396.0
2014-03-26,2570.0,2570.0,2230.0,2386.0,1039371413,435599,117,2400.0
2014-03-29,2450.0,2450.0,2240.0,2324.0,298065142,128247,34,2399.0
2014-03-30,2449.0,2509.0,2421.0,2483.0,435058070,175241,77,2509.0
2014-03-31,2500.0,2670.0,2460.0,2623.0,520732769,198535,90,2610.0
2014-04-05,2819.0,2819.0,2490.0,2640.0,909350439,344439,110,2490.0
2014-04-06,2431.0,2431.0,2429.0,2429.0,215426581,88689,24,2429.0
2014-04-07,2235.0,2388.0,2235.0,2282.0,620915252,272095,81,2328.0
2014-04-08,2266.0,2464.0,2266.0,2429.0,511246084,210471,84,2420.0
2014-04-09,2287.0,2415.0,2287.0,2342.0,151478517,64667,38,2369.0
2014-04-12,2296.0,2296.0,2155.0,2164.0,510071897,235760,44,2180.0
2014-04-13,1999.0,2110.0,1991.0,2019.0,253484724,125538,55,2007.0
2014-04-14,1900.0,2000.0,1900.0,1938.0,260535267,134430,72,1912.0
2014-04-15,1965.0,2093.0,1965.0,2079.0,517841077,249060,84,2066.0
2014-04-16,2060.0,2150.0,1928.0,1993.0,861547513,432229,205,1985.0
2014-06-16,1900.0,1900.0,1900.0,1900.0,6614800600,3481474,130,1900.0
2015-07-11,330.0,363.0,330.0,336.0,18526386,55079,8,363.0
2015-07-12,369.0,369.0,369.0,369.0,11211327,30383,12,369.0
2015-07-13,405.0,405.0,405.0,405.0,7880895,19459,11,405.0
2015-07-14,445.0,445.0,445.0,445.0,447508020,1005636,112,445.0
2015-07-15,489.0,489.0,489.0,489.0,74714799,152791,51,489.0
2015-07-20,530.0,530.0,441.0,459.0,128733568,280189,77,442.0
2015-07-21,430.0,430.0,414.0,426.0,61549060,144590,18,414.0
2015-07-22,390.0,390.0,384.0,386.0,82350350,213410,25,384.0
2015-07-25,384.0,385.0,348.0,350.0,177402687,506499,72,378.0
2015-07-26,378.0,385.0,378.0,382.0,103180696,269758,42,385.0
2015-07-27,385.0,398.0,356.0,384.0,71823466,187154,29,394.0
2015-07-28,391.0,391.0,354.0,367.0,73441642,200088,26,366.0
2015-07-29,374.0,383.0,373.0,378.0,57741608,152676,29,381.0
2015-08-01,407.0,407.0,372.0,382.0,26461834,69186,14,373.0
2015-08-02,350.0,368.0,344.0,351.0,47694431,135798,30,350.0
2015-08-03,359.0,386.0,339.0,380.0,426339032,1122491,73,386.0
2015-08-04,386.0,418.0,386.0,414.0,117391483,283302,45,418.0
2015-08-05,420.0,450.0,390.0,420.0,35678343,84958,32,398.0
2015-08-08,378.0,380.0,378.0,378.0,7582244,20049,9,380.0
2015-08-09,342.0,393.0,342.0,372.0,11611687,31231,11,368.0
2015-08-10,371.0,390.0,356.0,364.0,17085744,46947,9,390.0
2015-08-12,336.0,340.0,331.0,332.0,85075512,255915,23,331.0
2015-08-15,332.0,350.0,310.0,318.0,17965199,56508,12,315.0
2015-08-16,330.0,330.0,330.0,330.0,665610,2017,2,330.0
2015-08-17,299.0,312.0,297.0,298.0,135144436,453456,40,297.0
2015-08-18,272.0,274.0,272.0,273.0,23937612,87602,9,273.0
2015-08-19,290.0,300.0,290.0,300.0,146439918,488461,35,300.0
2015-08-22,300.0,330.0,300.0,320.0,30531534,95407,31,330.0
2015-08-23,288.0,330.0,288.0,310.0,105142041,338997,38,315.0
2015-11-16,150.0,150.0,150.0,150.0,1009225950,6728173,221,150.0
