date,open,high,low,adjClose,value,volume,count,close
2006-06-25,9400.0,9400.0,9400.0,9400.0,471128000,50120,293,9400.0
2009-10-27,4000.0,4000.0,4000.0,4000.0,7664000,1916,1,4000.0
2009-10-31,4001.0,4001.0,4000.0,4000.0,21706000,5426,2,4000.0
2009-11-02,4011.0,4011.0,4011.0,4011.0,2671326,666,1,4011.0
2009-11-17,4000.0,4000.0,4000.0,4000.0,40000000,10000,1,4000.0
2009-11-22,3800.0,3800.0,3720.0,3755.0,259080000,69000,7,3720.0
2009-11-23,3493.0,3493.0,3493.0,3493.0,174639521,49997,8,3493.0
2009-11-24,3249.0,3249.0,3249.0,3249.0,64980000,20000,3,3249.0
2009-11-25,3022.0,3022.0,3022.0,3022.0,151100000,50000,7,3022.0
2009-11-29,3021.0,3022.0,2900.0,3021.0,1252892726,414733,25,2900.0
2009-11-30,2823.0,2823.0,2822.0,2822.0,40226966,14253,3,2822.0
2009-12-02,3000.0,3000.0,3000.0,3000.0,35100000,11700,2,3000.0
2010-04-10,3800.0,3800.0,3800.0,3800.0,3779434400,994588,77,3800.0
