date,open,high,low,adjClose,value,volume,count,close
2020-07-01,15750.0,15750.0,15750.0,15750.0,20789966956500,1319997902,4481814,15750.0
2020-07-04,16530.0,16530.0,16530.0,15830.0,7276555590,440203,1744,16530.0
2020-07-05,16620.0,16620.0,16620.0,16000.0,15605398860,938953,3517,16620.0
2020-07-06,16800.0,16800.0,16800.0,16490.0,45137836800,2686776,4492,16800.0
2020-07-07,17310.0,17310.0,17310.0,16690.0,18713685210,1081091,4153,17310.0
2020-07-08,17520.0,17520.0,17520.0,17130.0,40618788480,2318424,3811,17520.0
2020-07-11,17980.0,17980.0,17980.0,17400.0,25486703940,1417503,5292,17980.0
2020-07-12,18270.0,18270.0,17980.0,17650.0,23306860650,1275695,4720,18270.0
2020-07-13,18530.0,18530.0,18530.0,17960.0,29074125900,1569030,5839,18530.0
2020-07-14,18850.0,18850.0,18850.0,18160.0,18831564700,999022,3895,18850.0
2020-07-15,19060.0,19060.0,19060.0,19060.0,83978664960,4406016,5818,19060.0
2020-07-18,20010.0,20010.0,20010.0,19450.0,35739140640,1786064,6770,20010.0
2020-07-19,20420.0,20420.0,20420.0,19530.0,7606286640,372492,1364,20420.0
2020-07-22,20500.0,20500.0,20500.0,20010.0,44707732500,2180865,8193,20500.0
2020-07-25,21010.0,21010.0,21010.0,20690.0,62746470050,2986505,8386,21010.0
2020-07-26,21720.0,21720.0,21720.0,21280.0,54529471800,2510565,6384,21720.0
2020-07-27,22340.0,22340.0,22340.0,21830.0,51043325600,2284840,8973,22340.0
2020-08-03,22110.0,22110.0,22110.0,21480.0,38716533570,1751087,6420,22110.0
2020-08-04,22550.0,22550.0,22550.0,21960.0,44610642450,1978299,7910,22550.0
2020-08-05,23050.0,23050.0,23050.0,22510.0,51588020600,2238092,8285,23050.0
2020-08-09,23630.0,23630.0,23630.0,23540.0,95200709410,4028807,10023,23630.0
2020-08-10,24710.0,24710.0,24710.0,24710.0,359017298010,14529231,8526,24710.0
2020-08-11,25940.0,25940.0,25940.0,25940.0,455982917800,17578370,3981,25940.0
2020-08-12,27230.0,27230.0,27230.0,27230.0,1204691579280,44241336,25014,27230.0
2020-08-15,28590.0,28590.0,27660.0,28580.0,5767442481080,201765288,80137,28590.0
2020-08-16,30000.0,30000.0,30000.0,30000.0,2074437600000,69147920,31794,30000.0
2020-08-17,31500.0,31500.0,31500.0,31500.0,2017650474000,64052396,27672,31500.0
2020-08-18,33070.0,33070.0,30030.0,32550.0,3036015813350,93284695,35566,31000.0
2020-08-22,30930.0,30930.0,30930.0,30930.0,234202362090,7572013,7172,30930.0
2020-08-23,29390.0,30930.0,29390.0,29390.0,177867675720,6051948,7454,29390.0
2020-08-24,27930.0,27930.0,27930.0,27930.0,126844011210,4541497,5363,27930.0
2020-08-25,26540.0,29320.0,26540.0,27740.0,10515581128270,379132545,371445,29320.0
2020-08-26,29120.0,29120.0,29120.0,29120.0,781124460480,26824329,41852,29120.0
2020-08-31,29500.0,29690.0,27670.0,28230.0,3274058839590,115996346,112296,27670.0
2020-09-01,26820.0,26820.0,26820.0,26820.0,102402058860,3818123,3562,26820.0
2020-09-02,25480.0,25480.0,25480.0,25480.0,317794968400,12472330,3124,25480.0
2020-09-05,25100.0,26040.0,24210.0,24550.0,1406824826090,57296823,61178,24210.0
2020-09-06,24650.0,25510.0,23330.0,23880.0,2043529068180,85558416,96629,23330.0
2020-09-07,22690.0,22690.0,22690.0,23430.0,33625014390,1481931,1603,22690.0
2020-09-08,22260.0,22260.0,22260.0,23130.0,22276739520,1000752,1113,22260.0
2020-09-09,21980.0,23040.0,21980.0,22230.0,2853469488170,128345617,141985,22450.0
2020-09-12,22490.0,23210.0,21300.0,22190.0,2136720203920,96299969,108941,21610.0
2020-09-13,21510.0,21890.0,21090.0,21240.0,285437493310,13437269,13054,21090.0
2020-09-14,20180.0,21990.0,20180.0,20920.0,2258281620290,107934151,102630,21170.0
2020-09-15,21450.0,21960.0,21020.0,21830.0,712015564800,32612503,46407,21960.0
2020-09-16,22920.0,22920.0,21010.0,22060.0,1745149775170,79109077,102438,21260.0
2020-09-19,21000.0,21600.0,20960.0,21040.0,1128025749810,53620327,95422,20960.0
2020-09-20,19990.0,20320.0,19990.0,20000.0,371288913740,18564450,30990,19990.0
2020-09-21,19000.0,19000.0,19000.0,19000.0,132831907000,6991153,4561,19000.0
2020-09-22,18800.0,19950.0,18060.0,19050.0,1546451492750,81164939,92798,19880.0
2020-09-23,20000.0,20000.0,19170.0,19970.0,1080750795090,54110326,45984,20000.0
2020-09-26,20930.0,20960.0,20000.0,20920.0,896724395200,42872771,40402,20960.0
2020-09-27,21110.0,21110.0,19880.0,20250.0,608701137820,30062810,20245,19880.0
2020-09-28,19240.0,19240.0,19240.0,19920.0,27618750640,1435486,1168,19240.0
2020-09-29,18930.0,20510.0,18930.0,19170.0,1056431298720,55109690,66263,19520.0
2020-09-30,19190.0,19750.0,18300.0,19140.0,750062645500,39193570,51079,19540.0
2020-10-03,19200.0,20090.0,19200.0,19960.0,960493297630,48122301,38221,20090.0
2020-10-04,20200.0,20200.0,18970.0,19270.0,913790245070,47424538,37430,18970.0
2020-10-05,18420.0,20230.0,18310.0,19430.0,1290885896870,66452667,53830,20230.0
2020-10-06,20400.0,20400.0,20400.0,20400.0,92426484000,4530710,12147,20400.0
