date,open,high,low,adjClose,value,volume,count,close
2001-11-06,1020.0,1020.0,1020.0,1020.0,2040000,2000,1,1020.0
2001-11-07,1030.0,1030.0,1030.0,1030.0,9244250,8975,2,1030.0
2001-11-10,1040.0,1040.0,1040.0,1040.0,3120000,3000,6,1040.0
2002-02-02,1050.0,1050.0,1050.0,1050.0,145950,139,1,1050.0
2002-02-05,1060.0,1060.0,1060.0,1060.0,82993760,78296,19,1060.0
2002-05-08,1070.0,1070.0,1070.0,1070.0,3996450,3735,1,1070.0
2002-12-01,4600.0,4600.0,4600.0,4600.0,41400000,9000,3,4600.0
2002-12-02,4650.0,4830.0,4650.0,4830.0,526529040,109420,2,4830.0
2002-12-03,4830.0,4830.0,4830.0,4830.0,28980000,6000,2,4830.0
2002-12-24,4900.0,4900.0,4900.0,4900.0,102900000,21000,3,4900.0
2002-12-25,4901.0,4901.0,4901.0,4901.0,9802000,2000,2,4901.0
2002-12-29,4850.0,4900.0,4850.0,4900.0,18968000,3880,4,4900.0
2002-12-31,4800.0,4830.0,4800.0,4800.0,10585320,2204,7,4800.0
2003-01-05,4800.0,4800.0,4800.0,4800.0,5433600,1132,6,4800.0
2003-01-06,4800.0,4800.0,4800.0,4800.0,2112000,440,5,4800.0
2003-01-08,4830.0,4830.0,4830.0,4830.0,985320,204,1,4830.0
2003-01-11,4801.0,4801.0,4801.0,4801.0,3696770,770,7,4801.0
2003-01-12,5039.0,5039.0,4807.0,4807.0,1350824185,268895,10,4807.0
2003-01-14,5039.0,5040.0,5038.0,5040.0,151087122,29983,16,5040.0
2003-01-15,5040.0,5040.0,5040.0,5040.0,48384000,9600,3,5040.0
2003-01-18,5040.0,5040.0,5040.0,5040.0,16934400,3360,1,5040.0
2003-01-25,5300.0,5300.0,5300.0,5300.0,585469800,110466,13,5300.0
2003-01-27,5300.0,5300.0,5300.0,5300.0,2067000,390,1,5300.0
2003-02-03,5565.0,5565.0,5565.0,5565.0,5565000,1000,2,5565.0
2003-02-05,5843.0,5843.0,5833.0,5843.0,30664916,5252,7,5843.0
2003-02-09,5843.0,5843.0,5843.0,5843.0,2465746,422,1,5843.0
2003-02-10,5843.0,5843.0,5843.0,5843.0,5843000,1000,1,5843.0
2003-02-15,5846.0,5852.0,5846.0,5852.0,189647512,32432,4,5852.0
2003-03-01,5900.0,5900.0,5900.0,5900.0,284049600,48144,5,5900.0
2003-03-02,5900.0,5900.0,5900.0,5900.0,1659080000,281200,30,5900.0
2003-03-03,5900.0,6090.0,5900.0,6090.0,1814590980,307322,33,6090.0
2003-03-04,6090.0,6090.0,6090.0,6090.0,1585038210,260269,30,6090.0
2003-03-05,6050.0,6050.0,6020.0,6020.0,1657588000,274400,28,6020.0
2003-03-08,5999.0,6001.0,5950.0,5950.0,1777210000,298000,33,5950.0
2003-03-10,5950.0,5950.0,5950.0,5950.0,1785000000,300000,31,5950.0
2003-03-11,5950.0,5950.0,5950.0,5950.0,1785000000,300000,30,5950.0
