date,open,high,low,adjClose,value,volume,count,close
2001-04-07,7997.0,8000.0,7997.0,8000.0,39990704,5000,10,8000.0
2001-04-08,8000.0,8000.0,8000.0,8000.0,5960000,745,1,8000.0
2001-04-10,8200.0,8200.0,8200.0,8200.0,8200000,1000,2,8200.0
2001-04-11,8200.0,8200.0,8200.0,8200.0,2091000,255,1,8200.0
2001-04-14,8188.0,8188.0,8050.0,8050.0,16427520,2040,3,8050.0
2001-04-15,8000.0,8049.0,8000.0,8049.0,24040981,3000,3,8049.0
2001-04-17,8000.0,8000.0,8000.0,8000.0,2400000,300,1,8000.0
2001-04-28,7980.0,7980.0,7980.0,7980.0,5107200,640,1,7980.0
2001-04-30,7970.0,7970.0,7970.0,7970.0,5323960,668,1,7970.0
2001-05-09,7958.0,7960.0,7958.0,7960.0,47755910,6000,9,7960.0
2001-05-13,7760.0,7760.0,7563.0,7563.0,30646000,4000,2,7563.0
2001-05-15,7185.0,7562.0,7185.0,7562.0,105631056,14332,12,7562.0
2001-05-16,7563.0,7563.0,7562.0,7563.0,19965550,2640,4,7563.0
2001-06-19,6799.0,6799.0,6799.0,6799.0,13292045,1955,390,6799.0
2001-10-16,6500.0,6500.0,6500.0,6500.0,13000000,2000,1,6500.0
2001-10-17,6520.0,6600.0,6500.0,6600.0,104875000,15925,18,6600.0
2001-10-20,6600.0,6600.0,6565.0,6600.0,33871500,5140,10,6600.0
2001-10-21,6600.0,6600.0,6600.0,6600.0,12625800,1913,5,6600.0
2001-10-22,6599.0,6600.0,6599.0,6600.0,30834200,4672,7,6600.0
2001-10-28,6599.0,6600.0,6599.0,6600.0,17805235,2698,4,6600.0
2001-11-04,6600.0,6600.0,6600.0,6600.0,9900000,1500,2,6600.0
2001-12-02,6599.0,6600.0,6599.0,6600.0,9984487,1513,3,6600.0
2001-12-04,6599.0,6600.0,6599.0,6600.0,8678340,1315,2,6600.0
2001-12-19,6600.0,6600.0,6600.0,6600.0,100287000,15195,294,6600.0
2001-12-23,6599.0,6600.0,6599.0,6600.0,8711357,1320,3,6600.0
2001-12-24,6600.0,6600.0,6600.0,6600.0,264000,40,1,6600.0
2002-01-02,6270.0,6270.0,6270.0,6270.0,18302130,2919,4,6270.0
2002-01-05,6270.0,6270.0,6270.0,6270.0,17988630,2869,2,6270.0
2002-01-19,6259.0,6270.0,6259.0,6270.0,53338435,8510,11,6270.0
2002-01-23,6269.0,6270.0,6269.0,6270.0,36684609,5851,14,6270.0
2002-01-27,6270.0,6270.0,6270.0,6270.0,4006530,639,1,6270.0
2002-01-28,6270.0,6270.0,6270.0,6270.0,7912740,1262,4,6270.0
2002-01-30,6270.0,6270.0,6270.0,6270.0,4627260,738,1,6270.0
2002-02-05,6267.0,6267.0,6267.0,6267.0,6267000,1000,1,6267.0
2002-02-10,6267.0,6267.0,6267.0,6267.0,7833750,1250,2,6267.0
2002-02-13,6264.0,6265.0,6264.0,6265.0,407188,65,2,6265.0
2002-02-18,6200.0,6270.0,6200.0,6270.0,81310703,13000,16,6270.0
2002-02-19,6270.0,6500.0,6270.0,6500.0,1227682210,188875,2,6500.0
2002-02-20,6500.0,6500.0,6500.0,6500.0,39000000,6000,3,6500.0
2002-02-26,6500.0,6500.0,6500.0,6500.0,97500,15,1,6500.0
2002-03-13,6175.0,6175.0,6175.0,6175.0,6175000,1000,1,6175.0
2002-04-06,6000.0,6000.0,6000.0,6000.0,42000000,7000,7,6000.0
2002-04-10,5988.0,5988.0,5988.0,5988.0,2017956,337,1,5988.0
2002-04-20,5800.0,5800.0,5800.0,5800.0,5800000,1000,2,5800.0
2002-04-29,5973.0,5974.0,5973.0,5974.0,50838062,8510,14,5974.0
2002-04-30,5980.0,5980.0,5980.0,5980.0,2990000,500,1,5980.0
2002-05-01,5982.0,5982.0,5982.0,5982.0,12777552,2136,3,5982.0
2002-05-05,5982.0,5982.0,5982.0,5982.0,11180358,1869,6,5982.0
2002-05-06,6001.0,6001.0,6000.0,6000.0,12001000,2000,2,6000.0
2002-05-26,5700.0,6000.0,5700.0,6000.0,26398500,4500,3,6000.0
2002-06-03,5999.0,6000.0,5999.0,6000.0,11999000,2000,2,6000.0
2002-06-10,6000.0,6000.0,6000.0,6000.0,36816000,6136,6,6000.0
2002-06-11,6000.0,6000.0,6000.0,6000.0,28734000,4789,9,6000.0
2002-06-17,6001.0,6001.0,6001.0,6001.0,25690281,4281,12,6001.0
2002-06-22,6003.0,6003.0,6003.0,6003.0,3799899,633,1,6003.0
2002-06-23,6005.0,6006.0,6005.0,6005.0,1405220,234,5,6005.0
2003-06-22,3400.0,3400.0,3400.0,3400.0,3053200,898,2,3400.0
2003-06-30,3364.0,3364.0,3364.0,3364.0,2062132,613,3,3364.0
2003-07-23,3196.0,3196.0,3196.0,3196.0,3196000,1000,1,3196.0
2003-07-27,3037.0,3037.0,3037.0,3037.0,3037000,1000,1,3037.0
2003-08-03,2885.0,2885.0,2885.0,2885.0,2885000,1000,1,2885.0
2003-08-09,2885.0,2885.0,2885.0,2885.0,8300145,2877,2,2885.0
2003-08-10,2700.0,2880.0,2700.0,2880.0,19177020,6776,8,2880.0
2003-08-11,2760.0,2870.0,2760.0,2870.0,5276330,1877,2,2870.0
2003-08-23,2868.0,2868.0,2867.0,2867.0,21346545,7445,87,2867.0
2003-08-24,2868.0,2868.0,2867.0,2867.0,1978919,690,2,2867.0
2003-08-26,2867.0,2867.0,2867.0,2867.0,3758637,1311,3,2867.0
2003-08-27,2859.0,2867.0,2859.0,2867.0,69294244628,24169604,5,2867.0
2003-08-31,2860.0,2860.0,2860.0,2860.0,44881980,15693,3,2860.0
2003-09-03,2867.0,2868.0,2867.0,2868.0,9908002,3455,3,2868.0
2004-01-17,2724.0,2724.0,2724.0,2724.0,2724000,1000,1,2724.0
2004-01-18,2724.0,2725.0,2724.0,2724.0,65834879692,24168458,3,2724.0
2004-02-18,2588.0,2681.0,2588.0,2681.0,34835410,13460,7,2681.0
2004-02-23,2681.0,2681.0,2681.0,2681.0,67025,25,5,2681.0
2004-02-29,2547.0,2675.0,2547.0,2675.0,4430513,1739,2,2675.0
2004-03-03,2547.0,2663.0,2547.0,2663.0,10214630,4010,6,2663.0
2004-03-10,2610.0,2659.0,2600.0,2659.0,7130890,2735,5,2659.0
2004-04-05,2659.0,2725.0,2659.0,2689.0,75824146,27855,6,2689.0
2004-04-06,2725.0,2725.0,2692.0,2692.0,13736395,5041,3,2692.0
2004-04-07,2692.0,2692.0,2692.0,2692.0,9443536,3508,4,2692.0
2004-04-18,2694.0,2694.0,2692.0,2692.0,3289354,1221,2,2692.0
2004-05-01,2695.0,2695.0,2692.0,2692.0,5085435,1887,2,2692.0
2004-05-10,2694.0,2694.0,2692.0,2692.0,2720920,1010,2,2692.0
2004-05-15,2695.0,2695.0,2692.0,2692.0,3576235,1327,3,2692.0
2004-05-17,2695.0,2695.0,2692.0,2692.0,6567685,2437,5,2692.0
2004-05-18,2695.0,2695.0,2692.0,2692.0,3465740,1286,3,2692.0
2004-05-22,2695.0,2695.0,2692.0,2692.0,506630,188,4,2692.0
2004-05-29,2700.0,2700.0,2692.0,2692.0,5872420,2175,4,2692.0
2004-06-02,2706.0,2706.0,2693.0,2693.0,12817663,4738,6,2693.0
2004-06-08,2701.0,2701.0,2693.0,2693.0,13531930,5010,3,2693.0
2004-06-09,2720.0,2720.0,2695.0,2695.0,34888923,12898,6,2695.0
2004-06-19,2750.0,2750.0,2701.0,2701.0,43682670,16070,12,2701.0
2004-06-21,2750.0,2750.0,2703.0,2703.0,9291780,3379,3,2703.0
2004-06-22,2838.0,2838.0,2727.0,2727.0,44668270,16010,5,2727.0
2004-06-23,2720.0,2726.0,2720.0,2726.0,16515791,6070,3,2726.0
2004-06-26,2862.0,2862.0,2861.0,2861.0,163162610,57010,7,2861.0
2004-06-27,3004.0,3004.0,2880.0,2880.0,23880560,7950,2,2880.0
2004-07-05,3024.0,3024.0,2905.0,2905.0,30269050,10010,2,2905.0
2004-07-06,3050.0,3050.0,3050.0,3050.0,610003050,200001,75,3050.0
2004-07-07,3202.0,3202.0,3202.0,3202.0,183794800,57400,26,3202.0
2004-07-10,3362.0,3362.0,3362.0,3362.0,192978800,57400,28,3362.0
2004-07-11,3530.0,3530.0,3530.0,3530.0,603234640,170888,64,3530.0
2004-07-12,3706.0,3706.0,3706.0,3706.0,212724400,57400,27,3706.0
2004-07-13,3891.0,3891.0,3891.0,3891.0,246689400,63400,31,3891.0
2004-07-14,4085.0,4085.0,4085.0,4085.0,535670135,131131,43,4085.0
2004-07-17,4050.0,4050.0,3881.0,3913.0,279929378,71526,36,3913.0
2004-07-18,3718.0,3724.0,3718.0,3724.0,206832400,55630,25,3724.0
2004-07-19,3706.0,3706.0,3538.0,3621.0,128476056,36073,25,3621.0
2004-07-20,3619.0,3620.0,3450.0,3579.0,68023839,19440,12,3579.0
2004-07-24,3579.0,3600.0,3562.0,3575.0,136559450,38210,16,3575.0
2004-07-25,3648.0,3710.0,3591.0,3591.0,36221128,9866,10,3591.0
2004-07-26,3770.0,3770.0,3613.0,3613.0,27262320,7236,7,3613.0
2004-07-27,3760.0,3793.0,3627.0,3627.0,17464060,4609,4,3627.0
2004-07-28,3808.0,3808.0,3808.0,3808.0,222006400,58300,10,3808.0
