date,open,high,low,adjClose,value,volume,count,close
2001-09-18,4500.0,4500.0,4500.0,4500.0,42300000,9400,6,4500.0
2001-10-17,4500.0,4500.0,4500.0,4500.0,2376000,528,1,4500.0
2001-11-27,4725.0,4725.0,4725.0,4725.0,283500000,60000,6,4725.0
2002-01-20,4000.0,4000.0,4000.0,4000.0,2000000,500,1,4000.0
2002-03-16,7900.0,7900.0,7900.0,7900.0,142200000000,18000000,60,7900.0
2002-03-17,7900.0,7900.0,4200.0,4200.0,3765000,500,2,4200.0
2002-04-13,4410.0,4410.0,4410.0,4410.0,62181000,14100,4,4410.0
2005-11-21,2888.0,2888.0,2888.0,2888.0,4017208,1391,2,2888.0
2005-12-03,3032.0,3032.0,2888.0,2888.0,304792,101,2,2888.0
2005-12-04,3032.0,3032.0,2888.0,2888.0,332080,110,2,2888.0
2005-12-05,3032.0,3032.0,2888.0,2888.0,332080,110,2,2888.0
2005-12-06,3032.0,3032.0,2888.0,2888.0,332080,110,2,2888.0
2009-06-28,1000.0,1000.0,1000.0,1000.0,3742000,3742,1,1000.0
2009-06-30,1030.0,1030.0,1030.0,1000.0,515000,500,1,1030.0
2009-09-16,2791.0,2792.0,2791.0,2792.0,8492764,3042,3,2792.0
2010-08-23,2903.0,2903.0,2903.0,2903.0,192146667,66189,5,2903.0
2010-08-29,3019.0,3019.0,3019.0,2907.0,3019000,1000,1,3019.0
2010-08-30,3023.0,3023.0,3023.0,3023.0,302300000,100000,2,3023.0
2010-09-05,3143.0,3143.0,3143.0,3024.0,942900,300,1,3143.0
2010-09-06,3144.0,3144.0,3144.0,3025.0,864600,275,2,3144.0
2010-09-07,3146.0,3146.0,3146.0,3146.0,157300000,50000,4,3146.0
2010-09-14,3271.0,3271.0,3271.0,3271.0,163550000,50000,1,3271.0
2010-09-15,3401.0,3401.0,3401.0,3401.0,340100000,100000,8,3401.0
2010-09-18,3537.0,3537.0,3537.0,3537.0,379279584,107232,3,3537.0
2010-09-19,3678.0,3678.0,3678.0,3678.0,115908492,31514,6,3678.0
2010-09-20,3825.0,3825.0,3825.0,3823.0,118575000,31000,1,3825.0
2010-09-21,3975.0,3975.0,3975.0,3975.0,124815000,31400,1,3975.0
2010-09-22,4134.0,4134.0,4134.0,4134.0,129972960,31440,2,4134.0
2010-09-26,4299.0,4299.0,4299.0,4213.0,64485000,15000,3,4299.0
2010-09-27,4381.0,4381.0,4100.0,4377.0,2552406887,583090,84,4381.0
2010-09-28,4378.0,4486.0,4377.0,4465.0,433923038,97184,18,4485.0
2010-09-29,4552.0,4552.0,4287.0,4459.0,61989898,13923,7,4551.0
2010-10-02,4352.0,4352.0,4281.0,4312.0,231822354,53764,12,4281.0
2010-10-03,4140.0,4140.0,4140.0,4140.0,132935400,32110,5,4140.0
2010-10-06,3975.0,3975.0,3975.0,3983.0,119250000,30000,7,3975.0
2010-10-11,3824.0,3824.0,3824.0,3948.0,26768000,7000,2,3824.0
2010-10-17,3791.0,3791.0,3791.0,3948.0,189550,50,1,3791.0
2010-10-18,3791.0,3791.0,3791.0,3823.0,94687807,24977,13,3791.0
2010-10-19,3671.0,3680.0,3671.0,3768.0,42243500,11500,5,3680.0
2010-10-20,3619.0,3619.0,3618.0,3619.0,296396762,81909,9,3618.0
2010-10-23,3760.0,3760.0,3760.0,3646.0,22560000,6000,1,3760.0
2010-10-24,3791.0,3791.0,3791.0,3685.0,31654850,8350,7,3791.0
2010-10-25,3832.0,3832.0,3832.0,3832.0,190917904,49822,18,3832.0
