date,open,high,low,adjClose,value,volume,count,close
2004-11-30,6700.0,6700.0,6700.0,6700.0,21888900,3267,1,6700.0
2004-12-04,6701.0,6701.0,6701.0,6701.0,8041200,1200,2,6701.0
2004-12-05,6701.0,6710.0,6701.0,6709.0,948908623,141418,4,6709.0
2004-12-07,6711.0,6711.0,6711.0,6711.0,1476420,220,1,6711.0
2004-12-11,6712.0,6712.0,6711.0,6711.0,305548408,45528,6,6711.0
2004-12-12,6849.0,6850.0,6849.0,6849.0,39149590,5716,3,6849.0
2004-12-13,6800.0,6800.0,6800.0,6800.0,16048000,2360,1,6800.0
2004-12-18,6804.0,7000.0,6804.0,6998.0,453821740,64844,9,6998.0
2004-12-20,7199.0,7200.0,7199.0,7199.0,147880261,20539,5,7199.0
2004-12-21,7918.0,7918.0,7918.0,7918.0,158360000,20000,2,7918.0
2004-12-22,7918.0,7950.0,7918.0,7947.0,16840740,2119,3,7947.0
2004-12-25,7951.0,7951.0,7950.0,7950.0,40049150,5037,3,7950.0
2004-12-26,7950.0,7950.0,7950.0,7950.0,10764300,1354,3,7950.0
2004-12-27,7952.0,7952.0,7952.0,7952.0,19880000,2500,1,7952.0
2004-12-28,7951.0,7953.0,7951.0,7952.0,19681700,2475,4,7952.0
2004-12-29,7952.0,7952.0,7951.0,7951.0,175301795,22045,4,7951.0
2005-01-01,7951.0,7951.0,7951.0,7951.0,57843525,7275,2,7951.0
2005-01-02,7951.0,7951.0,7951.0,7951.0,24250550,3050,4,7951.0
2005-01-05,7951.0,7951.0,7951.0,7951.0,3760823,473,1,7951.0
2005-01-10,7890.0,7894.0,7890.0,7893.0,79096260,10020,5,7893.0
2005-01-17,7820.0,7820.0,7820.0,7820.0,25587040,3272,2,7820.0
2011-10-05,920.0,1080.0,920.0,1028.0,10770930,10475,5,1080.0
2011-10-08,1110.0,1110.0,1110.0,1110.0,11100,10,1,1110.0
2011-10-09,1198.0,1198.0,1198.0,1198.0,1198,1,1,1198.0
2011-10-10,1293.0,1293.0,1293.0,1293.0,94942404,73428,5,1293.0
2011-10-11,1396.0,1396.0,1396.0,1396.0,1312316780,940055,78,1396.0
2011-10-26,1438.0,1438.0,1438.0,1438.0,934700,650,1,1438.0
2011-10-29,1438.0,1438.0,1438.0,1438.0,790900,550,1,1438.0
2011-11-02,1323.0,1323.0,1323.0,1323.0,1763683362,1333094,62,1323.0
2012-03-07,950.0,950.0,950.0,950.0,3277019300,3449494,69,950.0
