date,open,high,low,adjClose,value,volume,count,close
2002-12-11,975.0,980.0,300.0,500.0,7169100,21340,6,500.0
2002-12-14,525.0,550.0,525.0,550.0,91206900,166100,30,550.0
2002-12-16,605.0,605.0,605.0,605.0,1210000,2000,2,605.0
2002-12-17,665.0,665.0,665.0,665.0,1995000,3000,7,665.0
2002-12-18,731.0,731.0,731.0,731.0,1462000,2000,2,731.0
2002-12-21,804.0,804.0,804.0,804.0,2156328,2682,5,804.0
2002-12-22,844.0,844.0,844.0,844.0,64101800,75950,32,844.0
2002-12-23,886.0,886.0,886.0,886.0,22061400,24900,4,886.0
2002-12-24,930.0,930.0,930.0,930.0,4521660,4862,4,930.0
2002-12-28,976.0,976.0,976.0,976.0,97600,100,2,976.0
2002-12-29,1024.0,1024.0,1024.0,1024.0,204800,200,1,1024.0
2002-12-31,1075.0,1075.0,1075.0,1075.0,107500,100,1,1075.0
2003-01-01,1128.0,1128.0,1128.0,1128.0,1128000,1000,4,1128.0
2003-01-04,1184.0,1184.0,1170.0,1180.0,74137018,62672,54,1180.0
2003-01-07,1239.0,1239.0,1239.0,1239.0,4112241,3319,2,1239.0
2003-01-08,1300.0,1300.0,1300.0,1300.0,1326000,1020,2,1300.0
2003-01-11,1365.0,1365.0,1365.0,1365.0,1569750,1150,2,1365.0
2003-01-12,1433.0,1433.0,1433.0,1433.0,5158800,3600,4,1433.0
2003-01-13,1504.0,1504.0,1504.0,1504.0,7880960,5240,11,1504.0
2003-01-14,1579.0,1579.0,1579.0,1579.0,1579000,1000,2,1579.0
2003-01-15,1657.0,1657.0,1657.0,1657.0,1657000,1000,3,1657.0
2003-01-18,1739.0,1739.0,1739.0,1739.0,1739000,1000,3,1739.0
2003-01-20,1825.0,1825.0,1825.0,1825.0,3394500,1860,4,1825.0
2003-01-22,1916.0,1916.0,1916.0,1916.0,3220796,1681,4,1916.0
2003-01-25,2011.0,2011.0,2011.0,2011.0,2011000,1000,2,2011.0
2003-01-26,2111.0,2111.0,2111.0,2111.0,7430720,3520,5,2111.0
2003-01-27,2216.0,2216.0,2216.0,2216.0,3102400,1400,3,2216.0
2003-01-28,2326.0,2326.0,2216.0,2216.0,176566707,76747,53,2216.0
2003-01-29,2106.0,2109.0,2106.0,2106.0,20941666,9941,12,2106.0
2003-02-05,2211.0,2211.0,2106.0,2106.0,32640000,15000,2,2106.0
2003-02-09,2001.0,2001.0,2001.0,2001.0,40020000,20000,11,2001.0
2003-02-15,1901.0,1901.0,1901.0,1901.0,1901000,1000,2,1901.0
2003-02-16,1901.0,1901.0,1806.0,1806.0,1844020,1020,3,1806.0
2003-02-17,1716.0,1716.0,1716.0,1716.0,1716000,1000,1,1716.0
2003-02-18,1631.0,1631.0,1631.0,1631.0,652400,400,1,1631.0
2003-02-19,1550.0,1712.0,1550.0,1712.0,221347657,138575,65,1712.0
2003-02-22,1797.0,1797.0,1712.0,1797.0,42719540,23820,11,1797.0
2003-02-23,1886.0,1886.0,1886.0,1886.0,4620700,2450,1,1886.0
2003-02-24,1980.0,1980.0,1886.0,1886.0,25478780,13330,13,1886.0
2003-02-25,1886.0,1920.0,1886.0,1920.0,4952740,2590,2,1920.0
2003-02-26,1900.0,1900.0,1824.0,1824.0,40014160,21340,11,1824.0
2003-03-01,1824.0,1915.0,1741.0,1915.0,51014412,27563,14,1915.0
2003-03-02,2010.0,2010.0,2010.0,2010.0,85324500,42450,10,2010.0
2003-03-03,2110.0,2110.0,2110.0,2110.0,175130000,83000,21,2110.0
2003-03-04,2215.0,2215.0,2215.0,2215.0,7103505,3207,3,2215.0
2003-03-05,2325.0,2325.0,2325.0,2325.0,2952750,1270,1,2325.0
2003-03-08,2441.0,2441.0,2441.0,2441.0,7811200,3200,3,2441.0
2003-03-09,2563.0,2563.0,2563.0,2563.0,38032357,14839,5,2563.0
2003-03-10,2691.0,2691.0,2435.0,2435.0,348405170,130008,35,2435.0
2003-03-11,2435.0,2556.0,2435.0,2556.0,89996100,36860,9,2556.0
2003-03-12,2504.0,2630.0,2502.0,2589.0,139196933,54141,35,2589.0
2003-03-15,2590.0,2590.0,2570.0,2570.0,92080400,35560,22,2570.0
