date,open,high,low,adjClose,value,volume,count,close
2003-08-19,1500.0,1500.0,1500.0,1500.0,15000000,10000,2,1500.0
2003-08-20,1550.0,1550.0,1550.0,1550.0,31000000,20000,6,1550.0
2003-08-24,1400.0,1401.0,1400.0,1400.0,25205000,18000,6,1400.0
2003-08-25,1398.0,1399.0,1391.0,1394.0,22536809,16166,7,1394.0
2003-08-26,1387.0,1388.0,1369.0,1375.0,95274447,69272,25,1375.0
2003-08-27,1370.0,1370.0,1330.0,1362.0,10715082,7865,6,1362.0
2003-08-30,1380.0,1399.0,1369.0,1371.0,62079316,45265,14,1371.0
2003-08-31,1407.0,1500.0,1380.0,1412.0,41140997,29135,15,1412.0
2003-09-01,1412.0,1453.0,1412.0,1444.0,61713174,42750,25,1444.0
2003-09-02,1425.0,1430.0,1420.0,1426.0,44474806,31190,8,1426.0
2003-09-03,1421.0,1426.0,1420.0,1421.0,16345898,11500,5,1421.0
2003-09-06,1426.0,1433.0,1426.0,1426.0,35001501,24500,7,1426.0
2003-09-07,1426.0,1426.0,1423.0,1425.0,12826804,9000,7,1425.0
2003-09-08,1420.0,1420.0,1400.0,1402.0,8516502,6075,3,1402.0
2003-09-09,1397.0,1400.0,1397.0,1399.0,20980062,15000,7,1399.0
2003-09-15,1260.0,1260.0,1260.0,1260.0,144900,115,1,1260.0
2003-09-16,1134.0,1134.0,1134.0,1134.0,9077670,8005,5,1134.0
2003-09-17,1021.0,1021.0,1021.0,1021.0,1021000,1000,1,1021.0
2003-09-20,1000.0,1010.0,919.0,955.0,6858537,7180,9,955.0
2003-09-22,1000.0,1000.0,1000.0,1000.0,1389000,1389,2,1000.0
2003-09-23,1000.0,1001.0,1000.0,1000.0,13152127,13150,17,1000.0
2003-09-29,948.0,948.0,948.0,948.0,1289280,1360,1,948.0
2003-09-30,900.0,900.0,900.0,900.0,4523400,5026,4,900.0
2003-10-04,894.0,894.0,894.0,894.0,4595160,5140,6,894.0
2003-10-05,805.0,900.0,805.0,893.0,13577306,15200,14,893.0
2003-10-07,892.0,900.0,892.0,899.0,4978298,5537,5,899.0
2003-10-08,900.0,910.0,900.0,902.0,16853384,18674,8,902.0
2003-10-11,911.0,915.0,909.0,910.0,24399551,26800,15,910.0
2003-10-13,910.0,910.0,910.0,910.0,88655840,97424,21,910.0
2003-10-14,910.0,910.0,909.0,909.0,436675,480,4,909.0
2003-10-15,909.0,909.0,909.0,909.0,21621474,23786,8,909.0
2003-10-18,909.0,909.0,908.0,908.0,7824668,8610,8,908.0
2003-10-19,910.0,910.0,910.0,910.0,10361260,11386,9,910.0
2003-10-20,920.0,920.0,920.0,920.0,225400,245,1,920.0
2003-10-21,936.0,936.0,936.0,936.0,246168,263,1,936.0
2003-10-22,980.0,1002.0,980.0,999.0,22985477,23004,17,999.0
2003-10-25,1003.0,1050.0,1003.0,1031.0,36393674,35277,10,1031.0
2003-10-26,1009.0,1071.0,1008.0,1050.0,30941957,29465,9,1050.0
2003-10-27,1020.0,1050.0,1020.0,1044.0,19319994,18500,5,1044.0
2003-10-28,1051.0,1052.0,1047.0,1050.0,7183198,6835,6,1050.0
2003-10-29,1020.0,1020.0,1008.0,1013.0,3181109,3138,3,1013.0
2003-11-01,1003.0,1004.0,1003.0,1003.0,347253,346,4,1003.0
2003-11-03,998.0,1010.0,998.0,1002.0,51328795,51200,21,1002.0
2003-11-04,1001.0,1010.0,1001.0,1009.0,27763875,27508,15,1009.0
2003-11-05,910.0,910.0,909.0,909.0,8426604,9270,4,909.0
2003-11-08,819.0,998.0,819.0,981.0,32270205,32869,15,981.0
2003-11-09,990.0,1000.0,990.0,992.0,65800860,66309,17,992.0
2003-11-10,980.0,1001.0,980.0,996.0,19929996,20000,7,996.0
