date,open,high,low,adjClose,value,volume,count,close
2001-05-13,3400.0,3400.0,3398.0,3398.0,4419400,1300,2,3398.0
2001-05-19,3313.0,3313.0,3313.0,3313.0,2166702,654,5,3313.0
2001-05-20,3313.0,3313.0,3313.0,3313.0,662600,200,1,3313.0
2001-05-21,3264.0,3264.0,3264.0,3264.0,3264000,1000,1,3264.0
2001-05-23,3263.0,3263.0,3263.0,3263.0,1892540,580,1,3263.0
2001-05-26,3263.0,3264.0,3263.0,3264.0,18113574,5550,6,3264.0
2001-05-27,3264.0,3264.0,3264.0,3264.0,5375808,1647,3,3264.0
2001-05-28,3264.0,3264.0,3264.0,3264.0,463488,142,1,3264.0
2001-05-30,3264.0,3264.0,3264.0,3264.0,979200,300,1,3264.0
2001-06-02,3264.0,3264.0,3264.0,3264.0,6528000,2000,5,3264.0
2001-06-06,3267.0,3267.0,3267.0,3267.0,460647,141,1,3267.0
2001-06-16,3272.0,3272.0,3272.0,3272.0,1590192,486,1,3272.0
2001-06-17,3273.0,3273.0,3273.0,3273.0,464766,142,1,3273.0
2001-06-19,3280.0,3280.0,3278.0,3278.0,3743760,1142,2,3278.0
2001-06-20,3300.0,3300.0,3300.0,3300.0,468600,142,1,3300.0
2001-06-23,3320.0,3320.0,3310.0,3310.0,21575000,6500,5,3310.0
2001-06-25,3400.0,3400.0,3311.0,3312.0,13857187,4091,7,3312.0
2001-06-30,3322.0,3322.0,3322.0,3322.0,471724,142,1,3322.0
2001-07-07,3488.0,3488.0,3488.0,3488.0,2891552,829,1,3488.0
2001-07-08,3488.0,3488.0,3488.0,3488.0,976640,280,1,3488.0
2001-07-09,3488.0,3488.0,3488.0,3488.0,976640,280,1,3488.0
2001-07-22,3488.0,3488.0,3488.0,3488.0,495296,142,1,3488.0
2001-08-01,3488.0,3488.0,3488.0,3488.0,1388224,398,3,3488.0
2001-08-11,3488.0,3490.0,3488.0,3490.0,3387132,971,3,3490.0
2001-08-12,3490.0,3490.0,3490.0,3490.0,495580,142,1,3490.0
2001-08-13,3490.0,3490.0,3490.0,3490.0,8725000,2500,1,3490.0
2001-08-15,3492.0,3492.0,3492.0,3492.0,2109168,604,5,3492.0
2001-08-18,3500.0,3500.0,3500.0,3500.0,448000,128,1,3500.0
2001-08-22,3530.0,3530.0,3530.0,3530.0,635400,180,1,3530.0
