date,open,high,low,adjClose,value,volume,count,close
2001-04-11,4427.0,4438.0,4427.0,4438.0,188188090,42505,14,4438.0
2001-04-14,4440.0,4500.0,4440.0,4500.0,4269480,953,2,4500.0
2001-04-15,4503.0,4505.0,4501.0,4504.0,82009960,18214,11,4504.0
2001-04-16,4510.0,4511.0,4505.0,4505.0,136234230,30230,21,4505.0
2001-04-17,4522.0,4524.0,4520.0,4524.0,37457505,8285,8,4524.0
2001-04-18,4531.0,4531.0,4531.0,4531.0,1495230,330,1,4531.0
2001-04-21,4600.0,4620.0,4600.0,4620.0,23611196,5118,9,4620.0
2001-04-22,4625.0,4700.0,4622.0,4700.0,16875500,3635,7,4700.0
2001-04-23,4750.0,4800.0,4750.0,4800.0,49178909,10342,12,4800.0
2001-04-24,4800.0,4805.0,4800.0,4805.0,25276425,5265,6,4805.0
2001-04-25,4807.0,4850.0,4807.0,4850.0,18682875,3870,4,4850.0
2001-04-28,4850.0,4850.0,4850.0,4850.0,3011850,621,2,4850.0
2001-04-29,4853.0,4853.0,4853.0,4853.0,5474184,1128,2,4853.0
2001-04-30,4872.0,4900.0,4872.0,4900.0,37021040,7570,7,4900.0
2001-05-01,4950.0,4950.0,4950.0,4950.0,2475000,500,1,4950.0
2001-05-02,5000.0,5050.0,5000.0,5050.0,15009735,2985,4,5050.0
2001-05-05,5052.0,5075.0,5000.0,5050.0,123484720,24520,28,5050.0
2001-05-06,5050.0,5050.0,5050.0,5050.0,5277250,1045,3,5050.0
2001-05-07,5050.0,5051.0,5050.0,5050.0,46081354,9125,14,5050.0
2001-05-09,5055.0,5055.0,5054.0,5054.0,10108500,2000,2,5054.0
2001-05-12,5080.0,5100.0,5078.0,5085.0,20253153,3983,8,5085.0
2001-05-13,5086.0,5090.0,5086.0,5090.0,40700424,8000,8,5090.0
2001-05-15,5090.0,5101.0,5090.0,5091.0,44559120,8750,6,5091.0
2001-05-16,5100.0,5100.0,5057.0,5057.0,101287700,20007,11,5057.0
2001-05-19,5061.0,5061.0,5061.0,5061.0,10122000,2000,2,5061.0
2001-05-20,5100.0,5101.0,5076.0,5101.0,29995260,5885,5,5101.0
2001-05-21,5200.0,5200.0,5135.0,5200.0,82342000,15885,8,5200.0
2001-05-23,5200.0,5200.0,5200.0,5200.0,61224800,11774,7,5200.0
2001-05-26,5201.0,5205.0,5200.0,5205.0,200306760,38513,22,5205.0
2001-05-27,5205.0,5205.0,3100.0,5200.0,127854668,36181,89,5200.0
2001-05-28,5196.0,5196.0,5196.0,5196.0,10392000,2000,3,5196.0
2001-05-29,5197.0,5200.0,5100.0,5100.0,58593390,11330,12,5100.0
2001-05-30,5196.0,5196.0,5196.0,5196.0,3491712,672,2,5196.0
2001-06-02,5196.0,5198.0,5080.0,5100.0,89856564,17507,16,5100.0
2001-06-03,5200.0,5200.0,5100.0,5200.0,42105600,8189,7,5200.0
2001-06-06,5200.0,5200.0,5200.0,5200.0,9308000,1790,3,5200.0
2001-06-09,5249.0,5250.0,5200.0,5250.0,129871100,24748,24,5250.0
2001-06-11,5260.0,5260.0,5250.0,5252.0,15152820,2885,5,5252.0
2001-06-12,5263.0,5514.0,5263.0,5514.0,57864870,10680,5,5514.0
2001-06-13,5498.0,5516.0,5490.0,5490.0,27807448,5052,6,5490.0
2001-06-16,5350.0,5350.0,5350.0,5350.0,5350000,1000,2,5350.0
2001-06-17,5301.0,5315.0,5250.0,5300.0,91701260,17330,15,5300.0
2001-06-18,5301.0,5301.0,5240.0,5250.0,52586672,9983,17,5250.0
2001-06-19,5253.0,5255.0,5250.0,5255.0,38659573,7360,14,5255.0
2001-06-20,5253.0,5253.0,5230.0,5250.0,54453415,10381,18,5250.0
2001-06-23,5250.0,5250.0,5249.0,5250.0,31498500,6000,5,5250.0
2001-06-24,5250.0,5250.0,5250.0,5250.0,31500000,6000,5,5250.0
2001-06-25,5251.0,5300.0,5250.0,5300.0,31986268,6068,6,5300.0
2001-06-26,5300.0,5300.0,5300.0,5300.0,99210700,18719,32,5300.0
2001-06-27,5300.0,5300.0,5300.0,5300.0,26447000,4990,9,5300.0
2001-06-30,5349.0,5350.0,5300.0,5350.0,90299603,16995,17,5350.0
2001-07-01,5251.0,5401.0,5250.0,5370.0,292220448,54412,44,5370.0
2001-08-14,5700.0,5800.0,5020.0,5020.0,104796172,19150,27,5020.0
2001-08-15,5271.0,5271.0,5271.0,5271.0,66867906,12686,8,5271.0
