date,open,high,low,adjClose,value,volume,count,close
2003-10-28,6265.0,6270.0,6250.0,6259.0,9388519989,1500000,875,6259.0
2003-10-29,6571.0,6571.0,6571.0,6571.0,9856500000,1500000,619,6571.0
2003-11-02,6899.0,6899.0,6899.0,6899.0,6912749707,1001993,1105,6899.0
2003-11-04,7243.0,7243.0,7243.0,7243.0,7228564701,998007,694,7243.0
2003-11-05,7605.0,7605.0,7605.0,7605.0,7610019300,1000660,578,7605.0
2003-11-08,7985.0,7985.0,7985.0,7985.0,8693229575,1088695,411,7985.0
2003-11-09,7983.0,8000.0,7586.0,7736.0,6149965920,794964,464,7736.0
2003-11-10,8093.0,8120.0,7700.0,8025.0,2747217686,342304,218,8025.0
2003-11-11,7849.0,8100.0,7849.0,7952.0,3844569601,483413,307,7952.0
2003-11-12,8050.0,8050.0,7840.0,7928.0,2378846067,300040,187,7928.0
2003-11-15,7848.0,7848.0,7532.0,7613.0,986298307,129540,55,7613.0
2003-11-17,7235.0,7496.0,7235.0,7306.0,1441616056,197299,145,7306.0
2003-11-18,7499.0,7671.0,7490.0,7572.0,781839253,103243,77,7572.0
2003-11-19,7950.0,7950.0,7950.0,7950.0,801169200,100776,75,7950.0
2003-11-22,8347.0,8347.0,7889.0,8135.0,3623856183,445419,236,8135.0
2003-11-23,8136.0,8411.0,8135.0,8332.0,2534229942,304141,153,8332.0
2003-11-24,8332.0,8350.0,8193.0,8266.0,1920357825,232319,111,8266.0
2003-11-25,8201.0,8201.0,7950.0,8007.0,1258646987,157193,81,8007.0
2003-11-29,7950.0,8099.0,7950.0,8025.0,1183426772,147466,105,8025.0
2003-11-30,8050.0,8097.0,7900.0,7993.0,2472917828,309377,111,7993.0
2003-12-01,7755.0,7900.0,7594.0,7615.0,2175928637,285721,112,7615.0
2003-12-02,7615.0,7794.0,7600.0,7633.0,813008228,106512,54,7633.0
2003-12-03,7600.0,7780.0,7500.0,7590.0,698893392,92073,65,7590.0
2003-12-06,7651.0,7969.0,7641.0,7744.0,529531783,68372,50,7744.0
2003-12-07,7899.0,7899.0,7699.0,7742.0,648737403,83786,55,7742.0
2003-12-22,8999.0,9000.0,8080.0,8478.0,1705544766,201153,113,8478.0
2003-12-23,8478.0,8901.0,8303.0,8680.0,2685722328,309390,110,8680.0
2003-12-24,9114.0,9114.0,8840.0,8996.0,2665610766,296287,116,8996.0
2003-12-27,8895.0,8895.0,8600.0,8631.0,1055591436,122295,59,8631.0
2003-12-28,8652.0,8700.0,8557.0,8625.0,822698386,95380,63,8625.0
2003-12-29,8621.0,8700.0,8400.0,8533.0,271315115,31795,17,8533.0
2003-12-30,8300.0,8500.0,8300.0,8409.0,830121550,98713,58,8409.0
2003-12-31,8404.0,8405.0,8250.0,8312.0,1185076970,142572,70,8312.0
2004-01-03,8349.0,8350.0,8150.0,8182.0,846000806,103387,61,8182.0
2004-01-04,8298.0,8400.0,8298.0,8342.0,520831207,62428,46,8342.0
2004-01-05,8430.0,8650.0,8427.0,8556.0,1562298123,182586,79,8556.0
