date,open,high,low,adjClose,value,volume,count,close
2018-02-10,440.0,484.0,406.0,436.0,2900188235,6650490,709,433.0
2018-02-12,410.0,479.0,401.0,451.0,3681461125,8166428,910,479.0
2018-02-13,496.0,496.0,496.0,496.0,550182048,1109238,96,496.0
2018-02-14,500.0,525.0,450.0,504.0,4621631776,9167937,1039,513.0
2018-02-17,519.0,538.0,481.0,504.0,1715777569,3401668,423,484.0
2018-02-18,475.0,498.0,454.0,459.0,1615813975,3520595,381,454.0
2018-02-19,431.0,479.0,420.0,445.0,1522541079,3424524,349,443.0
2018-02-21,432.0,465.0,432.0,444.0,656538752,1479566,184,448.0
2018-02-24,430.0,460.0,419.0,430.0,1208362285,2809274,338,427.0
2018-02-25,420.0,447.0,390.0,404.0,1246686461,3086700,315,392.0
2018-02-26,400.0,410.0,375.0,391.0,785131468,2009557,247,396.0
2018-02-27,390.0,419.0,390.0,406.0,808003988,1991175,276,414.0
2018-02-28,392.0,427.0,392.0,411.0,715871355,1740566,238,413.0
2018-03-03,400.0,401.0,377.0,388.0,915445090,2361488,227,385.0
2018-03-04,377.0,384.0,354.0,364.0,329509733,905212,129,369.0
2018-03-05,330.0,360.0,330.0,340.0,609509799,1792909,169,344.0
2018-03-06,307.0,333.0,306.0,309.0,357884605,1157336,109,306.0
2018-03-07,279.0,310.0,279.0,289.0,374714704,1297032,145,287.0
2018-03-10,272.0,309.0,270.0,279.0,232413139,832493,80,270.0
2018-03-11,270.0,270.0,252.0,253.0,672897639,2654735,174,260.0
2018-03-12,244.0,258.0,235.0,248.0,124511159,502256,66,248.0
2018-03-13,232.0,250.0,224.0,230.0,429916078,1868010,127,224.0
2018-03-14,210.0,245.0,209.0,217.0,982015462,4517953,356,219.0
2018-03-17,215.0,216.0,201.0,206.0,212591669,1030289,88,209.0
2018-03-18,209.0,210.0,197.0,207.0,113349844,548019,56,207.0
2018-03-19,210.0,226.0,206.0,216.0,218391789,1011675,92,219.0
2018-03-25,209.0,209.0,199.0,202.0,265357342,1312761,81,205.0
2018-03-26,222.0,222.0,195.0,200.0,187237252,934916,73,197.0
2018-03-27,191.0,191.0,180.0,182.0,333363485,1833543,114,180.0
2018-03-28,185.0,185.0,166.0,173.0,107478163,623008,83,171.0
2018-04-03,171.0,171.0,156.0,158.0,456706832,2893698,186,156.0
2018-04-04,145.0,173.0,143.0,168.0,1384330769,8250624,479,173.0
2018-04-07,184.0,184.0,165.0,177.0,567845069,3213610,204,170.0
2018-04-08,175.0,175.0,160.0,160.0,230455125,1436198,88,160.0
2018-04-09,150.0,160.0,144.0,145.0,252784491,1742980,132,144.0
2018-04-10,140.0,155.0,133.0,145.0,155474418,1069359,73,144.0
2018-04-11,136.0,136.0,131.0,131.0,393458184,2997012,162,131.0
2018-04-15,120.0,121.0,118.0,119.0,30605660,256370,22,118.0
2018-04-16,108.0,110.0,108.0,108.0,42003264,387808,30,108.0
2018-04-17,98.0,101.0,98.0,98.0,283208974,2888974,150,98.0
2018-04-18,89.0,89.0,89.0,89.0,43398002,487618,29,89.0
2018-04-21,81.0,89.0,81.0,83.0,257000439,3107534,175,83.0
2018-04-22,80.0,91.0,80.0,90.0,488736363,5411710,271,91.0
2018-04-25,84.0,86.0,82.0,84.0,41244618,491428,43,84.0
2018-04-28,85.0,92.0,85.0,91.0,53809662,589130,32,92.0
2018-04-29,100.0,100.0,100.0,100.0,11465000,114650,7,100.0
2018-04-30,110.0,110.0,102.0,109.0,548960111,5059089,256,108.0
2018-05-01,107.0,108.0,99.0,100.0,262413513,2628108,158,99.0
2018-05-05,91.0,96.0,90.0,90.0,366173547,4052512,207,90.0
2018-05-08,99.0,108.0,94.0,102.0,595065926,5846149,291,100.0
2018-07-15,250.0,250.0,225.0,241.0,152151000,631000,19,225.0
2018-07-16,225.0,225.0,217.0,220.0,72870625,331025,18,217.0
2018-07-17,217.0,217.0,198.0,204.0,53591146,262127,8,198.0
2018-07-18,184.0,184.0,184.0,184.0,920000,5000,1,184.0
2018-07-21,166.0,166.0,166.0,166.0,8300000,50000,1,166.0
2018-07-22,160.0,160.0,150.0,150.0,1187642950,7916953,345,150.0
2018-07-23,141.0,141.0,137.0,137.0,206910000,1510000,59,137.0
2018-07-24,137.0,147.0,137.0,138.0,2792452370,20210600,823,140.0
2018-07-25,140.0,150.0,140.0,143.0,3228618000,22528400,916,145.0
2018-07-28,157.0,157.0,157.0,157.0,78500000,500000,23,157.0
2018-07-29,172.0,172.0,172.0,172.0,3698000000,21500000,846,172.0
2018-07-30,189.0,189.0,189.0,189.0,5005636839,26484851,1063,189.0
