date,open,high,low,adjClose,value,volume,count,close
2001-03-28,2151.0,2151.0,2151.0,2151.0,430200,200,1,2151.0
2001-04-11,2151.0,2151.0,2151.0,2151.0,24549363,11413,13,2151.0
2001-04-14,2150.0,2150.0,2150.0,2150.0,612750,285,1,2150.0
2001-04-17,2151.0,2151.0,2151.0,2151.0,2151000,1000,1,2151.0
2001-05-08,2258.0,2258.0,2258.0,2258.0,1129000,500,1,2258.0
2001-05-09,2259.0,2259.0,2259.0,2259.0,16716600,7400,7,2259.0
2001-05-15,2265.0,2265.0,2265.0,2265.0,645525,285,1,2265.0
2001-07-10,2378.0,2378.0,2378.0,2378.0,33292000,14000,5,2378.0
2001-08-08,2496.0,2496.0,2496.0,2496.0,24383424,9769,11,2496.0
2001-09-04,3000.0,3350.0,3000.0,3350.0,6268328,2060,3,3350.0
2001-11-14,3517.0,3517.0,3517.0,3517.0,7512312,2136,2,3517.0
2002-03-10,3700.0,3700.0,3700.0,3700.0,3700000,1000,1,3700.0
2002-05-25,3955.0,4363.0,3955.0,4363.0,127013000,31000,4,4363.0
2002-06-15,4581.0,4581.0,4581.0,4581.0,6995187,1527,2,4581.0
2002-06-16,4810.0,4810.0,4810.0,4810.0,336623040,69984,57,4810.0
2002-08-28,5050.0,5050.0,5050.0,5050.0,184325000,36500,4,5050.0
2002-09-16,5302.0,5302.0,5302.0,5302.0,81799256,15428,25,5302.0
2002-09-30,5567.0,5567.0,5302.0,5302.0,39177376,7308,9,5302.0
2002-10-01,5567.0,5567.0,5567.0,5567.0,4520404,812,1,5567.0
2002-10-07,5655.0,5655.0,5655.0,5655.0,13775580,2436,3,5655.0
2002-10-09,6060.0,6060.0,6060.0,6060.0,6060000,1000,1,6060.0
2002-10-20,6363.0,6363.0,6363.0,6363.0,5166756,812,1,6363.0
2002-10-23,6681.0,6681.0,6681.0,6681.0,5424972,812,1,6681.0
2002-10-26,6400.0,6400.0,6363.0,6363.0,37393580,5872,8,6363.0
2002-11-06,6395.0,6395.0,6395.0,6395.0,16780480,2624,3,6395.0
2002-11-10,6401.0,6401.0,6401.0,6401.0,5197612,812,1,6401.0
2002-11-13,6472.0,6473.0,6472.0,6473.0,26279568,4060,6,6473.0
2002-11-19,6500.0,6501.0,6500.0,6501.0,21112812,3248,4,6501.0
2002-11-26,6513.0,6513.0,6513.0,6513.0,21154224,3248,4,6513.0
2002-12-01,6530.0,6530.0,6530.0,6530.0,5302360,812,1,6530.0
