date,open,high,low,adjClose,value,volume,count,close
2003-01-27,12500.0,12740.0,12500.0,12500.0,25259200,2000,3,12500.0
2003-02-01,12726.0,12726.0,12726.0,12726.0,11707920,920,1,12726.0
2003-05-26,9600.0,9600.0,9600.0,9600.0,252768000,26330,6,9600.0
2004-05-15,4000.0,4000.0,4000.0,4000.0,299916000,74979,15,4000.0
2007-10-24,1150.0,1150.0,1150.0,1150.0,1689270650,1468931,75,1150.0
2009-05-31,650.0,650.0,650.0,650.0,858066950,1320103,133,650.0
2011-12-18,1116.0,1205.0,1049.0,1083.0,422100709,389771,49,1049.0
2011-12-19,1168.0,1168.0,1100.0,1138.0,199223768,175000,28,1102.0
2011-12-20,1149.0,1149.0,1149.0,1149.0,1335138,1162,3,1149.0
2011-12-21,1149.0,1240.0,1149.0,1233.0,380269446,308502,34,1230.0
2011-12-24,1329.0,1331.0,1300.0,1329.0,909363325,684031,116,1330.0
2011-12-25,1340.0,1349.0,1301.0,1331.0,506196310,380387,46,1337.0
2011-12-26,1340.0,1340.0,1229.0,1323.0,91308000,69000,6,1229.0
2011-12-27,1218.0,1218.0,1218.0,1218.0,1218000,1000,1,1218.0
2011-12-28,1121.0,1121.0,1121.0,1121.0,1121000,1000,1,1121.0
2011-12-31,1036.0,1199.0,1036.0,1112.0,226506400,203664,20,1050.0
2012-01-01,1024.0,1024.0,1024.0,1024.0,30720000,30000,3,1024.0
2012-01-03,943.0,1100.0,943.0,1019.0,380765637,373592,43,1000.0
2012-01-04,1069.0,1069.0,1069.0,1069.0,106900,100,1,1069.0
2012-01-08,1119.0,1122.0,1119.0,1120.0,181399243,162013,11,1122.0
2012-01-09,1090.0,1090.0,1031.0,1046.0,74670098,71358,6,1031.0
2012-01-10,963.0,963.0,963.0,963.0,19934100,20700,4,963.0
2012-01-11,887.0,887.0,886.0,886.0,21182400,23900,10,886.0
2012-01-16,816.0,816.0,816.0,816.0,21297600,26100,3,816.0
2012-01-17,751.0,751.0,751.0,751.0,2253000,3000,2,751.0
2012-01-18,691.0,811.0,691.0,781.0,98418547,126037,24,800.0
2012-01-21,770.0,816.0,719.0,726.0,76702200,105625,19,719.0
2012-01-23,668.0,668.0,668.0,668.0,93653600,140200,17,668.0
2012-01-25,709.0,709.0,709.0,709.0,70900,100,1,709.0
2012-01-28,654.0,654.0,653.0,653.0,44537120,68200,11,653.0
2012-01-29,620.0,620.0,601.0,619.0,4022303,6503,3,601.0
2012-01-30,659.0,659.0,570.0,570.0,143499400,251720,28,570.0
2012-01-31,614.0,615.0,550.0,604.0,83321954,138040,25,615.0
2012-02-01,652.0,652.0,601.0,610.0,107829732,176821,23,620.0
2012-02-04,602.0,615.0,562.0,594.0,139619715,235181,27,580.0
2012-02-06,547.0,547.0,547.0,547.0,5470000,10000,1,547.0
2012-02-07,504.0,504.0,504.0,504.0,10584000,21000,2,504.0
2012-04-11,150.0,162.0,150.0,151.0,80576000,534500,13,162.0
2012-04-14,150.0,150.0,150.0,150.0,459290250,3061935,64,150.0
