date,open,high,low,adjClose,value,volume,count,close
2001-03-25,13704.0,13704.0,13703.0,13703.0,4110990,300,2,13703.0
2001-03-26,13703.0,13703.0,13700.0,13700.0,19183714,1400,2,13700.0
2001-03-28,13700.0,13700.0,13700.0,13700.0,6850000,500,3,13700.0
2001-04-08,13703.0,13703.0,13702.0,13702.0,26610284,1942,5,13702.0
2001-04-10,13704.0,13704.0,13704.0,13704.0,11579880,845,3,13704.0
2001-04-15,13704.0,13720.0,13700.0,13702.0,96115215,7011,13,13702.0
2001-04-16,13703.0,13703.0,13703.0,13703.0,50303713,3671,4,13703.0
2001-04-18,13706.0,13706.0,13704.0,13704.0,16445622,1200,4,13704.0
2001-04-21,13704.0,13704.0,13704.0,13704.0,6317544,461,2,13704.0
2001-04-22,13704.0,13704.0,13704.0,13704.0,8386848,612,2,13704.0
2001-04-23,13705.0,13710.0,13705.0,13710.0,12035620,878,2,13710.0
2001-04-24,13721.0,13722.0,13721.0,13722.0,97419200,7100,2,13722.0
2001-04-25,13735.0,13737.0,13735.0,13737.0,5631450,410,2,13737.0
2001-04-28,13741.0,13741.0,13740.0,13741.0,687030,50,5,13741.0
2001-05-01,14004.0,14025.0,14004.0,14025.0,17947320,1280,3,14025.0
2001-05-02,14037.0,14037.0,14037.0,14037.0,4576062,326,1,14037.0
2001-05-07,14066.0,14066.0,14065.0,14066.0,46980150,3340,4,14066.0
2001-05-09,14083.0,14083.0,14082.0,14082.0,4393762,312,3,14082.0
2001-05-12,14092.0,14092.0,14091.0,14091.0,2254620,160,2,14091.0
2001-05-16,14405.0,14405.0,14370.0,14403.0,27926181,1940,10,14403.0
2001-05-19,14410.0,14412.0,14402.0,14402.0,23720336,1646,5,14402.0
2001-05-26,14417.0,14417.0,14417.0,14417.0,1297530,90,1,14417.0
2001-05-29,14502.0,14502.0,14501.0,14502.0,24623975,1698,6,14502.0
2001-06-03,14556.0,14556.0,14556.0,14556.0,14556000,1000,1,14556.0
2001-06-06,14591.0,14591.0,14591.0,14591.0,145910000,10000,2,14591.0
2001-06-09,14607.0,14607.0,14607.0,14607.0,5842800,400,1,14607.0
2001-06-11,14630.0,14640.0,14630.0,14640.0,219500000,15000,3,14640.0
2001-06-13,14780.0,15200.0,14780.0,15200.0,99734820,6699,3,15200.0
2001-06-16,15264.0,15300.0,15216.0,15300.0,23963160,1568,6,15300.0
2001-06-17,15316.0,15400.0,15315.0,15400.0,70426522,4577,9,15400.0
2001-09-18,13100.0,13100.0,13100.0,13100.0,15720000,1200,2,13100.0
2001-09-19,13050.0,13050.0,13040.0,13050.0,207814800,15936,5,13050.0
2001-09-22,13049.0,13050.0,12500.0,13050.0,85911600,6794,7,13050.0
2001-09-23,12500.0,13000.0,12500.0,13000.0,105301960,8300,9,13000.0
2001-09-24,12500.0,12504.0,12500.0,12504.0,28966134,2317,5,12504.0
2001-09-25,12517.0,12525.0,12511.0,12525.0,7837054,626,5,12525.0
2001-09-26,12529.0,12541.0,12529.0,12541.0,18558280,1480,3,12541.0
2001-09-29,12547.0,12548.0,12532.0,12534.0,40750348,3250,9,12534.0
2001-09-30,12534.0,12534.0,12534.0,12534.0,13875138,1107,5,12534.0
2001-10-02,12536.0,12536.0,12536.0,12536.0,2870744,229,1,12536.0
2001-10-03,12540.0,12540.0,12535.0,12540.0,20310255,1620,8,12540.0
2001-10-06,12540.0,12540.0,12535.0,12535.0,42626000,3400,5,12535.0
2001-10-08,12539.0,12539.0,12537.0,12537.0,29164902,2326,7,12537.0
2001-10-09,12537.0,12537.0,12530.0,12530.0,10053848,802,8,12530.0
2001-10-10,12530.0,12530.0,12530.0,12530.0,776860,62,2,12530.0
2001-10-13,12496.0,12496.0,12496.0,12496.0,5498240,440,2,12496.0
2001-10-14,12489.0,12489.0,12489.0,12489.0,6644148,532,1,12489.0
2001-10-17,12478.0,12478.0,12478.0,12478.0,2495600,200,1,12478.0
2001-10-20,12475.0,12475.0,12475.0,12475.0,6886200,552,1,12475.0
2001-10-21,12400.0,12400.0,12398.0,12398.0,14879400,1200,4,12398.0
2001-10-28,12348.0,12349.0,12348.0,12349.0,25770363,2087,4,12349.0
2001-10-30,12290.0,12300.0,12290.0,12300.0,15985000,1300,2,12300.0
2001-11-04,12000.0,12000.0,12000.0,12000.0,42000000,3500,3,12000.0
2001-11-05,11998.0,11999.0,11998.0,11999.0,11998800,1000,3,11999.0
2001-11-06,11999.0,11999.0,11999.0,11999.0,2399800,200,1,11999.0
2001-11-07,11999.0,12298.0,11999.0,12000.0,40257187,3330,7,12000.0
2001-11-10,12000.0,12000.0,12000.0,12000.0,48000000,4000,6,12000.0
2001-11-12,11995.0,11996.0,11995.0,11996.0,4654148,388,2,11996.0
2001-11-13,11990.0,11990.0,11900.0,11900.0,7149000,600,3,11900.0
2001-11-14,11879.0,11879.0,11850.0,11850.0,6417259,541,3,11850.0
2001-11-18,11800.0,11800.0,11750.0,11750.0,15574750,1325,4,11750.0
2001-11-19,11700.0,11700.0,11700.0,11700.0,2340000,200,1,11700.0
2001-11-20,11676.0,11676.0,11600.0,11640.0,48769700,4193,13,11640.0
2001-11-21,11500.0,11500.0,11500.0,11500.0,31533000,2742,4,11500.0
2001-11-24,11495.0,11495.0,11495.0,11495.0,2299000,200,1,11495.0
2001-11-26,11478.0,11479.0,11470.0,11470.0,11840075,1032,4,11470.0
2001-11-27,11469.0,11470.0,11464.0,11470.0,44322086,3865,9,11470.0
2001-12-01,11460.0,11460.0,11460.0,11460.0,34380000,3000,8,11460.0
2001-12-02,11460.0,11484.0,11460.0,11484.0,15093060,1317,3,11484.0
2001-12-03,11484.0,11484.0,11484.0,11484.0,149292,13,1,11484.0
2001-12-05,11486.0,11486.0,11485.0,11485.0,10623952,925,2,11485.0
2001-12-09,11487.0,11487.0,11486.0,11486.0,13783540,1200,3,11486.0
2001-12-12,11491.0,11492.0,11490.0,11492.0,14420770,1255,4,11492.0
2001-12-15,11503.0,11503.0,11503.0,11503.0,7822040,680,1,11503.0
2001-12-23,11512.0,11512.0,11511.0,11511.0,2210199,192,2,11511.0
2001-12-24,11512.0,11512.0,11512.0,11512.0,7966304,692,1,11512.0
2001-12-26,11527.0,11800.0,11527.0,11800.0,38004560,3250,5,11800.0
2001-12-29,11870.0,11872.0,11870.0,11872.0,36801000,3100,11,11872.0
2001-12-31,11894.0,11894.0,11893.0,11893.0,2854520,240,2,11893.0
2002-01-01,11910.0,11910.0,11910.0,11910.0,7146000,600,2,11910.0
2002-01-02,11922.0,11927.0,11917.0,11917.0,111603780,9360,12,11917.0
2002-01-05,11917.0,11917.0,11917.0,11917.0,73170380,6140,5,11917.0
2002-01-06,11917.0,11917.0,11917.0,11917.0,67926900,5700,3,11917.0
2002-01-14,12020.0,12020.0,12010.0,12010.0,12012000,1000,2,12010.0
2002-01-15,12005.0,12051.0,12005.0,12051.0,32123360,2672,5,12051.0
2002-02-03,12051.0,12052.0,12051.0,12052.0,5061800,420,4,12052.0
2002-02-04,12055.0,12056.0,12055.0,12056.0,3375500,280,2,12056.0
2002-02-05,12058.0,12059.0,12056.0,12056.0,20498580,1700,4,12056.0
2002-02-06,12057.0,12061.0,12057.0,12061.0,2411800,200,2,12061.0
2002-02-10,12200.0,12200.0,12200.0,12200.0,12200000,1000,2,12200.0
2002-02-12,12200.0,12200.0,12198.0,12198.0,7026928,576,4,12198.0
2002-02-13,12198.0,12200.0,12085.0,12200.0,39797390,3266,7,12200.0
2002-02-16,12200.0,12200.0,12199.0,12200.0,19763880,1620,5,12200.0
2002-02-17,12200.0,12200.0,12199.0,12200.0,36599720,3000,3,12200.0
2002-02-18,12200.0,12200.0,12200.0,12200.0,56278600,4613,6,12200.0
2002-02-19,12300.0,12300.0,12300.0,12300.0,8610000,700,1,12300.0
2002-02-20,12300.0,12300.0,12300.0,12300.0,22939500,1865,3,12300.0
2002-02-24,12302.0,12302.0,12302.0,12302.0,1894508,154,2,12302.0
2002-02-25,12305.0,12305.0,12304.0,12305.0,8908740,724,5,12305.0
2002-02-27,12307.0,12350.0,12305.0,12350.0,99027636,8044,10,12350.0
2002-03-02,12350.0,12350.0,12350.0,12350.0,126883900,10274,11,12350.0
2002-03-04,12350.0,12350.0,12350.0,12350.0,2223000,180,1,12350.0
2002-03-05,12352.0,12352.0,12352.0,12352.0,3088000,250,1,12352.0
2002-03-06,12500.0,12500.0,12500.0,12500.0,25000000,2000,1,12500.0
2002-03-09,12500.0,12500.0,12500.0,12500.0,25000000,2000,1,12500.0
2002-03-10,12502.0,12502.0,12502.0,12502.0,4375700,350,1,12502.0
2002-03-11,12620.0,12620.0,12620.0,12620.0,27322300,2165,4,12620.0
2002-03-13,12629.0,12644.0,12629.0,12644.0,8926064,706,2,12644.0
2002-03-16,12651.0,13125.0,12651.0,13125.0,25984428,1988,3,13125.0
2002-03-17,13125.0,13125.0,13125.0,13125.0,3150000,240,1,13125.0
2002-03-18,13125.0,13125.0,13125.0,13125.0,2625000,200,1,13125.0
2002-04-06,13167.0,13182.0,13167.0,13181.0,25117672,1906,3,13181.0
2002-04-23,13840.0,13840.0,13840.0,13840.0,56965440,4116,12,13840.0
2002-04-30,14532.0,14532.0,14532.0,14532.0,29064000,2000,1,14532.0
2002-05-04,15258.0,15258.0,15258.0,15258.0,45774000,3000,9,15258.0
2002-05-05,15639.0,15639.0,15639.0,15639.0,17202900,1100,4,15639.0
2002-05-06,16029.0,16029.0,16029.0,16029.0,16029000,1000,1,16029.0
2002-05-07,16249.0,16429.0,16249.0,16250.0,78715278,4822,5,16250.0
2002-05-08,16656.0,16656.0,16656.0,16656.0,62626560,3760,13,16656.0
2002-05-12,17072.0,17072.0,17072.0,17072.0,25608000,1500,5,17072.0
2002-05-14,17499.0,17499.0,17499.0,17499.0,150403905,8595,12,17499.0
2002-05-15,17937.0,17937.0,17920.0,17924.0,73414476,4094,10,17924.0
2002-05-18,17900.0,17928.0,17900.0,17920.0,121502831,6783,10,17920.0
2002-05-19,17800.0,17919.0,17800.0,17800.0,6382277,358,3,17800.0
2002-05-20,17802.0,17805.0,17800.0,17800.0,315140284,17701,20,17800.0
2002-05-22,17920.0,17936.0,17920.0,17936.0,89625040,5000,4,17936.0
2002-05-25,17930.0,17930.0,17930.0,17930.0,2689500,150,1,17930.0
2002-05-26,17930.0,17930.0,17806.0,17806.0,127538972,7162,10,17806.0
2002-05-27,17799.0,17805.0,17795.0,17795.0,84098125,4725,9,17795.0
2002-06-01,17762.0,17762.0,17500.0,17500.0,18888478,1079,5,17500.0
2002-06-02,17482.0,17484.0,17482.0,17483.0,10490279,600,5,17483.0
2002-06-09,17385.0,17385.0,17385.0,17385.0,29728350,1710,2,17385.0
2002-06-10,17350.0,17378.0,17350.0,17378.0,10073640,580,2,17378.0
2002-06-11,17366.0,17366.0,17366.0,17366.0,17366000,1000,1,17366.0
2002-06-16,17322.0,17323.0,17322.0,17323.0,9874016,570,4,17323.0
2002-07-08,12500.0,12500.0,12500.0,12500.0,12500000,1000,1,12500.0
2002-07-10,13125.0,13125.0,13125.0,13125.0,152250000,11600,15,13125.0
2002-07-13,13781.0,13781.0,13781.0,13781.0,147732320,10720,9,13781.0
2002-07-14,14470.0,14470.0,14470.0,14470.0,149909200,10360,22,14470.0
2002-07-16,14831.0,14831.0,14831.0,14831.0,15364916,1036,3,14831.0
2002-07-17,15201.0,15201.0,15201.0,15201.0,306148140,20140,3,15201.0
2002-07-20,15581.0,15581.0,15581.0,15581.0,136380493,8753,6,15581.0
2002-07-21,15970.0,15970.0,15581.0,15581.0,174832776,11047,19,15581.0
2002-07-22,15584.0,15585.0,15201.0,15201.0,203917386,13108,16,15201.0
2002-07-23,15201.0,15201.0,14900.0,14900.0,27526014,1837,6,14900.0
2002-07-24,14923.0,15000.0,14923.0,14990.0,127443705,8498,11,14990.0
2002-07-27,14990.0,14990.0,14990.0,14990.0,7495000,500,1,14990.0
2002-07-28,14989.0,14989.0,14989.0,14989.0,1184131,79,1,14989.0
2002-07-30,14920.0,14920.0,14920.0,14920.0,7519680,504,2,14920.0
2002-07-31,14800.0,14800.0,14800.0,14800.0,24272000,1640,3,14800.0
2002-08-03,14799.0,14800.0,14790.0,14790.0,7101849,480,4,14790.0
2002-08-04,14779.0,14790.0,14779.0,14790.0,190469904,12887,8,14790.0
2002-08-05,14790.0,14790.0,14790.0,14790.0,59204370,4003,6,14790.0
2002-08-06,14790.0,14790.0,14790.0,14790.0,46381440,3136,5,14790.0
2002-08-10,14783.0,14783.0,14783.0,14783.0,2956600,200,1,14783.0
2002-08-11,14774.0,14774.0,14774.0,14774.0,4727680,320,1,14774.0
2002-08-20,14405.0,14405.0,14405.0,14405.0,41702475,2895,3,14405.0
2002-08-21,14389.0,14389.0,14389.0,14389.0,28778000,2000,2,14389.0
2002-08-25,14373.0,14375.0,14373.0,14375.0,28747342,2000,3,14375.0
2002-08-26,14289.0,14289.0,14257.0,14257.0,28538352,2000,5,14257.0
2002-08-27,14100.0,14100.0,14000.0,14000.0,28100000,2000,4,14000.0
2002-09-10,13300.0,13300.0,13300.0,13300.0,53200000,4000,3,13300.0
2002-09-11,12635.0,12635.0,12635.0,12635.0,12635000,1000,4,12635.0
2002-09-14,12630.0,12635.0,12630.0,12635.0,37899835,3000,7,12635.0
2002-09-15,12610.0,12610.0,12590.0,12590.0,29185850,2315,2,12590.0
2002-09-25,11961.0,11961.0,11961.0,11961.0,55128249,4609,8,11961.0
2002-09-28,11961.0,11961.0,11961.0,11961.0,11961000,1000,1,11961.0
2002-09-29,11900.0,11900.0,11900.0,11900.0,2975000,250,1,11900.0
2002-10-02,11500.0,11500.0,11490.0,11500.0,36370400,3163,8,11500.0
2002-10-07,11310.0,11310.0,11310.0,11310.0,11310000,1000,2,11310.0
2002-10-08,11300.0,11300.0,11300.0,11300.0,1627200,144,1,11300.0
2002-10-09,11300.0,11300.0,11300.0,11300.0,23560500,2085,6,11300.0
2002-10-12,11300.0,11300.0,11300.0,11300.0,7254600,642,1,11300.0
2002-10-13,11300.0,11300.0,11300.0,11300.0,28250000,2500,5,11300.0
2002-10-14,11100.0,11100.0,11100.0,11100.0,11100000,1000,2,11100.0
2002-10-16,11085.0,11086.0,11085.0,11085.0,2449884,221,3,11085.0
2002-10-20,11080.0,11080.0,11080.0,11080.0,3966640,358,2,11080.0
2002-10-21,11075.0,11088.0,11075.0,11088.0,35492431,3204,9,11088.0
2002-10-28,11086.0,11150.0,11086.0,11150.0,58015690,5221,7,11150.0
2002-10-29,11500.0,11500.0,11500.0,11500.0,23000000,2000,1,11500.0
2002-10-30,11501.0,11501.0,11501.0,11501.0,230020,20,1,11501.0
2002-11-04,11502.0,11502.0,11502.0,11502.0,5751000,500,1,11502.0
2002-11-05,11503.0,11503.0,11503.0,11503.0,9202400,800,3,11503.0
2002-11-09,11504.0,11504.0,11504.0,11504.0,3301648,287,4,11504.0
2002-11-10,11504.0,11505.0,11504.0,11505.0,29680520,2580,3,11505.0
2002-11-11,11506.0,11506.0,11506.0,11506.0,241626,21,1,11506.0
2002-11-18,11504.0,11506.0,11504.0,11506.0,57526320,5000,5,11506.0
2002-11-25,11495.0,11505.0,11495.0,11505.0,28901664,2514,4,11505.0
2002-11-26,11505.0,11505.0,11505.0,11505.0,23608260,2052,1,11505.0
2002-11-30,11505.0,11505.0,11505.0,11505.0,16107000,1400,1,11505.0
2002-12-03,11505.0,11505.0,11505.0,11505.0,24287055,2111,1,11505.0
2002-12-09,11500.0,11500.0,11500.0,11500.0,6900000,600,1,11500.0
2002-12-11,11486.0,11497.0,11486.0,11487.0,17236822,1500,6,11487.0
2002-12-15,11489.0,11500.0,11489.0,11495.0,86329050,7510,11,11495.0
2002-12-16,11496.0,11496.0,11495.0,11495.0,141940518,12348,5,11495.0
2002-12-17,11495.0,11495.0,11495.0,11495.0,3448500,300,1,11495.0
2002-12-18,11495.0,11495.0,11495.0,11495.0,4023250,350,1,11495.0
2002-12-21,11495.0,11495.0,11495.0,11495.0,8391350,730,1,11495.0
2002-12-24,11486.0,11486.0,11479.0,11479.0,13202250,1150,3,11479.0
2002-12-28,11399.0,11479.0,11399.0,11479.0,90414102,7902,11,11479.0
2002-12-29,11479.0,11479.0,11479.0,11479.0,573950,50,1,11479.0
2002-12-31,11479.0,11479.0,11479.0,11479.0,28525315,2485,1,11479.0
2003-01-04,11400.0,11400.0,11400.0,11400.0,28500000,2500,3,11400.0
2003-01-05,11400.0,11400.0,11350.0,11350.0,30997000,2730,2,11350.0
2003-01-07,11200.0,11200.0,11100.0,11100.0,66239500,5945,6,11100.0
2003-01-08,11100.0,11100.0,11000.0,11000.0,19750500,1785,4,11000.0
2003-01-11,11001.0,11001.0,11001.0,11001.0,15401400,1400,1,11001.0
2003-01-12,11000.0,11000.0,10451.0,10451.0,16761128,1600,3,10451.0
2003-01-19,10250.0,10400.0,10250.0,10250.0,35505000,3450,4,10250.0
2003-01-20,10250.0,10250.0,10000.0,10000.0,27747500,2720,3,10000.0
2003-01-21,10000.0,10000.0,10000.0,10000.0,19980000,1998,3,10000.0
2003-01-22,10000.0,10000.0,10000.0,10000.0,36020000,3602,7,10000.0
2003-01-25,10000.0,10000.0,10000.0,10000.0,4000000,400,1,10000.0
2003-01-26,10000.0,10000.0,10000.0,10000.0,4000000,400,1,10000.0
2003-01-27,10000.0,10000.0,10000.0,10000.0,5380000,538,1,10000.0
2003-01-28,10000.0,10000.0,10000.0,10000.0,1000000,100,1,10000.0
2003-01-29,10000.0,10000.0,10000.0,10000.0,6070000,607,1,10000.0
2003-02-01,10000.0,10000.0,10000.0,10000.0,25230000,2523,2,10000.0
2003-02-17,15000.0,16000.0,15000.0,16000.0,18250000,1150,2,16000.0
2003-02-22,15200.0,15200.0,15200.0,15200.0,15504000,1020,3,15200.0
2003-02-23,14440.0,14440.0,14440.0,14440.0,14440000,1000,2,14440.0
2003-02-24,13718.0,13718.0,13718.0,13718.0,13718000,1000,2,13718.0
2003-02-25,13033.0,13033.0,13033.0,13033.0,539305540,41380,10,13033.0
2003-03-04,12850.0,12850.0,12850.0,12850.0,12850000,1000,2,12850.0
2003-03-19,12208.0,12208.0,12208.0,12208.0,3967600,325,2,12208.0
2003-03-30,11598.0,11598.0,11598.0,11598.0,14497500,1250,2,11598.0
2003-03-31,11598.0,11598.0,11019.0,11019.0,578030612,49984,15,11019.0
2003-04-05,11020.0,11034.0,11020.0,11032.0,74048152,6712,11,11032.0
2003-04-06,11583.0,11583.0,11583.0,11583.0,38606139,3333,3,11583.0
2003-04-09,11705.0,11705.0,11597.0,11703.0,39524732,3390,7,11703.0
2003-04-12,11599.0,11599.0,11599.0,11599.0,5799500,500,1,11599.0
2003-04-13,11600.0,11699.0,11599.0,11699.0,44439955,3803,8,11699.0
2003-04-14,11700.0,11700.0,11700.0,11700.0,29039400,2482,1,11700.0
2003-04-15,11700.0,11701.0,11700.0,11701.0,3603858,308,3,11701.0
2003-04-16,11706.0,11706.0,11705.0,11706.0,31488970,2690,4,11706.0
2003-04-20,11706.0,11706.0,11706.0,11706.0,11706000,1000,3,11706.0
2003-04-21,11710.0,11800.0,11710.0,11800.0,10357360,880,3,11800.0
2003-04-26,11804.0,11804.0,11804.0,11804.0,11804000,1000,2,11804.0
2003-04-27,11810.0,11810.0,11810.0,11810.0,84654080,7168,11,11810.0
2003-04-28,11810.0,11810.0,11810.0,11810.0,95625570,8097,6,11810.0
2003-04-30,11810.0,11810.0,11702.0,11702.0,5872600,500,2,11702.0
2003-05-03,11704.0,11704.0,11704.0,11704.0,2574880,220,1,11704.0
2003-05-04,11802.0,11802.0,11802.0,11802.0,3540600,300,1,11802.0
2003-05-05,11833.0,11841.0,11810.0,11841.0,11822400,1000,5,11841.0
2003-05-06,11848.0,11863.0,11848.0,11863.0,7113400,600,3,11863.0
2003-05-07,11903.0,11903.0,11903.0,11903.0,14283600,1200,1,11903.0
2003-05-10,12000.0,12003.0,12000.0,12003.0,26561679,2213,4,12003.0
2003-05-11,12200.0,12250.0,12011.0,12250.0,46986705,3855,4,12250.0
2003-05-12,12253.0,12253.0,12251.0,12251.0,17214035,1405,4,12251.0
2003-05-13,12280.0,12280.0,12280.0,12280.0,2026200,165,2,12280.0
2003-05-21,12332.0,12378.0,12332.0,12378.0,27428840,2220,5,12378.0
2003-05-24,12402.0,12402.0,12402.0,12402.0,29454750,2375,4,12402.0
2003-05-28,12998.0,13500.0,12998.0,13500.0,23638840,1780,5,13500.0
2003-05-31,13500.0,13500.0,13500.0,13500.0,1468354500,108767,30,13500.0
2003-06-01,13502.0,13502.0,13500.0,13500.0,820509606,60778,24,13500.0
2003-06-07,13500.0,13500.0,13500.0,13500.0,42862500,3175,5,13500.0
2003-06-08,13500.0,13501.0,13497.0,13497.0,167327135,12395,10,13497.0
2003-06-09,13400.0,13498.0,13350.0,13400.0,158868402,11864,20,13400.0
2003-06-10,13300.0,13300.0,13300.0,13300.0,26600000,2000,2,13300.0
2003-06-11,13300.0,13400.0,13298.0,13298.0,80270000,6000,6,13298.0
2003-06-14,13000.0,13000.0,12700.0,12700.0,108457800,8414,3,12700.0
2003-06-15,12501.0,12501.0,12300.0,12300.0,65348320,5245,4,12300.0
2003-06-16,12200.0,12200.0,12186.0,12187.0,75163350,6162,8,12187.0
2003-07-05,12187.0,12187.0,12187.0,12187.0,36561000,3000,2,12187.0
2003-07-07,12183.0,12187.0,12183.0,12186.0,27332378,2243,11,12186.0
2003-07-08,12100.0,12100.0,11950.0,11950.0,167439400,13944,12,11950.0
2003-07-09,11950.0,11950.0,11900.0,11900.0,107869200,9056,12,11900.0
2003-07-12,11850.0,11850.0,11500.0,11500.0,117735900,10100,13,11500.0
2003-07-13,11500.0,11500.0,11300.0,11300.0,85791000,7510,13,11300.0
2003-07-14,11300.0,11300.0,11200.0,11200.0,41478648,3676,4,11200.0
2003-07-15,11200.0,11200.0,10800.0,10800.0,190514200,17304,12,10800.0
2003-07-16,10799.0,11340.0,10600.0,11340.0,14781303100,1303667,7,11340.0
2003-07-19,11400.0,11400.0,11400.0,11400.0,10032000,880,3,11400.0
2003-07-20,11400.0,11402.0,11400.0,11402.0,15083870,1323,2,11402.0
2003-07-21,11450.0,11972.0,11400.0,11500.0,15673776053,1309492,10,11500.0
2003-07-22,11550.0,12075.0,11500.0,11500.0,13313009700,1102589,4,11500.0
2003-07-26,11500.0,11500.0,11500.0,11500.0,19239500,1673,2,11500.0
2003-07-27,11200.0,11200.0,11000.0,11000.0,66800000,6000,4,11000.0
2003-07-30,11000.0,11000.0,10450.0,11000.0,32048500,3001,11,11000.0
2003-08-03,10999.0,11000.0,10999.0,11000.0,12869900,1170,3,11000.0
2003-08-04,10999.0,10999.0,10999.0,10999.0,4949550,450,2,10999.0
2003-08-09,10998.0,10998.0,10998.0,10998.0,27495000,2500,3,10998.0
2003-08-11,10993.0,10998.0,10993.0,10998.0,345692025,31433,11,10998.0
2003-08-12,10996.0,10996.0,10996.0,10996.0,10996000,1000,2,10996.0
2003-08-13,10996.0,10996.0,10994.0,10994.0,10291396,936,4,10994.0
