date,open,high,low,adjClose,value,volume,count,close
2014-08-11,5555.0,5555.0,5320.0,5551.0,16552320,2982,2,5320.0
2014-08-12,5995.0,5995.0,5995.0,5995.0,196647990,32802,25,5995.0
2014-08-13,6474.0,6474.0,5516.0,5659.0,496077914,87665,50,5516.0
2014-08-16,6049.0,6049.0,5300.0,5386.0,131808370,24472,18,5649.0
2014-08-17,5073.0,5198.0,5070.0,5088.0,99296457,19517,26,5092.0
2014-08-18,5005.0,5005.0,4821.0,4900.0,97071023,19812,37,4990.0
2014-08-19,4812.0,4995.0,4659.0,4812.0,159197991,33081,32,4659.0
2014-08-20,4700.0,4700.0,4433.0,4563.0,291508849,63886,46,4480.0
2014-08-23,4500.0,4600.0,4433.0,4509.0,97176361,21552,37,4440.0
2014-08-24,4275.0,4351.0,4270.0,4297.0,246167718,57293,38,4270.0
2014-08-25,4200.0,4579.0,4200.0,4367.0,196474171,44990,35,4378.0
2014-08-26,4362.0,4557.0,4226.0,4330.0,119202409,27532,19,4226.0
2014-08-27,4190.0,4319.0,4190.0,4241.0,480573167,113326,69,4318.0
2014-08-30,4390.0,4390.0,4301.0,4348.0,90013664,20704,68,4320.0
2014-08-31,4230.0,4236.0,4115.0,4176.0,100346718,24028,23,4140.0
2014-09-01,4050.0,4075.0,4025.0,4039.0,260445022,64489,53,4074.0
2014-09-02,4060.0,4070.0,4001.0,4046.0,52918909,13078,12,4040.0
2014-09-03,4010.0,4010.0,3981.0,3994.0,56367184,14114,22,4001.0
2014-09-06,3855.0,3856.0,3780.0,3825.0,175822501,45963,39,3781.0
2014-09-07,3725.0,3840.0,3710.0,3719.0,54893390,14760,19,3840.0
2014-09-08,3800.0,3800.0,3650.0,3757.0,176122226,46875,21,3793.0
2014-09-09,3720.0,3798.0,3601.0,3685.0,195525855,53065,46,3602.0
2014-09-10,3648.0,3649.0,3561.0,3613.0,531836459,147207,42,3630.0
2014-09-13,3542.0,3542.0,3324.0,3369.0,501020044,148719,82,3324.0
2014-09-14,3220.0,3220.0,3100.0,3117.0,352918764,113227,50,3150.0
2014-09-15,2880.0,3366.0,2880.0,3339.0,411481629,123224,41,3366.0
2014-09-16,3589.0,3599.0,3500.0,3586.0,125330465,34947,29,3589.0
2014-09-17,3550.0,3700.0,3550.0,3643.0,44704496,12273,15,3550.0
2014-09-20,3500.0,3500.0,3352.0,3407.0,565687863,166039,60,3353.0
2014-09-21,3649.0,3679.0,3315.0,3675.0,539123548,146712,44,3679.0
2014-09-22,3798.0,3969.0,3630.0,3937.0,758225695,192575,80,3959.0
2014-09-23,3715.0,3899.0,3715.0,3781.0,105835596,27993,28,3772.0
2014-09-24,3641.0,4083.0,3501.0,3953.0,962469178,243471,127,4079.0
2014-12-28,2900.0,2900.0,2900.0,2900.0,827906500,285485,16,2900.0
2016-02-24,652.0,717.0,652.0,678.0,266569453,393046,89,710.0
2016-02-27,670.0,745.0,652.0,715.0,652955203,913709,238,745.0
2016-02-28,786.0,786.0,786.0,786.0,875783208,1114228,231,786.0
2016-02-29,864.0,864.0,864.0,864.0,138988224,160866,38,864.0
2016-03-01,907.0,907.0,830.0,883.0,3471986212,3930205,528,880.0
2016-03-02,810.0,850.0,795.0,799.0,1638011605,2050748,289,795.0
2016-03-05,850.0,878.0,800.0,866.0,1179094301,1360992,229,878.0
2016-03-06,878.0,910.0,782.0,807.0,1481982770,1835451,142,788.0
2016-03-07,762.0,799.0,726.0,740.0,714840426,966064,90,760.0
2016-03-08,814.0,814.0,814.0,814.0,246935040,303360,29,814.0
2016-03-09,895.0,895.0,895.0,895.0,2660042925,2972115,117,895.0
2016-03-12,984.0,984.0,984.0,984.0,5873345448,5968847,154,984.0
2016-03-14,1082.0,1082.0,1082.0,1082.0,10212474312,9438516,225,1082.0
2016-03-15,1120.0,1181.0,1040.0,1121.0,6863068984,6120232,453,1139.0
2016-03-16,1125.0,1155.0,1100.0,1126.0,4148917599,3684658,300,1122.0
2016-03-26,1180.0,1238.0,1180.0,1238.0,6301772363,5091432,189,1238.0
2016-03-27,1349.0,1361.0,1250.0,1345.0,16790977619,12479457,612,1361.0
2016-03-28,1360.0,1444.0,1210.0,1337.0,10246303745,7666417,500,1430.0
2016-03-29,1400.0,1444.0,1204.0,1302.0,7106891878,5456650,447,1285.0
2016-03-30,1241.0,1420.0,1241.0,1364.0,9764277010,7160562,525,1390.0
2016-04-02,1390.0,1420.0,1280.0,1333.0,5156132750,3868904,474,1330.0
