date,open,high,low,adjClose,value,volume,count,close
2001-03-25,3000.0,3000.0,3000.0,3000.0,4395000,1465,5,3000.0
2001-03-27,3000.0,3000.0,3000.0,3000.0,2700000,900,1,3000.0
2001-03-28,3001.0,3001.0,3001.0,3001.0,750250,250,1,3001.0
2001-03-31,3002.0,3002.0,3002.0,3002.0,9006000,3000,1,3002.0
2001-04-03,3002.0,3002.0,3002.0,3002.0,3002000,1000,1,3002.0
2001-04-08,3002.0,3002.0,3002.0,3002.0,17681780,5890,6,3002.0
2001-04-09,3002.0,3002.0,3002.0,3002.0,6664440,2220,6,3002.0
2001-04-11,3002.0,3005.0,3002.0,3002.0,24296530,8090,6,3002.0
2001-04-14,3002.0,3002.0,3002.0,3002.0,1651100,550,1,3002.0
2001-04-15,3002.0,3002.0,3002.0,3002.0,4713140,1570,10,3002.0
2001-04-16,3002.0,3002.0,3002.0,3002.0,11257500,3750,7,3002.0
2001-04-17,3002.0,3002.0,3002.0,3002.0,810540,270,1,3002.0
2001-04-18,3002.0,3002.0,3002.0,3002.0,8735820,2910,6,3002.0
2001-04-21,3002.0,3002.0,3001.0,3002.0,40485438,13488,7,3002.0
2001-04-22,3003.0,3005.0,3003.0,3005.0,9011600,3000,2,3005.0
2001-04-23,3005.0,3006.0,3005.0,3006.0,10837030,3606,7,3006.0
2001-04-24,3006.0,3007.0,3005.0,3007.0,19940180,6635,6,3007.0
2001-04-25,3010.0,3010.0,3009.0,3009.0,9445378,3138,3,3009.0
2001-04-29,3006.0,3010.0,3006.0,3006.0,15338269,5100,6,3006.0
2001-04-30,3010.0,3011.0,3006.0,3006.0,19275526,6410,6,3006.0
2001-05-02,3007.0,3007.0,3006.0,3006.0,49215112,16372,10,3006.0
2001-05-05,3006.0,3006.0,3006.0,3006.0,30979836,10306,16,3006.0
2001-05-06,3005.0,3006.0,3005.0,3006.0,10519000,3500,4,3006.0
2001-05-07,3005.0,3006.0,3005.0,3006.0,30051800,10000,5,3006.0
2001-05-08,3006.0,3006.0,3006.0,3006.0,19139202,6367,10,3006.0
2001-05-09,3006.0,3006.0,3006.0,3006.0,25965828,8638,7,3006.0
2001-05-12,3006.0,3006.0,3006.0,3006.0,144275976,47996,8,3006.0
2001-05-13,3007.0,3007.0,3006.0,3006.0,13719484,4564,9,3006.0
2001-05-15,3006.0,3007.0,3006.0,3006.0,27205472,9050,15,3006.0
2001-05-16,3006.0,3007.0,3006.0,3006.0,4959940,1650,8,3006.0
2001-05-19,3006.0,3006.0,3006.0,3006.0,58211190,19365,15,3006.0
2001-05-20,3006.0,3007.0,3006.0,3006.0,49858723,16586,11,3006.0
2001-05-21,3006.0,3006.0,3006.0,3006.0,7064100,2350,3,3006.0
2001-05-23,3006.0,3006.0,3006.0,3006.0,7575120,2520,3,3006.0
2001-05-26,3006.0,3006.0,3006.0,3006.0,3871728,1288,4,3006.0
2001-05-27,3006.0,3007.0,3000.0,3006.0,37847340,12590,8,3006.0
2001-05-28,3008.0,3009.0,3006.0,3006.0,15172213,5047,8,3006.0
2001-05-29,3006.0,3006.0,3006.0,3006.0,21685284,7214,9,3006.0
2001-05-30,3006.0,3006.0,3006.0,3006.0,39189222,13037,8,3006.0
2001-06-02,3006.0,3006.0,3006.0,3006.0,5720418,1903,5,3006.0
2001-06-03,3006.0,3006.0,3006.0,3006.0,4809600,1600,2,3006.0
2001-06-06,3006.0,3006.0,3006.0,3006.0,2576142,857,7,3006.0
2001-06-09,3007.0,3007.0,3006.0,3006.0,13527036,4500,8,3006.0
2001-06-11,3006.0,3006.0,3006.0,3006.0,22244400,7400,13,3006.0
2001-06-25,2500.0,2500.0,2500.0,2500.0,2500000,1000,1,2500.0
2001-06-26,2536.0,2553.0,2508.0,2553.0,2423496,962,6,2553.0
2001-06-30,2680.0,2680.0,2680.0,2680.0,7332480,2736,2,2680.0
2001-07-01,2680.0,2680.0,2680.0,2680.0,1608000,600,2,2680.0
2001-07-02,2680.0,2680.0,2680.0,2680.0,117920,44,2,2680.0
2001-07-04,2682.0,2686.0,2682.0,2685.0,12546516,4674,4,2685.0
2001-07-07,2690.0,2693.0,2690.0,2691.0,11869392,4409,3,2691.0
2001-07-08,2696.0,2699.0,2695.0,2699.0,6789705,2519,8,2699.0
2001-07-10,2740.0,2740.0,2740.0,2740.0,12056000,4400,3,2740.0
2001-07-11,2741.0,2741.0,2741.0,2741.0,1414356,516,1,2741.0
2001-07-14,2747.0,2750.0,2747.0,2750.0,7148200,2600,4,2750.0
2001-07-15,2764.0,2773.0,2764.0,2773.0,6233500,2250,6,2773.0
2001-07-17,2790.0,2795.0,2790.0,2795.0,3071200,1100,3,2795.0
2001-07-18,2900.0,2934.0,2900.0,2934.0,12613568,4302,5,2934.0
2001-07-21,2938.0,2953.0,2938.0,2953.0,22440990,7620,8,2953.0
2001-07-22,2954.0,2954.0,2954.0,2954.0,295400,100,1,2954.0
2001-07-23,2956.0,2956.0,2954.0,2954.0,13294164,4500,3,2954.0
2001-07-24,2955.0,2955.0,2955.0,2955.0,738750,250,1,2955.0
2001-07-25,2955.0,2955.0,2954.0,2954.0,13115845,4440,3,2954.0
2001-07-28,2954.0,2954.0,2954.0,2954.0,147700,50,1,2954.0
2001-07-29,2954.0,2954.0,2954.0,2954.0,59859856,20264,9,2954.0
2001-07-30,2953.0,2954.0,2953.0,2954.0,28860330,9770,12,2954.0
2001-07-31,2954.0,2954.0,2954.0,2954.0,13033048,4412,7,2954.0
2001-08-01,2955.0,2955.0,2955.0,2955.0,1034250,350,1,2955.0
2001-08-05,2956.0,2956.0,2956.0,2956.0,3210216,1086,3,2956.0
2001-08-06,2966.0,2966.0,2965.0,2966.0,28080070,9468,7,2966.0
2001-08-07,2972.0,2976.0,2971.0,2976.0,9536786,3207,9,2976.0
2001-08-08,2976.0,2977.0,2975.0,2975.0,9951933,3344,8,2975.0
2001-08-11,2975.0,2975.0,2975.0,2975.0,3570000,1200,3,2975.0
2001-08-12,2975.0,2976.0,2975.0,2975.0,5505415,1850,5,2975.0
2001-08-13,2975.0,2975.0,2975.0,2975.0,4843300,1628,5,2975.0
2001-08-14,2975.0,2975.0,2975.0,2975.0,1785000,600,1,2975.0
2001-08-18,2976.0,2976.0,2975.0,2975.0,1285582,432,4,2975.0
2001-08-19,2975.0,2977.0,2975.0,2977.0,15792294,5306,6,2977.0
2001-08-20,2977.0,2977.0,2977.0,2977.0,416780,140,2,2977.0
2001-08-21,2977.0,2977.0,2977.0,2977.0,4316650,1450,2,2977.0
2001-08-22,2979.0,2979.0,2977.0,2977.0,4747522,1594,3,2977.0
2001-08-25,2977.0,2977.0,2977.0,2977.0,9017333,3029,7,2977.0
2001-08-26,2977.0,2977.0,2977.0,2977.0,11178635,3755,7,2977.0
2001-08-27,2977.0,2977.0,2977.0,2977.0,6150482,2066,4,2977.0
2001-08-28,2978.0,2978.0,2976.0,2978.0,55467228,18626,15,2978.0
2001-08-29,2978.0,2979.0,2970.0,2978.0,41101192,13805,19,2978.0
2001-09-01,2978.0,2979.0,2977.0,2979.0,140493525,47170,14,2979.0
2001-09-02,2979.0,2979.0,2978.0,2979.0,4280201,1437,5,2979.0
2001-09-03,2979.0,2979.0,2979.0,2979.0,148950,50,1,2979.0
