date,open,high,low,adjClose,value,volume,count,close
2001-03-25,1590.0,1594.0,1590.0,1594.0,13320974,8371,9,1594.0
2001-03-26,1589.0,1594.0,1589.0,1594.0,5958793,3748,5,1594.0
2001-03-27,1593.0,1594.0,1590.0,1594.0,21908182,13774,15,1594.0
2001-03-28,1589.0,1589.0,1589.0,1589.0,548205,345,1,1589.0
2001-03-31,1551.0,1586.0,1533.0,1586.0,34589000,22370,13,1586.0
2001-04-03,1580.0,1580.0,1530.0,1559.0,48122780,31276,23,1559.0
2001-04-07,1532.0,1579.0,1520.0,1579.0,10342775,6715,8,1579.0
2001-04-08,1522.0,1559.0,1520.0,1559.0,60687887,39894,17,1559.0
2001-04-09,1520.0,1547.0,1520.0,1546.0,29297046,19200,11,1546.0
2001-04-10,1543.0,1590.0,1520.0,1590.0,52108839,34038,27,1590.0
2001-04-14,1580.0,1587.0,1580.0,1587.0,7435159,4699,8,1587.0
2001-04-15,1572.0,1572.0,1560.0,1560.0,8928420,5708,4,1560.0
2001-04-16,1532.0,1570.0,1532.0,1570.0,81060739,52270,39,1570.0
2001-04-17,1569.0,1570.0,1544.0,1570.0,32093838,20500,18,1570.0
2001-04-21,1565.0,1565.0,1535.0,1565.0,15386675,9878,14,1565.0
2001-04-22,1558.0,1560.0,1557.0,1560.0,45392439,29123,45,1560.0
2001-04-23,1540.0,1560.0,1540.0,1560.0,50997102,32770,26,1560.0
2001-04-24,1560.0,1590.0,1560.0,1589.0,46747307,29505,29,1589.0
2001-04-25,1589.0,1590.0,1560.0,1590.0,16541187,10410,10,1590.0
2001-04-28,1600.0,1600.0,1590.0,1600.0,43432020,27190,14,1600.0
2001-04-29,1600.0,1680.0,1600.0,1680.0,83076776,50118,23,1680.0
2001-04-30,1681.0,1681.0,1650.0,1669.0,49350758,29564,16,1669.0
2001-05-01,1650.0,1650.0,1650.0,1650.0,6600000,4000,1,1650.0
2001-05-02,1601.0,1601.0,1598.0,1599.0,24065570,15044,14,1599.0
2001-05-05,1550.0,1593.0,1549.0,1593.0,39964580,25757,15,1593.0
2001-05-06,1591.0,1591.0,1591.0,1591.0,795500,500,1,1591.0
2001-05-07,1578.0,1578.0,1552.0,1576.0,22143070,14154,20,1576.0
2001-05-08,1569.0,1570.0,1550.0,1570.0,31374126,20089,25,1570.0
2001-05-09,1550.0,1570.0,1540.0,1566.0,13461678,8649,17,1566.0
2001-05-12,1541.0,1569.0,1531.0,1569.0,30929726,20073,25,1569.0
2001-05-13,1560.0,1561.0,1530.0,1547.0,21954075,14227,18,1547.0
2001-05-15,1520.0,1544.0,1500.0,1537.0,55677584,36538,26,1537.0
2001-05-16,1519.0,1538.0,1501.0,1538.0,49495246,32540,31,1538.0
2001-05-19,1541.0,1564.0,1540.0,1564.0,57227916,37046,31,1564.0
2001-05-20,1563.0,1565.0,1540.0,1555.0,19659158,12640,11,1555.0
2001-05-21,1530.0,1538.0,1520.0,1538.0,72252830,47441,18,1538.0
2001-05-23,1536.0,1549.0,1536.0,1549.0,61856000,40250,20,1549.0
2001-05-26,1549.0,1549.0,1520.0,1539.0,62796218,41012,35,1539.0
2001-05-27,1520.0,1539.0,1504.0,1539.0,41099450,27106,31,1539.0
2001-05-28,1539.0,1540.0,1520.0,1540.0,663122282,430627,23,1540.0
2001-05-29,1530.0,1540.0,1520.0,1540.0,87238464,56879,37,1540.0
2001-05-30,1530.0,1540.0,1529.0,1540.0,100981800,65995,22,1540.0
2001-06-02,1528.0,1540.0,1527.0,1540.0,110241110,72086,32,1540.0
2001-06-03,1540.0,1541.0,1500.0,1540.0,31896088,21002,22,1540.0
2001-06-06,1539.0,1540.0,1539.0,1540.0,75505073,49057,24,1540.0
2001-06-09,1540.0,1579.0,1540.0,1546.0,123245087,79281,31,1546.0
2001-06-11,1551.0,1555.0,1549.0,1550.0,25066114,16139,11,1550.0
2001-06-12,1550.0,1557.0,1549.0,1550.0,18133704,11677,17,1550.0
2001-06-13,1548.0,1550.0,1512.0,1540.0,150414141,98063,50,1540.0
2001-06-16,1540.0,1540.0,1521.0,1540.0,17120746,11158,20,1540.0
2001-06-17,1540.0,1550.0,1540.0,1550.0,56658369,36708,21,1550.0
2001-06-18,1579.0,1627.0,1549.0,1602.0,246988284,154320,69,1602.0
2001-06-19,1624.0,1627.0,1588.0,1602.0,135589173,84608,49,1602.0
2001-06-20,1602.0,1620.0,1600.0,1610.0,67794020,42090,20,1610.0
2001-06-23,1625.0,1640.0,1604.0,1619.0,119079985,73697,43,1619.0
