date,open,high,low,adjClose,value,volume,count,close
2001-05-27,2756.0,2756.0,2756.0,2756.0,3670992,1332,1,2756.0
2001-06-27,2755.0,2755.0,2755.0,2755.0,2755000,1000,1,2755.0
2001-06-30,2756.0,2756.0,2756.0,2756.0,225840420,81945,43,2756.0
2001-07-01,2893.0,2893.0,2756.0,2893.0,210823189,72973,59,2893.0
2001-07-02,2894.0,2894.0,2894.0,2894.0,67441776,23304,19,2894.0
2001-07-07,2895.0,2895.0,2895.0,2895.0,30087735,10393,8,2895.0
2001-07-08,2895.0,2895.0,2895.0,2895.0,396615,137,1,2895.0
2001-07-31,1800.0,1800.0,1800.0,1800.0,1800000,1000,1,1800.0
2001-09-08,1890.0,1890.0,1890.0,1890.0,1134000,600,1,1890.0
2001-10-22,1891.0,1891.0,1891.0,1891.0,15914656,8416,7,1891.0
2001-10-23,1985.0,1985.0,1985.0,1985.0,86927120,43792,32,1985.0
2001-10-27,1985.0,1985.0,1985.0,1985.0,1985000,1000,1,1985.0
2001-11-10,2000.0,2000.0,2000.0,2000.0,2000000,1000,1,2000.0
2002-01-22,1200.0,1200.0,1200.0,1200.0,1200000,1000,1,1200.0
2002-02-26,1260.0,1260.0,1260.0,1260.0,1058400,840,1,1260.0
2002-02-27,1323.0,1323.0,1323.0,1323.0,661500,500,1,1323.0
2002-03-06,1389.0,1389.0,1389.0,1389.0,277800,200,2,1389.0
2002-05-27,1458.0,1458.0,1458.0,1458.0,291600,200,1,1458.0
2002-06-22,1530.0,1530.0,1530.0,1530.0,765000,500,1,1530.0
2002-06-23,1606.0,1606.0,1568.0,1568.0,177972454,110837,49,1568.0
2002-06-24,1646.0,1646.0,1646.0,1646.0,1646000,1000,1,1646.0
2002-07-03,1728.0,1728.0,1647.0,1647.0,4089798,2434,2,1647.0
2002-07-09,1646.0,1646.0,1646.0,1646.0,823000,500,1,1646.0
2002-07-17,1200.0,1200.0,1200.0,1200.0,600000,500,1,1200.0
2002-08-17,1200.0,1200.0,1200.0,1200.0,600000,500,1,1200.0
2002-09-07,1230.0,1230.0,1230.0,1230.0,389120340,316358,110,1230.0
2002-09-08,1230.0,1230.0,1230.0,1230.0,62547960,50852,24,1230.0
