date,open,high,low,adjClose,value,volume,count,close
2019-10-23,2160.0,2160.0,2160.0,2160.0,323998876800,149999480,875878,2160.0
2019-10-26,2268.0,2268.0,2268.0,2268.0,884340828,389921,2430,2268.0
2019-10-28,2381.0,2381.0,2381.0,2381.0,1040620812,437052,2679,2381.0
2019-10-30,2500.0,2500.0,2499.0,2500.0,1963202427,785281,4750,2500.0
2019-11-02,2625.0,2625.0,2625.0,2625.0,6290200875,2396267,14240,2625.0
2019-11-03,2756.0,2756.0,2756.0,2756.0,3935923524,1428129,8411,2756.0
2019-11-04,2893.0,2893.0,2893.0,2893.0,4261403465,1473005,9053,2893.0
2019-11-05,3037.0,3037.0,3037.0,3037.0,5753933607,1894611,10944,3037.0
2019-11-09,3188.0,3188.0,3188.0,3188.0,106502274744,33407238,83427,3188.0
2019-11-10,3347.0,3347.0,3347.0,3347.0,18233870275,5447825,24760,3347.0
2019-11-26,3514.0,3689.0,3514.0,3664.0,12397340144,3383371,13834,3689.0
2019-11-27,3847.0,3847.0,3847.0,3847.0,6944358192,1805136,10248,3847.0
2019-11-30,4039.0,4039.0,4039.0,4039.0,6130781944,1517896,8829,4039.0
2019-12-01,4240.0,4240.0,4240.0,4240.0,5973892880,1408937,8088,4240.0
2019-12-02,4452.0,4452.0,4452.0,4452.0,10415427288,2339494,11450,4452.0
2019-12-03,4674.0,4674.0,4674.0,4674.0,4634280348,991502,5803,4674.0
2019-12-04,4907.0,4907.0,4907.0,4907.0,5892247088,1200784,6569,4907.0
2019-12-07,5152.0,5152.0,4907.0,5135.0,254202806582,49499393,35362,5152.0
2019-12-08,5170.0,5391.0,5150.0,5299.0,154964893421,29243538,73494,5391.0
2019-12-09,5563.0,5563.0,5563.0,5563.0,5028223247,903869,3026,5563.0
2019-12-11,5841.0,6133.0,5841.0,6114.0,174323857102,28513250,30942,6133.0
2019-12-14,6250.0,6250.0,5809.0,5937.0,132062307578,22244337,20069,5809.0
2019-12-15,5641.0,5641.0,5641.0,5641.0,15710969099,2785139,1323,5641.0
2019-12-16,5359.0,5359.0,5359.0,5359.0,6195716747,1156133,868,5359.0
2019-12-17,5460.0,5626.0,5092.0,5577.0,242613865167,43504810,72577,5626.0
2019-12-18,5628.0,5855.0,5626.0,5804.0,179355954823,30901870,44065,5855.0
2019-12-21,6040.0,6094.0,5514.0,6067.0,88397392428,14570437,19936,6094.0
2019-12-22,6275.0,6370.0,6100.0,6315.0,58127836786,9204340,11189,6370.0
2019-12-23,6630.0,6630.0,6100.0,6596.0,182371892321,27647511,14341,6630.0
2019-12-24,6925.0,6925.0,6925.0,6925.0,10248979225,1479997,3800,6925.0
2019-12-25,7271.0,7271.0,7271.0,7271.0,14556323870,2001970,3650,7271.0
2019-12-28,7634.0,7634.0,7634.0,7634.0,31774372212,4162218,6885,7634.0
2019-12-29,8015.0,8015.0,8015.0,8015.0,20284426120,2530808,6396,8015.0
