date,open,high,low,adjClose,value,volume,count,close
2001-04-09,2813.0,2813.0,2813.0,2813.0,2813000,1000,1,2813.0
2001-04-14,2821.0,2821.0,2821.0,2821.0,124124,44,1,2821.0
2001-04-24,2830.0,2850.0,2830.0,2850.0,3617110,1275,3,2850.0
2001-04-29,2992.0,2992.0,2992.0,2992.0,10124928,3384,4,2992.0
2001-04-30,2993.0,2993.0,2992.0,2992.0,7606664,2542,4,2992.0
2001-05-01,2992.0,2993.0,2992.0,2993.0,11025820,3685,5,2993.0
2001-05-05,2995.0,2996.0,2995.0,2996.0,1989330,664,2,2996.0
2001-05-06,3001.0,3001.0,3001.0,3001.0,8216738,2738,2,3001.0
2001-06-06,3151.0,3151.0,3151.0,3151.0,3151000,1000,1,3151.0
2001-06-20,3308.0,3308.0,3308.0,3308.0,6364592,1924,2,3308.0
2001-06-23,3308.0,3310.0,3308.0,3310.0,15848724,4789,8,3310.0
2001-06-24,3475.0,3475.0,3475.0,3475.0,19112500,5500,2,3475.0
2001-06-27,3475.0,3475.0,3475.0,3475.0,434375,125,1,3475.0
2001-06-30,3475.0,3475.0,3475.0,3475.0,156375,45,1,3475.0
2001-07-04,4000.0,4000.0,4000.0,4000.0,4000000,1000,1,4000.0
2001-07-07,4000.0,4000.0,4000.0,4000.0,160000,40,2,4000.0
2001-07-08,4000.0,4000.0,4000.0,4000.0,13908000,3477,2,4000.0
2001-07-09,3999.0,4000.0,3999.0,4000.0,9998000,2500,2,4000.0
2001-07-10,4000.0,4000.0,4000.0,4000.0,5952000,1488,2,4000.0
2001-07-14,3999.0,4000.0,3999.0,4000.0,7399001,1850,2,4000.0
2001-09-04,3000.0,3000.0,3000.0,3000.0,3000000,1000,1,3000.0
2001-09-05,3000.0,3000.0,3000.0,3000.0,3309000,1103,2,3000.0
2001-09-10,3150.0,3150.0,3150.0,3150.0,1735650,551,2,3150.0
2001-09-11,3307.0,3307.0,3307.0,3307.0,5952600,1800,1,3307.0
2001-09-12,3307.0,3307.0,3307.0,3307.0,3307000,1000,1,3307.0
2001-09-15,3300.0,3307.0,3300.0,3300.0,17182600,5202,5,3300.0
2001-09-16,3301.0,3301.0,3300.0,3300.0,18481000,5600,4,3300.0
2001-09-17,3301.0,3301.0,3301.0,3301.0,1591082,482,1,3301.0
2001-09-18,3301.0,3301.0,3300.0,3300.0,3911018,1185,4,3300.0
2001-09-19,3300.0,3300.0,3300.0,3300.0,9900000,3000,3,3300.0
2001-09-22,3300.0,3300.0,3300.0,3300.0,1320000,400,1,3300.0
2001-09-24,3302.0,3302.0,3200.0,3200.0,12893000,3950,5,3200.0
2001-09-26,3208.0,3211.0,3208.0,3211.0,2750705,857,2,3211.0
2001-09-30,3221.0,3225.0,3221.0,3224.0,5467807,1696,6,3224.0
2001-10-03,3229.0,3229.0,3229.0,3229.0,1162440,360,1,3229.0
2001-10-07,3253.0,3256.0,3253.0,3256.0,1236926,380,2,3256.0
2001-10-10,3269.0,3271.0,3269.0,3269.0,19300392,5903,8,3269.0
2001-10-13,3270.0,3270.0,3270.0,3270.0,1962000,600,1,3270.0
2001-10-14,3275.0,3275.0,3275.0,3275.0,1722650,526,2,3275.0
2001-10-16,3300.0,3300.0,3300.0,3300.0,1059300,321,1,3300.0
2001-10-22,3465.0,3465.0,3465.0,3465.0,5405400,1560,3,3465.0
2001-10-23,3471.0,3471.0,3471.0,3471.0,2391519,689,4,3471.0
2001-10-24,3644.0,3644.0,3644.0,3644.0,6559200,1800,1,3644.0
2001-10-28,3659.0,3660.0,3655.0,3655.0,11741089,3211,7,3655.0
