date,open,high,low,adjClose,value,volume,count,close
2001-03-26,1080.0,1080.0,1080.0,1080.0,63406800,58710,26,1080.0
2001-03-27,1079.0,1081.0,1079.0,1080.0,25264552,23408,7,1080.0
2001-03-28,1080.0,1080.0,1080.0,1080.0,10073160,9327,7,1080.0
2001-03-31,1080.0,1080.0,1080.0,1080.0,20663640,19133,9,1080.0
2001-04-03,1080.0,1080.0,1079.0,1080.0,67637812,62632,21,1080.0
2001-04-07,1080.0,1082.0,1080.0,1082.0,14908354,13797,7,1082.0
2001-04-08,1082.0,1086.0,1082.0,1085.0,77266384,71232,18,1085.0
2001-04-09,1083.0,1086.0,1083.0,1086.0,125442694,115577,47,1086.0
2001-04-10,1086.0,1087.0,1086.0,1087.0,79334950,73000,20,1087.0
2001-04-11,1087.0,1088.0,1087.0,1088.0,66602427,61232,14,1088.0
2001-04-14,1088.0,1090.0,1088.0,1090.0,98149752,90207,23,1090.0
2001-04-15,1090.0,1091.0,1089.0,1090.0,101196340,92840,35,1090.0
2001-04-16,1090.0,1092.0,1089.0,1092.0,161453710,148101,25,1092.0
2001-04-17,1092.0,1097.0,1091.0,1096.0,114296232,104452,40,1096.0
2001-04-18,1098.0,1100.0,1096.0,1100.0,78027532,71151,23,1100.0
2001-04-21,1101.0,1101.0,1100.0,1101.0,67534542,61356,35,1101.0
2001-04-22,1104.0,1105.0,1102.0,1105.0,55139955,49974,32,1105.0
2001-04-23,1105.0,1105.0,1102.0,1105.0,88858449,80440,52,1105.0
2001-04-24,1105.0,1106.0,1105.0,1106.0,15686366,14195,14,1106.0
2001-04-25,1107.0,1107.0,1107.0,1107.0,32924394,29742,23,1107.0
2001-04-28,1111.0,1119.0,1111.0,1119.0,46262180,41576,39,1119.0
2001-04-29,1145.0,1174.0,1145.0,1174.0,27533922,23931,15,1174.0
2001-04-30,1185.0,1232.0,1182.0,1232.0,36978136,30535,18,1232.0
2001-05-01,1260.0,1260.0,1235.0,1255.0,90170700,72314,33,1255.0
2001-05-02,1255.0,1265.0,1244.0,1255.0,83212637,66335,40,1255.0
2001-05-05,1254.0,1255.0,1254.0,1255.0,45647088,36389,18,1255.0
2001-05-06,1254.0,1255.0,1253.0,1254.0,18951487,15116,10,1254.0
2001-05-07,1254.0,1254.0,1251.0,1252.0,12444151,9943,9,1252.0
2001-05-08,1251.0,1253.0,1232.0,1232.0,36162235,29010,14,1232.0
2001-05-12,1200.0,1200.0,1200.0,1200.0,1440000,1200,2,1200.0
2001-05-13,1200.0,1200.0,1199.0,1199.0,6673146,5564,3,1199.0
2001-05-19,1140.0,1190.0,1140.0,1190.0,38700300,33600,23,1190.0
2001-05-20,1189.0,1189.0,1189.0,1189.0,3685900,3100,4,1189.0
2001-05-27,1160.0,1185.0,1160.0,1185.0,78449564,67129,24,1185.0
2001-05-28,1184.0,1185.0,1184.0,1185.0,2794440,2360,3,1185.0
2001-05-29,1146.0,1149.0,1141.0,1141.0,32676320,28520,8,1141.0
2001-05-30,1146.0,1152.0,1146.0,1152.0,5892048,5136,4,1152.0
2001-06-02,1156.0,1157.0,1155.0,1155.0,86305739,74681,48,1155.0
2001-06-03,1160.0,1160.0,1155.0,1160.0,88078077,75974,45,1160.0
2001-06-06,1160.0,1164.0,1160.0,1164.0,80725240,69360,41,1164.0
2001-06-09,1164.0,1182.0,1164.0,1167.0,144275309,123531,98,1167.0
2001-06-11,1169.0,1170.0,1167.0,1170.0,25138867,21506,19,1170.0
2001-06-12,1172.0,1172.0,1172.0,1172.0,29414856,25098,20,1172.0
2001-06-13,1170.0,1182.0,1169.0,1182.0,82273829,70133,26,1182.0
2001-06-16,1182.0,1182.0,1182.0,1182.0,57972372,49046,26,1182.0
2001-06-17,1181.0,1182.0,1181.0,1182.0,49135380,41570,18,1182.0
2001-06-18,1182.0,1183.0,1182.0,1183.0,36384023,30778,18,1183.0
2001-06-19,1182.0,1184.0,1182.0,1184.0,28133706,23785,19,1184.0
2001-06-20,1184.0,1185.0,1183.0,1185.0,16043303,13550,13,1185.0
2001-06-23,1185.0,1186.0,1185.0,1186.0,26671034,22500,16,1186.0
2001-06-24,1187.0,1188.0,1180.0,1188.0,56775139,47836,12,1188.0
2001-06-25,1188.0,1188.0,1188.0,1188.0,16553592,13934,6,1188.0
2001-06-27,1187.0,1189.0,1186.0,1189.0,24256043,20420,14,1189.0
2001-06-30,1189.0,1190.0,1189.0,1190.0,12891329,10835,11,1190.0
2001-07-01,1189.0,1190.0,1189.0,1190.0,82065490,68971,29,1190.0
2001-07-02,1190.0,1190.0,1190.0,1190.0,9934120,8348,6,1190.0
2001-07-03,1190.0,1190.0,1190.0,1190.0,3950800,3320,4,1190.0
2001-07-04,1188.0,1190.0,1188.0,1190.0,87154473,73246,24,1190.0
2001-07-07,1190.0,1192.0,1190.0,1191.0,9127640,7665,9,1191.0
2001-07-08,1190.0,1192.0,1190.0,1192.0,29676508,24928,20,1192.0
2001-07-09,1192.0,1192.0,1192.0,1192.0,32765696,27488,15,1192.0
2001-07-10,1192.0,1192.0,1192.0,1192.0,348064,292,4,1192.0
2001-07-11,1191.0,1193.0,1191.0,1193.0,24376677,20441,15,1193.0
2001-07-14,1193.0,1193.0,1192.0,1193.0,18925637,15873,6,1193.0
2001-07-15,1193.0,1195.0,1193.0,1195.0,5769657,4833,4,1195.0
2001-07-16,1195.0,1196.0,1194.0,1196.0,42069930,35204,19,1196.0
2001-07-17,1196.0,1196.0,1194.0,1196.0,38412352,32127,13,1196.0
2001-07-21,1196.0,1196.0,1190.0,1196.0,57748272,48294,20,1196.0
2001-07-22,1195.0,1197.0,1195.0,1197.0,45309748,37866,19,1197.0
2001-07-23,1197.0,1197.0,1196.0,1196.0,9880740,8260,5,1196.0
2001-07-24,1195.0,1197.0,1195.0,1197.0,70954127,59301,26,1197.0
2001-07-25,1198.0,1198.0,1197.0,1198.0,18195818,15191,9,1198.0
2001-07-28,1195.0,1200.0,1195.0,1200.0,46022844,38404,20,1200.0
2001-07-29,1199.0,1200.0,1199.0,1200.0,12500260,10421,6,1200.0
2001-07-30,1199.0,1200.0,1199.0,1200.0,29533500,24630,7,1200.0
2001-07-31,1205.0,1210.0,1200.0,1201.0,72042988,59968,28,1201.0
2001-08-01,1201.0,1202.0,1201.0,1202.0,13860732,11536,9,1202.0
2001-08-04,1202.0,1202.0,1202.0,1202.0,21299440,17720,14,1202.0
2001-08-05,1201.0,1203.0,1201.0,1203.0,12030708,10004,6,1203.0
2001-08-06,1203.0,1205.0,1201.0,1205.0,19054937,15837,13,1205.0
2001-08-07,1201.0,1205.0,1200.0,1205.0,16849850,14000,10,1205.0
2001-08-08,1205.0,1205.0,1200.0,1205.0,9850515,8183,7,1205.0
2001-08-11,1205.0,1205.0,1204.0,1205.0,155473560,129032,19,1205.0
2001-08-12,1204.0,1206.0,1204.0,1206.0,10272058,8524,7,1206.0
2001-08-13,1210.0,1210.0,1207.0,1207.0,36817490,30503,15,1207.0
2001-08-14,1207.0,1213.0,1207.0,1209.0,94507289,78163,25,1209.0
2001-08-15,1209.0,1225.0,1209.0,1215.0,349178990,286953,81,1215.0
2001-08-18,1227.0,1250.0,1221.0,1221.0,1119388034,910188,180,1221.0
2001-08-19,1233.0,1260.0,1230.0,1239.0,1164248818,939383,158,1239.0
2001-08-20,1278.0,1300.0,1260.0,1260.0,1540277619,1214748,193,1260.0
2001-08-21,1265.0,1310.0,1265.0,1265.0,1963569347,1533638,290,1265.0
2001-08-22,1282.0,1310.0,1276.0,1278.0,627803870,488927,109,1278.0
2001-08-25,1300.0,1320.0,1290.0,1290.0,1397792574,1077747,200,1290.0
2001-08-26,1333.0,1335.0,1305.0,1305.0,1393512883,1061884,202,1305.0
2001-08-27,1326.0,1328.0,1318.0,1318.0,1562763338,1181432,237,1318.0
2001-08-28,1327.0,1344.0,1327.0,1335.0,1499032221,1124390,208,1335.0
2001-08-29,1335.0,1335.0,1290.0,1318.0,379739993,291109,117,1318.0
2001-09-01,1310.0,1318.0,1289.0,1318.0,348947749,268112,76,1318.0
2001-09-02,1313.0,1317.0,1280.0,1317.0,411800539,314380,48,1317.0
2001-09-03,1305.0,1310.0,1300.0,1307.0,360090892,276008,63,1307.0
2001-09-04,1300.0,1300.0,1280.0,1295.0,201189055,156030,33,1295.0
2001-09-05,1280.0,1296.0,1279.0,1295.0,502775367,389362,60,1295.0
2001-09-08,1315.0,1350.0,1300.0,1302.0,1749719080,1329892,235,1302.0
2001-09-09,1318.0,1322.0,1311.0,1311.0,1815137296,1379050,197,1311.0
2001-09-10,1330.0,1330.0,1300.0,1311.0,315079480,240908,66,1311.0
2001-09-11,1310.0,1311.0,1300.0,1311.0,240718973,184181,25,1311.0
2001-09-12,1301.0,1308.0,1288.0,1308.0,331823394,255820,63,1308.0
2001-09-15,1304.0,1304.0,1289.0,1300.0,266799584,206417,20,1300.0
2001-09-16,1270.0,1300.0,1270.0,1300.0,1506134437,1168415,132,1300.0
2001-09-19,1248.0,1290.0,1246.0,1290.0,626838012,492663,70,1290.0
2001-09-22,1290.0,1290.0,1260.0,1290.0,212762238,165585,30,1290.0
2001-09-23,1284.0,1291.0,1270.0,1291.0,391068890,304012,39,1291.0
2001-09-24,1280.0,1291.0,1280.0,1291.0,397812190,308939,41,1291.0
2001-09-26,1276.0,1290.0,1268.0,1290.0,474525418,369289,57,1290.0
2001-09-29,1285.0,1286.0,1285.0,1286.0,6425880,5000,3,1286.0
2001-09-30,1260.0,1286.0,1260.0,1286.0,521674319,407527,51,1286.0
2001-10-02,1260.0,1286.0,1260.0,1286.0,361166732,282081,31,1286.0
2001-10-03,1281.0,1286.0,1276.0,1286.0,245492166,191526,37,1286.0
2001-10-06,1285.0,1285.0,1279.0,1280.0,73593618,57522,23,1280.0
2001-10-07,1279.0,1279.0,1251.0,1279.0,262439193,205788,25,1279.0
2001-10-08,1270.0,1270.0,1252.0,1270.0,75027670,59345,18,1270.0
2001-10-09,1251.0,1260.0,1251.0,1260.0,141071730,112142,20,1260.0
2001-10-13,1244.0,1260.0,1244.0,1260.0,554447608,442747,47,1260.0
2001-10-16,1256.0,1270.0,1256.0,1270.0,337946647,267461,37,1270.0
2001-10-17,1270.0,1275.0,1267.0,1275.0,345185167,271950,34,1275.0
2001-10-20,1270.0,1280.0,1270.0,1280.0,89744640,70442,21,1280.0
2001-10-21,1280.0,1281.0,1280.0,1281.0,114410080,89381,17,1281.0
2001-10-22,1281.0,1288.0,1281.0,1281.0,34627000,27000,9,1281.0
2001-10-23,1282.0,1282.0,1280.0,1281.0,62339051,48664,15,1281.0
2001-10-24,1281.0,1283.0,1281.0,1283.0,62605796,48868,11,1283.0
2001-10-27,1283.0,1290.0,1283.0,1285.0,168649878,131170,33,1285.0
2001-10-28,1285.0,1290.0,1285.0,1285.0,148159230,115281,30,1285.0
2001-10-29,1285.0,1285.0,1280.0,1285.0,119238520,92956,21,1285.0
2001-10-30,1285.0,1286.0,1282.0,1286.0,330781067,257583,29,1286.0
2001-10-31,1285.0,1287.0,1284.0,1287.0,94865544,73801,20,1287.0
2001-11-03,1287.0,1287.0,1287.0,1287.0,296010,230,2,1287.0
2001-11-04,1283.0,1290.0,1280.0,1290.0,324507778,252335,26,1290.0
2001-11-05,1289.0,1291.0,1289.0,1291.0,94440750,73195,23,1291.0
2001-11-06,1290.0,1292.0,1289.0,1292.0,151117040,117118,27,1292.0
2001-11-10,1280.0,1293.0,1280.0,1293.0,246414693,191016,45,1293.0
2001-11-11,1280.0,1293.0,1280.0,1293.0,214323830,166100,36,1293.0
2001-11-12,1292.0,1293.0,1290.0,1293.0,147759428,114372,26,1293.0
2001-11-13,1290.0,1294.0,1288.0,1293.0,187684340,145336,13,1293.0
2001-11-14,1291.0,1294.0,1291.0,1294.0,232641908,180000,15,1294.0
2001-11-17,1290.0,1290.0,1290.0,1290.0,993300,770,1,1290.0
2001-11-18,1287.0,1290.0,1287.0,1290.0,106744214,82802,34,1290.0
2001-11-19,1290.0,1290.0,1288.0,1290.0,167806390,130162,30,1290.0
2001-11-20,1290.0,1290.0,1287.0,1290.0,91496272,71000,19,1290.0
2001-11-21,1288.0,1290.0,1287.0,1290.0,192620060,149427,16,1290.0
2001-11-25,1279.0,1290.0,1279.0,1290.0,360442210,280100,31,1290.0
2001-11-27,1280.0,1290.0,1280.0,1290.0,199249138,154779,35,1290.0
2001-11-28,1290.0,1295.0,1289.0,1292.0,88873468,68828,24,1292.0
2001-12-01,1291.0,1293.0,1289.0,1293.0,592802341,459429,23,1293.0
2001-12-02,1292.0,1294.0,1292.0,1294.0,107715413,83344,20,1294.0
2001-12-03,1294.0,1295.0,1294.0,1295.0,71191269,55000,17,1295.0
2001-12-04,1292.0,1296.0,1292.0,1296.0,109332087,84460,26,1296.0
2001-12-05,1290.0,1300.0,1289.0,1297.0,58636202,45341,20,1297.0
2001-12-08,1297.0,1297.0,1282.0,1282.0,15035110,11605,4,1282.0
2001-12-09,1283.0,1286.0,1280.0,1286.0,150894266,117709,32,1286.0
2001-12-10,1286.0,1291.0,1280.0,1291.0,192442056,149843,22,1291.0
2001-12-11,1290.0,1291.0,1290.0,1291.0,61713808,47838,14,1291.0
2001-12-12,1289.0,1295.0,1289.0,1295.0,104948425,81316,23,1295.0
2001-12-15,1295.0,1298.0,1290.0,1298.0,55363718,42775,23,1298.0
2001-12-17,1294.0,1300.0,1294.0,1300.0,45995750,35450,17,1300.0
2001-12-18,1300.0,1300.0,1298.0,1300.0,70801120,54472,16,1300.0
2001-12-19,1302.0,1302.0,1301.0,1301.0,54237183,41683,12,1301.0
2001-12-22,1301.0,1301.0,1300.0,1301.0,70927170,54536,19,1301.0
2001-12-23,1300.0,1301.0,1297.0,1301.0,41079041,31600,17,1301.0
2001-12-24,1299.0,1304.0,1299.0,1304.0,30596468,23526,12,1304.0
2001-12-25,1302.0,1306.0,1302.0,1306.0,34353832,26362,7,1306.0
2001-12-26,1300.0,1308.0,1298.0,1308.0,329341730,253252,36,1308.0
2001-12-29,1305.0,1310.0,1305.0,1310.0,101736072,77835,21,1310.0
2001-12-30,1309.0,1312.0,1308.0,1312.0,227052603,173367,24,1312.0
2001-12-31,1312.0,1313.0,1312.0,1313.0,24642714,18778,9,1313.0
2002-01-01,1313.0,1320.0,1285.0,1320.0,139554876,106582,32,1320.0
2002-01-02,1318.0,1318.0,1318.0,1318.0,57992000,44000,7,1318.0
2002-01-05,1315.0,1318.0,1313.0,1317.0,135509077,103000,41,1317.0
2002-01-06,1315.0,1318.0,1313.0,1318.0,254993623,193711,40,1318.0
2002-01-07,1317.0,1359.0,1317.0,1359.0,117903282,89172,27,1359.0
2002-03-06,1008.0,1090.0,1000.0,1089.0,51028438,47269,31,1089.0
2002-03-09,1089.0,1100.0,1088.0,1090.0,108996307,99909,38,1090.0
2002-03-10,1080.0,1080.0,1080.0,1080.0,20187360,18692,12,1080.0
2002-03-11,1079.0,1079.0,1041.0,1065.0,19441146,18359,13,1065.0
2002-03-12,1045.0,1045.0,1041.0,1041.0,15155836,14510,9,1041.0
2002-03-13,1040.0,1040.0,1039.0,1039.0,1649480,1587,2,1039.0
2002-03-16,1021.0,1022.0,1014.0,1022.0,70280105,68843,45,1022.0
2002-03-17,1020.0,1034.0,1020.0,1034.0,51462606,50318,38,1034.0
2002-03-18,1034.0,1039.0,1034.0,1039.0,45841738,44218,20,1039.0
2002-03-19,1039.0,1039.0,1034.0,1039.0,161177306,155334,39,1039.0
2002-03-26,1039.0,1039.0,1039.0,1039.0,7179490,6910,2,1039.0
2002-03-27,1037.0,1037.0,1029.0,1030.0,40807975,39616,15,1030.0
2002-03-30,1030.0,1044.0,1030.0,1044.0,24835796,24044,11,1044.0
2002-03-31,1044.0,1044.0,1044.0,1044.0,9679968,9272,7,1044.0
2002-04-03,1043.0,1043.0,1043.0,1043.0,10430000,10000,1,1043.0
2002-04-06,1034.0,1049.0,1034.0,1049.0,64000843,61505,24,1049.0
2002-04-07,1050.0,1050.0,1050.0,1050.0,24258150,23103,16,1050.0
2002-04-08,1050.0,1050.0,1044.0,1044.0,12042988,11522,10,1044.0
2002-04-09,1050.0,1070.0,1046.0,1070.0,97124395,92191,39,1070.0
2002-04-10,1070.0,1090.0,1070.0,1090.0,40159677,37299,23,1090.0
2002-04-13,1110.0,1111.0,1091.0,1111.0,72943910,65963,26,1111.0
2002-04-14,1112.0,1142.0,1112.0,1142.0,67233127,58939,43,1142.0
