date,open,high,low,adjClose,value,volume,count,close
2020-02-09,100000.0,100000.0,100000.0,100000.0,1400000000,14000,10,100000.0
2020-02-10,100000.0,100000.0,100000.0,100000.0,8600000000,86000,15,100000.0
2020-02-12,100000.0,100000.0,100000.0,100000.0,5000000000,50000,18,100000.0
2020-08-16,100000.0,100000.0,100000.0,100000.0,4600000000,46000,14,100000.0
2020-08-17,100010.0,110000.0,100010.0,109907.0,11979810000,109000,38,110000.0
2020-08-18,120897.0,120897.0,120897.0,120897.0,3868704000,32000,19,120897.0
2020-08-19,132986.0,132986.0,132986.0,132986.0,638332800,4800,3,132986.0
2020-08-23,146284.0,146284.0,146284.0,146284.0,146284000,1000,1,146284.0
2020-08-31,160912.0,160912.0,160912.0,160912.0,12058745280,74940,21,160912.0
2020-09-06,177003.0,177003.0,177003.0,177003.0,1911632400,10800,8,177003.0
2020-09-08,194703.0,194703.0,194000.0,194671.0,23681694050,121650,51,194703.0
2020-09-15,214138.0,214138.0,214138.0,214138.0,4582553200,21400,11,214138.0
