date,open,high,low,adjClose,value,volume,count,close
2005-01-31,6100.0,6100.0,6100.0,6100.0,3824157100,626911,253,6100.0
2005-02-01,6100.0,6100.0,6100.0,6100.0,18300000,3000,1,6100.0
2005-02-02,6200.0,6200.0,6102.0,6102.0,21761020,3510,3,6102.0
2005-02-06,6132.0,6198.0,6055.0,6101.0,245278765,40200,56,6101.0
2005-02-07,6000.0,6119.0,6000.0,6100.0,96857942,15878,22,6100.0
2005-02-08,6000.0,6100.0,6000.0,6099.0,1123490,185,3,6099.0
2005-02-09,6092.0,6098.0,6092.0,6098.0,1279380,210,2,6098.0
2005-02-12,6092.0,6199.0,6092.0,6098.0,51077684,8367,17,6098.0
2005-02-21,5794.0,6096.0,5794.0,6096.0,5014830,865,2,6096.0
2005-02-22,5792.0,6140.0,5792.0,6057.0,209005920,35303,21,6057.0
2005-02-23,5755.0,6200.0,5755.0,6021.0,2540605525,417623,10,6021.0
2005-02-26,6139.0,6300.0,6068.0,6068.0,315695680,51150,35,6068.0
2005-02-27,6140.0,6140.0,6102.0,6102.0,481375620,78400,15,6102.0
2005-03-02,6000.0,6140.0,6000.0,6101.0,404256768,66261,17,6101.0
2005-03-05,6140.0,6140.0,6103.0,6103.0,67601030,11010,3,6103.0
2005-08-14,5500.0,5500.0,5000.0,5001.0,384403410,76854,24,5001.0
2005-08-15,5010.0,5010.0,5004.0,5004.0,303415560,60562,16,5004.0
2005-08-16,5100.0,5100.0,5006.0,5006.0,108475440,21585,15,5006.0
2005-08-17,5020.0,5020.0,5007.0,5007.0,82880070,16510,5,5007.0
2005-08-21,5007.0,5020.0,5007.0,5007.0,52752270,10510,5,5007.0
2005-08-22,5020.0,5020.0,5008.0,5008.0,100470330080,20014010,7,5008.0
2005-08-23,5020.0,5020.0,5008.0,5008.0,10064980,2005,4,5008.0
2005-08-24,5020.0,5020.0,5009.0,5009.0,70646350,14073,4,5009.0
2005-08-27,5248.0,5250.0,5014.0,5014.0,18421040,3510,4,5014.0
2005-08-28,5021.0,5021.0,5014.0,5014.0,36230333950,7217198,6,5014.0
2005-08-29,5014.0,5020.0,5014.0,5014.0,23250690,4635,5,5014.0
2005-08-30,5020.0,5020.0,5014.0,5014.0,60290140,12010,3,5014.0
2005-09-03,5020.0,5020.0,5015.0,5015.0,251042650,50010,14,5015.0
2005-09-05,5020.0,5020.0,5000.0,5015.0,124285150,24760,9,5015.0
2005-09-06,5020.0,5020.0,5015.0,5015.0,29919150,5960,2,5015.0
2005-09-11,5019.0,5020.0,5016.0,5016.0,212692380,42371,12,5016.0
2005-09-12,5020.0,5020.0,5016.0,5016.0,48618660,9685,6,5016.0
2005-09-14,5020.0,5020.0,5016.0,5016.0,37700160,7510,2,5016.0
2005-09-17,5020.0,5020.0,5016.0,5016.0,33935160,6760,2,5016.0
2005-09-18,5020.0,5020.0,5016.0,5016.0,50250160,10010,2,5016.0
2005-09-26,5000.0,5050.0,5000.0,5015.0,25111900,5010,4,5015.0
2005-10-02,5015.0,5020.0,5015.0,5015.0,73369375,14625,8,5015.0
2005-10-18,5003.0,5020.0,5003.0,5015.0,25126723,5010,6,5015.0
2005-10-31,5014.0,5014.0,5014.0,5014.0,250700,50,1,5014.0
2005-11-02,5011.0,5014.0,5011.0,5014.0,100250,20,2,5014.0
2005-11-23,4950.0,5010.0,4950.0,4991.0,179742510,36010,11,4991.0
2005-11-26,5000.0,5000.0,4991.0,4991.0,12049910,2410,2,4991.0
2005-11-29,5009.0,5010.0,4992.0,4992.0,65170420,13010,5,4992.0
2005-12-03,4949.0,4992.0,4949.0,4990.0,69075540,13870,6,4990.0
2005-12-04,5020.0,5239.0,4995.0,4995.0,939762950,180660,9,4995.0
