date,open,high,low,adjClose,value,volume,count,close
2017-03-01,10500.0,10500.0,10500.0,10500.0,683833500,65127,6,10500.0
2017-03-04,9800.0,10000.0,9500.0,9689.0,47330395,4885,21,9950.0
2017-03-05,8751.0,9005.0,8751.0,8988.0,18812668,2093,8,9005.0
2017-03-06,9500.0,9886.0,9258.0,9383.0,114702064,12224,10,9258.0
2017-03-07,9251.0,9254.0,9251.0,9253.0,48502415,5242,11,9251.0
2017-03-08,8330.0,10178.0,8330.0,10157.0,1066790055,105032,31,10000.0
2017-03-11,9142.0,10760.0,9142.0,10602.0,2776906063,261924,60,9511.0
2017-03-12,9564.0,10336.0,9564.0,10008.0,5044136,504,2,10336.0
2017-03-14,9047.0,9054.0,9047.0,9052.0,21426737,2367,5,9054.0
2017-03-15,9933.0,9933.0,9933.0,9933.0,1042965,105,1,9933.0
2017-03-25,9056.0,10443.0,9056.0,9319.0,4920268,528,2,10443.0
2017-03-26,10250.0,10250.0,10239.0,10246.0,7510456,733,5,10239.0
2017-03-28,9999.0,9999.0,9999.0,9999.0,1539846,154,1,9999.0
2017-03-29,9027.0,10245.0,9027.0,9785.0,4589127,469,4,10245.0
2017-04-03,9202.0,10000.0,9202.0,9804.0,19990218,2039,6,9999.0
2017-04-04,9400.0,10245.0,9400.0,9936.0,97938683,9857,15,10245.0
2017-04-05,9752.0,9752.0,9735.0,9743.0,165629000,17000,7,9735.0
2017-04-08,9800.0,9800.0,9750.0,9782.0,154423250,15787,3,9750.0
2017-04-09,9450.0,9600.0,9450.0,9482.0,57233390,6036,11,9507.0
2017-04-10,9510.0,10000.0,9500.0,9600.0,62504250,6511,12,9500.0
2017-04-12,9350.0,9499.0,9210.0,9363.0,14849592,1586,6,9305.0
2017-04-15,9300.0,9780.0,9300.0,9707.0,113541174,11697,12,9471.0
2017-04-16,9321.0,9340.0,9321.0,9325.0,20767614,2227,4,9340.0
2017-04-17,9500.0,9500.0,9500.0,9500.0,7685500,809,2,9500.0
2017-04-18,9401.0,9501.0,9401.0,9461.0,38884205,4110,12,9404.0
2017-04-19,9501.0,9999.0,9500.0,9852.0,84747646,8602,10,9999.0
2017-04-22,9990.0,10000.0,9990.0,9998.0,28593720,2860,10,10000.0
2017-04-24,9801.0,10000.0,9801.0,9977.0,93131882,9335,14,10000.0
2017-04-26,9555.0,10200.0,9411.0,9630.0,192948341,20036,33,9700.0
2017-06-17,9700.0,9700.0,9700.0,9700.0,20021993100,2064123,52,9700.0
2020-03-18,36000.0,38999.0,35100.0,36144.0,22404793143,619884,883,36198.0
2020-03-24,35880.0,35880.0,32530.0,33533.0,138447481965,4128716,4519,33700.0
2020-03-25,33800.0,36000.0,33800.0,35266.0,131743422938,3735694,3396,35890.0
2020-03-28,37201.0,38792.0,35910.0,37862.0,228303572775,6029843,3958,38791.0
2020-03-29,39900.0,41490.0,38000.0,39779.0,188212874447,4731475,3947,39299.0
2020-03-30,38800.0,39900.0,37200.0,38116.0,96477030396,2531173,2486,38069.0
2020-04-04,38122.0,40999.0,38000.0,39625.0,155341891397,3920333,2687,40203.0
2020-04-05,41000.0,41000.0,38500.0,39260.0,81723216325,2081578,2156,38678.0
2020-04-06,38000.0,38650.0,36120.0,36697.0,98127306189,2673978,2387,37000.0
2020-04-07,36500.0,37100.0,35020.0,36118.0,68384995805,1893397,2174,35810.0
2020-04-08,36690.0,37770.0,35211.0,35927.0,66577424510,1853132,2105,35600.0
2020-04-11,36110.0,36900.0,34500.0,35594.0,67205697179,1888102,1603,35000.0
2020-04-12,35000.0,35620.0,34520.0,34940.0,75114499314,2149834,1788,34630.0
2020-04-13,35112.0,35434.0,31446.0,33406.0,96926460686,2901474,1713,33733.0
2020-04-14,32000.0,33100.0,31401.0,32186.0,48747120126,1514554,1396,32525.0
2020-04-15,33000.0,34785.0,32304.0,33295.0,190821839149,5731229,1862,33333.0
2020-04-18,34800.0,36112.0,33999.0,35319.0,123624258300,3500255,1971,35870.0
2020-04-19,36500.0,36500.0,33210.0,34577.0,99343814745,2873095,2038,33400.0
2020-04-20,33400.0,35499.0,33016.0,34471.0,91838438482,2664217,1317,33960.0
2020-04-21,34850.0,35900.0,33751.0,34608.0,69214842773,1999963,1455,33982.0
2020-04-22,34600.0,36125.0,33625.0,35150.0,109528509609,3116010,1806,35600.0
2020-04-25,36328.0,38665.0,36328.0,37895.0,170119228848,4489182,2862,38665.0
2020-04-26,39900.0,40015.0,34106.0,38256.0,177269829984,4633830,2429,38007.0
2020-04-27,38180.0,38199.0,36000.0,37240.0,82594858595,2217888,1387,37002.0
2020-04-28,37375.0,37378.0,35400.0,36060.0,92119009040,2554570,1439,36360.0
2020-04-29,36360.0,37500.0,35900.0,36658.0,97170125790,2650756,1968,37200.0
2020-05-02,38131.0,40323.0,37500.0,39488.0,295730200004,7489191,3879,40323.0
2020-05-03,42102.0,43377.0,41001.0,42315.0,343973673176,8128890,4513,41820.0
2020-05-04,40000.0,42000.0,38200.0,40327.0,220054847829,5456814,2544,40100.0
2020-05-05,38800.0,41500.0,36295.0,37902.0,170023660263,4485914,2341,36801.0
2020-05-06,38197.0,38197.0,36300.0,37068.0,52847195906,1425686,1239,37000.0
2020-05-09,37001.0,39000.0,37001.0,38355.0,125322434384,3267473,1989,38201.0
2020-05-10,38990.0,38990.0,34999.0,36427.0,141980712651,3897651,2103,35797.0
2020-05-11,36250.0,36250.0,33386.0,34159.0,142303472290,4165886,1888,34007.0
2020-05-12,34000.0,34000.0,30815.0,32041.0,102232787629,3190719,1899,31530.0
2020-05-13,30998.0,35000.0,30000.0,32500.0,149392708572,4596738,2196,31700.0
2020-05-16,32900.0,33000.0,29251.0,30663.0,169779969478,5537010,2404,29999.0
2020-08-01,53000.0,53000.0,53000.0,53000.0,2746195000,51815,35,53000.0
2020-08-02,58300.0,58300.0,55000.0,56020.0,19126829000,341418,255,55000.0
2020-08-03,0.0,61620.0,54000.0,54200.0,33130059180,611215,73,54000.0
2020-08-04,54200.0,56000.0,53000.0,53940.0,990810435580,18367326,724,54200.0
