date,open,high,low,adjClose,value,volume,count,close
2007-02-28,800.0,800.0,798.0,799.0,22238767,27810,13,799.0
2007-03-03,768.0,769.0,768.0,768.0,90613084,117963,41,768.0
2007-03-04,751.0,798.0,742.0,765.0,17701725,23131,15,765.0
2007-03-05,795.0,795.0,795.0,795.0,32948775,41445,18,795.0
2007-03-06,826.0,826.0,826.0,826.0,29927632,36232,12,826.0
2007-03-07,859.0,859.0,793.0,816.0,396830002,486049,119,816.0
2007-05-19,600.0,800.0,600.0,800.0,47120800,60151,8,800.0
2007-05-21,768.0,768.0,768.0,768.0,9945600,12950,3,768.0
2007-05-23,738.0,738.0,738.0,738.0,16398360,22220,3,738.0
2007-05-27,709.0,709.0,709.0,709.0,3545000,5000,1,709.0
2007-05-28,681.0,681.0,681.0,681.0,3405000,5000,1,681.0
2007-05-29,654.0,654.0,654.0,654.0,12426000,19000,3,654.0
2007-05-30,628.0,628.0,628.0,628.0,399100280,635510,56,628.0
2007-06-02,603.0,604.0,603.0,604.0,1210090790,2006754,71,604.0
2010-08-28,719.0,776.0,719.0,763.0,113992824,149349,26,776.0
2010-08-29,760.0,760.0,760.0,760.0,1728240,2274,6,760.0
2010-08-30,760.0,760.0,710.0,731.0,44841200,61370,5,710.0
2010-09-04,673.0,673.0,673.0,673.0,6730000,10000,1,673.0
2010-09-07,620.0,620.0,620.0,620.0,10936800,17640,4,620.0
2010-09-08,580.0,580.0,580.0,580.0,21553380,37161,9,580.0
2010-09-13,536.0,536.0,534.0,534.0,49067074,91811,6,534.0
2010-09-14,534.0,534.0,534.0,534.0,9437382,17673,2,534.0
2010-09-19,500.0,500.0,500.0,500.0,10000000,20000,1,500.0
2010-09-22,460.0,460.0,460.0,460.0,2009740,4369,1,460.0
2010-09-27,424.0,424.0,424.0,424.0,2661024,6276,1,424.0
2010-09-28,457.0,457.0,457.0,457.0,488990,1070,1,457.0
2010-09-29,493.0,493.0,493.0,493.0,596530,1210,2,493.0
2010-10-03,499.0,499.0,454.0,472.0,1815586,3844,3,454.0
2011-03-13,1.0,1.0,1.0,1.0,1868133,1868133,63,1.0
2014-09-01,3217.0,3350.0,3200.0,3234.0,6072031640,1877766,196,3245.0
2014-09-02,3300.0,3492.0,3200.0,3432.0,11971126400,3488018,613,3492.0
