date,open,high,low,adjClose,value,volume,count,close
2020-08-01,20000.0,22000.0,20000.0,21550.0,2118802742810,98309373,31524,21970.0
2020-08-02,22170.0,22180.0,20400.0,21540.0,1610478165770,74751955,23421,22040.0
2020-08-03,21350.0,21350.0,19410.0,20130.0,1051120251350,52222139,12590,19650.0
2020-08-04,18750.0,19980.0,18120.0,18470.0,1842141058930,99762368,24880,18180.0
2020-08-05,18050.0,18900.0,16620.0,17250.0,1264291769720,73286278,15485,17690.0
2020-08-09,17810.0,18800.0,16720.0,17940.0,664564103280,37043227,7493,18650.0
2020-08-10,17340.0,17340.0,16250.0,16830.0,298805030750,17750749,2951,16660.0
2020-08-11,16000.0,16500.0,15180.0,15430.0,373691091730,24213662,4750,15660.0
2020-08-12,16600.0,16750.0,14600.0,15600.0,576202980010,36933887,5606,15090.0
2020-08-15,15000.0,15200.0,14040.0,14190.0,327592853760,23086411,4880,14040.0
2020-08-16,13770.0,14050.0,12800.0,13120.0,284776658030,21711283,4459,13190.0
2020-08-17,13400.0,14160.0,13020.0,13700.0,418759256050,30558863,5538,13700.0
2020-08-18,14710.0,15070.0,14010.0,14720.0,443456133620,30121409,5615,14330.0
2020-08-19,13730.0,14700.0,13250.0,13300.0,159781651470,12011428,2162,13250.0
2020-08-22,14280.0,14280.0,12000.0,13020.0,350252167900,26899762,3984,12840.0
2020-08-23,13000.0,13020.0,11720.0,11910.0,238843064000,20053983,4002,11720.0
2020-08-24,11600.0,11880.0,10720.0,10870.0,227506581220,20939254,3343,10740.0
2020-09-16,11950.0,11950.0,11950.0,11950.0,88897017950,7439081,3052,11950.0
2020-09-19,13150.0,13150.0,13150.0,13150.0,125731765650,9561351,3084,13150.0
2020-09-20,14470.0,14470.0,13310.0,14170.0,1540303843710,108682354,17380,14190.0
2020-09-21,13220.0,14100.0,12810.0,13500.0,796582160770,59013280,9325,14020.0
2020-09-22,14310.0,14850.0,13130.0,14370.0,807501124250,56203110,9251,14850.0
2020-09-23,15400.0,15810.0,15010.0,15750.0,589047586060,37397442,6903,15810.0
2020-09-26,16950.0,17330.0,16420.0,17150.0,1021839678020,59587997,11359,17330.0
2020-09-27,17200.0,18000.0,15440.0,15970.0,1203140923590,75347856,11726,16300.0
2020-09-28,14660.0,14890.0,14370.0,14440.0,141433004340,9796485,1315,14370.0
2020-09-29,13000.0,15870.0,13000.0,14380.0,910035725610,63300119,9364,15380.0
2020-09-30,15190.0,15820.0,14910.0,15660.0,795336140770,50783481,6230,15820.0
2020-10-03,16800.0,17230.0,16650.0,17140.0,361510251800,21093751,3749,17230.0
2020-10-04,17500.0,17990.0,15440.0,16770.0,1248858827330,74447829,12112,15800.0
2020-10-05,15090.0,16700.0,15090.0,15530.0,580409742930,37369899,6727,15420.0
2020-10-06,16000.0,16700.0,14770.0,15880.0,717832771380,45202634,8629,16260.0
