date,open,high,low,adjClose,value,volume,count,close
2015-08-03,2252.0,2252.0,2252.0,2252.0,3378000,1500,1,2252.0
2015-08-04,2400.0,2450.0,2250.0,2360.0,575082975,243693,76,2397.0
2015-08-05,2200.0,2300.0,2180.0,2215.0,95973620,43331,20,2205.0
2015-08-08,1997.0,2188.0,1994.0,2009.0,250918446,124923,37,1994.0
2015-08-09,2000.0,2100.0,1845.0,1974.0,482150645,244299,81,2100.0
2015-08-10,1991.0,2100.0,1972.0,2000.0,65446603,32726,16,1981.0
2015-08-12,1975.0,1975.0,1925.0,1939.0,45420252,23424,8,1925.0
2015-08-15,1880.0,1880.0,1840.0,1860.0,24033514,12920,6,1860.0
2015-08-16,1745.0,1887.0,1745.0,1846.0,119566606,64756,22,1860.0
2015-08-17,1850.0,1850.0,1777.0,1824.0,33088861,18137,14,1850.0
2015-08-18,1742.0,1830.0,1742.0,1761.0,15313050,8695,5,1809.0
2015-08-19,1706.0,1736.0,1680.0,1715.0,287876421,167904,30,1682.0
2015-08-22,1674.0,1699.0,1674.0,1677.0,109296304,65180,13,1675.0
2015-08-23,1540.0,1743.0,1510.0,1520.0,181590100,119500,13,1510.0
2015-08-24,1549.0,1549.0,1445.0,1446.0,7300901,5049,3,1445.0
2015-08-25,1500.0,1500.0,1448.0,1461.0,44251571,30298,19,1496.0
2015-08-26,1495.0,1599.0,1465.0,1496.0,33368842,22311,13,1599.0
2015-08-29,1645.0,1645.0,1525.0,1642.0,365915635,222809,94,1645.0
2015-08-30,1779.0,1779.0,1478.0,1492.0,230949200,154800,20,1478.0
2015-08-31,1540.0,1540.0,1540.0,1540.0,1463000,950,1,1540.0
2015-09-01,1401.0,1510.0,1401.0,1406.0,274020918,194848,11,1406.0
2015-09-02,1545.0,1545.0,1410.0,1424.0,19853801,13947,11,1425.0
2015-09-05,1425.0,1452.0,1420.0,1444.0,47372000,32800,13,1440.0
2015-09-06,1385.0,1390.0,1371.0,1378.0,45319225,32885,6,1390.0
2015-09-07,1431.0,1515.0,1390.0,1452.0,9993655,6883,5,1390.0
2015-09-08,1417.0,1417.0,1410.0,1411.0,165809234,117549,15,1410.0
2015-09-09,1411.0,1430.0,1371.0,1414.0,7354171,5201,6,1430.0
2015-09-12,1365.0,1365.0,1273.0,1319.0,227089734,172114,42,1277.0
2015-09-13,1277.0,1277.0,1202.0,1239.0,153156737,123622,18,1202.0
2015-09-14,1195.0,1195.0,1188.0,1190.0,98406792,82687,25,1188.0
2015-09-15,1200.0,1200.0,1163.0,1199.0,80188044,66890,10,1170.0
2015-09-16,1170.0,1170.0,1080.0,1093.0,724902687,663501,181,1080.0
2015-09-19,1011.0,1011.0,988.0,999.0,274782534,275006,121,988.0
2015-09-20,981.0,981.0,981.0,981.0,13032585,13285,3,981.0
2015-09-21,1030.0,1030.0,930.0,1006.0,6369900,6330,3,930.0
2015-09-22,916.0,953.0,914.0,945.0,66278954,70130,17,953.0
2015-09-23,999.0,1000.0,920.0,957.0,116497278,121716,33,920.0
2015-09-26,957.0,997.0,862.0,880.0,297459632,337924,43,862.0
2016-04-16,2050.0,2050.0,2050.0,2050.0,410000000,200000,4,2050.0
2016-04-20,2000.0,2000.0,2000.0,2000.0,20000000,10000,1,2000.0
2016-04-26,2100.0,2200.0,2100.0,2193.0,2885870000,1315850,60,2200.0
2016-04-30,2412.0,2412.0,2412.0,2412.0,385920000,160000,7,2412.0
