date,open,high,low,adjClose,value,volume,count,close
2020-04-19,10271.0,10271.0,10271.0,10271.0,696004044,67764,64,10271.0
2020-04-20,10280.0,20000.0,10278.0,10314.0,35991965239,3489734,338,11101.0
2020-04-21,10320.0,12030.0,10320.0,10395.0,531055238670,51089687,1492,10416.0
2020-04-22,10450.0,10890.0,10390.0,10396.0,113631992234,10929952,468,10490.0
2020-04-25,10407.0,10440.0,10401.0,10405.0,20772627207,1996502,234,10402.0
2020-04-26,10411.0,10420.0,10406.0,10411.0,13696342103,1315596,137,10415.0
2020-04-27,10416.0,10445.0,10411.0,10414.0,12377808160,1188570,105,10445.0
2020-04-28,10650.0,10650.0,10415.0,10430.0,22269913474,2135095,125,10417.0
2020-04-29,10422.0,10549.0,10416.0,10423.0,15434975410,1480822,132,10497.0
2020-05-02,10425.0,10529.0,10422.0,10438.0,14131934904,1353854,154,10440.0
2020-05-03,10427.0,10590.0,10424.0,10447.0,20780157138,1989168,229,10455.0
2020-05-04,10500.0,10569.0,10434.0,10443.0,9324002246,892848,96,10474.0
2020-05-05,10470.0,10500.0,10434.0,10440.0,6120920844,586283,74,10443.0
2020-05-06,10444.0,10470.0,10444.0,10451.0,3247365991,310735,42,10450.0
2020-05-09,10400.0,10495.0,10400.0,10453.0,1523550661,145753,66,10453.0
2020-05-10,10463.0,10497.0,10455.0,10460.0,2541410361,242960,50,10497.0
2020-05-11,10465.0,10470.0,10295.0,10463.0,17000629538,1624804,96,10470.0
2020-05-12,10475.0,10475.0,10468.0,10474.0,6240203792,595752,56,10475.0
2020-05-13,10485.0,10540.0,10479.0,10484.0,11097315861,1058548,66,10485.0
2020-05-16,10491.0,10534.0,10484.0,10491.0,5977227108,569774,43,10492.0
2020-05-17,10493.0,10530.0,10493.0,10501.0,17254503399,1643206,77,10501.0
2020-05-18,10510.0,10520.0,10503.0,10510.0,19190616300,1825951,69,10510.0
2020-05-19,10535.0,10535.0,10512.0,10517.0,32389597008,3079704,90,10530.0
2020-05-20,10523.0,10650.0,10517.0,10523.0,14016945744,1332001,61,10635.0
2020-05-23,0.0,10629.0,10532.0,10543.0,3108154655,294809,28,10600.0
2020-05-26,10557.0,10559.0,10547.0,10557.0,8364424431,792279,79,10559.0
2020-05-27,10553.0,10610.0,10553.0,10561.0,16025384533,1517378,95,10610.0
2020-05-30,10588.0,10620.0,10581.0,10590.0,14050385374,1326756,73,10588.0
2020-05-31,10594.0,10598.0,10593.0,10594.0,5021522570,473990,29,10594.0
2020-06-01,10597.0,10740.0,10597.0,10623.0,12927212695,1216855,55,10640.0
2020-06-02,10605.0,10679.0,10596.0,10630.0,12463228989,1172486,57,10650.0
2020-06-06,10641.0,10800.0,10620.0,10635.0,11564881538,1087463,64,10628.0
2020-06-07,10720.0,10720.0,10551.0,10631.0,25851522071,2431745,65,10634.0
2020-06-08,10639.0,10698.0,10632.0,10636.0,11074712693,1041239,53,10697.0
2020-06-09,10646.0,10646.0,10639.0,10646.0,5797970112,544636,30,10646.0
2020-06-10,10645.0,10699.0,10645.0,10652.0,10200001739,957549,54,10652.0
2020-06-13,10670.0,10800.0,10663.0,10670.0,10505494652,984605,39,10664.0
2020-06-14,10677.0,10677.0,10670.0,10677.0,4931046638,461852,39,10670.0
2020-06-15,10683.0,10700.0,10676.0,10682.0,8476729897,793559,51,10684.0
2020-06-16,10689.0,10689.0,10684.0,10688.0,478197369,44742,25,10688.0
