date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,256,1,220,1,182184,140000,315838,6346,35712552850,27440727199,61886283289,1266996760,196024.63910112853,195943.12048898486,196005.19427857143,199652.8143712575,-133654.0
2020-10-18,125,3,196,0,52525,102378,154903,0,11281939358,21977133762,33259073120,0,214791.80119942885,214709.0315875096,214666.56666471311,,-102378.0
2020-10-14,163,1,164,0,69562,42007,111569,0,15289417603,9303640405,24593058008,0,219795.5435870159,220429.13361238336,221478.33468231486,,-42007.0
2020-10-13,203,4,242,1,142110,306664,445702,3072,31479721003,68482580474,99284217897,678083580,221516.57872774612,222759.19313128502,223314.70428221114,220730.33203125,-303592.0
2020-10-12,206,1,262,3,161709,141000,298737,3972,36028645488,31445113309,66593488620,880270177,222799.2597072519,222916.77502284618,223014.9880070922,221618.87638469285,-137028.0
2020-10-11,313,2,345,2,297842,9475,290004,17313,67946629974,2149877000,66148796474,3947710500,228129.7801317477,228096.15203238575,226899.94722955144,228020.01386241554,7838.0
2020-10-10,237,1,231,0,225370,35000,260370,0,50053746587,7773603284,57827349871,0,222095.87162000267,222096.82325536737,222102.95097142857,,-35000.0
2020-10-07,275,4,257,1,160511,31629,181140,11000,36448615565,7134724915,41056277980,2527062500,227078.6149547383,226654.95186043944,225575.41860318062,229732.95454545456,-20629.0
2020-10-06,8,0,11,1,18978,0,3978,15000,4295809383,0,900809383,3395000000,226357.3286436927,226447.8086978381,,226333.33333333334,15000.0
2020-10-05,182,2,213,2,81959,35077,111966,5070,18163087940,7804004000,24831754940,1135337000,221611.8783782135,221779.42357501385,222482.08227613536,223932.34714003943,-30007.0
2020-10-04,252,1,288,3,140826,230071,338200,32697,31775767350,51534402644,75934986249,7375183745,225638.49963785097,224526.86649615612,223993.47437964802,225561.4810227238,-197374.0
2020-10-03,358,3,316,1,207149,42494,179643,70000,48260240610,9815208024,41681295013,16394153621,232973.56303916505,232022.92888116988,230978.67990775168,234202.1945857143,27506.0
2020-09-30,269,1,262,1,180973,35000,207685,8288,40678267243,7860000000,46680864043,1857403200,224775.33799517056,224767.62425307557,224571.42857142858,224107.52895752896,-26712.0
2020-09-29,401,1,301,1,491177,52596,269153,274620,110333437891,11434796837,59783506351,61984728377,224630.70927791815,222117.1837244987,217408.1077838619,225710.9037105819,222024.0
2020-09-28,172,1,396,1,78487,492854,550224,21117,17238901011,109114677510,121662222121,4691356400,219640.20807267446,221113.98652367035,221393.5110803605,222160.1742671781,-471737.0
2020-09-27,161,1,403,2,72527,439681,487361,24847,16639934164,101080373785,112027749949,5692558000,229430.8900685262,229866.0540112976,229894.7959657115,229104.43916770635,-414834.0
2020-09-26,343,1,358,2,287772,210817,471356,27233,68608071658,49585612693,111631727281,6561957070,238411.21324520803,236831.03064562666,235206.89836683,240956.0852642015,-183584.0
2020-09-23,610,1,461,2,684380,123465,585379,222466,165098156265,29473684241,140577158590,53994681916,241237.55262427306,240147.25261753498,238720.96740776737,242709.81595389856,99001.0
2020-09-22,473,1,369,3,678391,30479,402470,306400,161173602310,7113691000,95256800709,73030492601,237582.1647250627,236680.49968693318,233396.4697004495,238350.17167428197,275921.0
2020-09-21,316,4,362,1,202692,229178,430638,1232,46456353808,53098451700,99266317508,288488000,229196.7803761372,230509.88883470572,231690.87652392464,234162.33766233767,-227946.0
2020-09-20,327,1,759,3,209567,318502,505930,22139,50399066615,77198196241,122315996116,5281266740,240491.4257254243,241764.6633249659,242378.99994662515,238550.37445232394,-296363.0
2020-09-19,526,2,700,3,483997,118023,477408,124612,120688896343,29090485253,118548870951,31230510645,249358.76946138096,248317.7302244621,246481.4930394923,250622.01589734535,6589.0
2020-09-16,806,2,1103,3,667966,659770,1190477,137259,171392324976,167333272954,303307435658,35418162272,256588.39667887287,254778.07270363055,253623.64604938086,258038.90653436203,-522511.0
2020-09-15,1098,4,807,1,1129157,69967,817242,381882,287546037132,17678666594,207515345238,97709358488,254655.49709384967,253921.5376081993,252671.49647691054,255862.6970844397,311915.0
2020-09-14,1377,2,755,2,1862700,193346,1138527,917519,452770120836,46942648077,277299577058,222413191855,243071.94976968915,243559.9481241991,242790.8934087077,242407.17833091193,724173.0
2020-09-13,1164,1,694,1,1115592,129500,859217,385875,272047271938,31402247657,209945414332,93504105263,243859.109726495,244345.04244213045,242488.3988957529,242317.0852296728,256375.0
2020-09-12,2610,1,926,1,2603501,66,1024067,1579500,671695401116,16699980,266437247333,405274853763,257996.98218514223,260175.60114035508,253030.0,256584.26955555557,1579434.0
2020-09-09,662,1,587,1,497395,74840,422235,150000,119472377295,17507337607,100541109018,36438605884,240196.17667045307,238116.47309673522,233930.21922768574,242924.03922666667,75160.0
2020-09-08,281,2,626,2,175010,500300,663561,11749,38765538926,111205147120,147397651862,2573034184,221504.70787954974,222131.27634384783,222276.92808315012,219000.2710017874,-488551.0
2020-09-07,361,3,349,1,198615,149548,332147,16016,48531944024,36262387008,80801142270,3993188762,244351.8567278403,243269.22197099478,242479.9195442266,249324.97265234764,-133532.0
2020-09-06,957,2,516,1,833038,106409,644447,295000,218216527014,27670605402,168772098454,77115033962,261952.668442496,261886.70046411885,260040.08497401536,261406.89478644068,188591.0
2020-09-05,607,0,347,1,585015,0,285015,300000,148771114656,0,72741490010,76029624646,254303.07711084333,255219.86565619352,,253432.08215333332,300000.0
2020-09-02,201,2,351,0,145302,207748,353050,0,35384216071,50422147980,85806364051,0,243521.8790587879,243043.09319076617,242708.2233282631,,-207748.0
2020-09-01,550,2,386,1,403760,186146,456802,133104,102402898205,46656555022,114948351463,34111101764,253623.18754953437,251637.14577212883,250644.95085577987,256274.05460391875,-53042.0
2020-08-31,976,2,520,2,851922,10394,541316,321000,231977197637,2732759000,147813096167,86896860470,272298.63489497866,273062.4924572708,262916.97132961324,270706.73043613706,310606.0
2020-08-26,1142,3,285,1,985540,15263,310255,690548,262622914332,4061280260,83630367305,183053827287,266476.1595998133,269553.6487888995,266086.63172377646,265084.8706925514,675285.0
2020-08-25,708,0,163,1,668002,0,142098,525904,167801620714,0,35778341395,132023279319,251199.2789153326,251786.38260214782,,251040.64490667498,525904.0
2020-08-24,163,1,346,3,134141,150000,265040,19101,32254010396,36080457274,63563714878,4770752792,240448.560812876,239826.8747283429,240536.38182666668,249764.55641065913,-130899.0
2020-08-23,191,1,263,1,125102,109000,226629,7473,31187457872,27003688188,56303696810,1887449250,249296.23724640693,248439.9472706494,247740.25860550458,252569.1489361702,-101527.0
2020-08-22,306,1,259,1,178018,29000,180380,26638,46733888302,7476000000,47242655358,6967232944,262523.38697210397,261906.28316886572,257793.10344827586,261552.40423455214,-2362.0
2020-08-19,227,2,242,0,101566,79142,180708,0,25847947697,20197171210,46045118907,0,254494.09937380618,254803.98713393984,255201.67812286774,,-79142.0
2020-08-18,538,2,244,4,461610,18259,192737,287132,124628329192,4915149100,51979543093,77563935199,269986.1987218648,269691.5646347095,269190.4868831809,270133.3714075756,268873.0
