date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,15,3,31,4,622702,23438759,3860616,20200845,6760494172,254465597798,41926242160,219299849810,10856.708621459382,10859.987670361414,10856.61565093954,10855.974084747444,-3237914.0
2020-10-18,5,1,18,1,108876,3723201,1450077,2382000,1181316680,40398405149,15737403829,25842318000,10850.110951908593,10852.805629632081,10850.449693422408,10849.0,-1341201.0
2020-10-14,17,1,17,1,1293427,583093,1376520,500000,14044503671,6321894306,14931397977,5435000000,10858.365930972524,10847.20743396391,10842.0,10870.0,-83093.0
2020-10-13,19,2,8,1,470752,1788313,261015,1998050,5104698703,19388991423,2833534717,21660155409,10843.711132400924,10855.83095607532,10842.056968215296,10840.64733565226,209737.0
2020-10-12,11,2,11,0,54385,372054,426439,0,589429402,4032297360,4621726762,0,10838.087744782568,10837.955163575563,10837.935783515297,,-372054.0
2020-10-11,14,2,15,0,34362,2189363,2223725,0,372107960,23701088585,24073196545,0,10829.054187765554,10825.617621333573,10825.563684505492,,-2189363.0
2020-10-10,14,1,20,2,192822,2984578,2706398,471002,2087111136,32279833498,29272213328,5094731306,10824.03012104428,10815.930741893839,10815.543603819367,10816.793359688494,-2513576.0
2020-10-07,14,6,28,3,3279209,19414204,4372928,18320485,35385359445,209469971490,47197988027,197657342908,10790.821641743481,10793.223219545349,10789.521501370851,10788.870649876355,-1093719.0
2020-10-05,12,2,15,2,411622,1998000,2209622,200000,4437522482,21528614431,23809936913,2156200000,10780.576553245453,10775.570171278165,10775.082297797799,10781.0,-1798000.0
2020-10-04,13,2,23,1,2581307,1817319,2898626,1500000,27831853484,19589071804,31248425288,16172500000,10782.078026364163,10780.426756677129,10779.104716343141,10781.666666666666,-317319.0
2020-10-03,19,2,27,3,3004093,11233341,6137434,8100000,32359613942,121057050332,66146596432,87270067842,10771.841598112975,10777.565417729951,10776.584662746372,10774.08244962963,-3133341.0
2020-09-30,21,2,18,3,2811887,1496527,1105408,3203006,30260096605,16073637770,11898309078,34435425297,10761.49098630208,10763.726224163385,10740.626644223592,10750.97121173048,1706479.0
2020-09-29,15,2,23,4,907442,20070603,2571709,18406336,9759258457,215796954509,27650192390,197906020576,10754.69116152878,10751.680065668394,10751.8919341387,10752.059539497703,-1664267.0
2020-09-28,20,0,12,3,3130454,0,168878,2961576,33704916756,0,1817185430,31887731326,10766.782312086361,10760.34433141084,,10767.149425170923,2961576.0
