date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,1243,3,1005,10,2327001,2812322,4845270,294053,151451976960,182272207784,314623515539,19100669205,65084.62048791556,64934.15548338895,64811.99798031662,64956.552747293856,-2518269.0
2020-10-18,1520,4,769,1,2022655,347038,2293391,76302,141048373859,24151680110,159844060303,5355993666,69734.27196382971,69697.69232677725,69593.76238337012,70194.66941888811,-270736.0
2020-10-14,1110,2,755,5,2968059,106651,2999842,74868,217085590794,7810039830,219426719028,5468911596,73140.591475439,73146.09203684727,73229.8790447347,73047.38467703157,-31783.0
2020-10-13,1034,2,908,14,2109481,66002,2113582,61901,157353699126,4950269262,157679488530,4624479858,74593.56075072494,74602.96715717677,75001.80694524408,74707.6760957012,-4101.0
2020-10-12,1485,2,1181,32,3333309,265148,3269831,328626,249177821583,19797247224,244485741893,24489326914,74753.8921783129,74770.14619195915,74664.89365939023,74520.35722675626,63478.0
2020-10-11,1920,7,1914,6,6069464,1194070,6166211,1097323,465445654624,92155477990,472973382744,84627749870,76686.45116339762,76704.05419859944,77177.6177192292,77122.00497939075,-96747.0
2020-10-10,1478,1,1156,0,3235996,3328,3239324,0,240700622528,249034240,240949656768,0,74382.23734763578,74382.6973677224,74830.0,,-3328.0
2020-10-07,2373,5,1603,5,5060574,175865,4949356,287083,385827437883,13401029788,377294200989,21934266682,76241.8330179541,76230.96843084232,76200.66407755949,76403.92040629365,111218.0
2020-10-06,56,0,59,0,247790,0,247790,0,19264633158,0,19264633158,0,77745.8055530893,77745.8055530893,,,0.0
2020-10-05,1325,2,1061,3,3717954,45230,3609184,154000,273941955778,3354651002,265782805578,11513801202,73680.83515234455,73640.6915186369,74168.7154985629,74764.94287012987,108770.0
2020-10-04,2672,1,1309,3,7372535,500,6604506,768529,554533112657,36850000,496191419922,58378542735,75216.07054520596,75129.22539884134,73700.0,75961.40514541416,768029.0
2020-10-03,2586,3,1515,5,7686539,13564,6356943,1343160,603607248186,1067368000,498372795535,106301820651,78527.832641713,78398.18534396171,78691.24152167502,79143.08098141696,1329596.0
2020-09-30,2003,3,1257,7,7527042,157490,4943127,2741405,566195871521,11867636056,372213795061,205849712516,75221.56399831435,75299.25795169738,75354.85463204014,75089.12857312217,2583915.0
2020-09-29,1401,1,1556,4,5882682,272977,5941381,214278,430878341130,18928957853,434069160883,15738138100,73245.22065445659,73058.6307935815,69342.68401000818,73447.28856905515,-58699.0
2020-09-28,1182,3,1372,3,2464724,5140089,7485296,119517,172340555262,360482228279,524410871488,8411912053,69922.86165185229,70058.80214863915,70131.51489769924,70382.55689985525,-5020572.0
2020-09-27,1782,3,1109,2,3210267,1036086,4064732,181621,234987612490,75493756181,297233596145,13247772526,73198.77520779424,73125.01688795227,72864.37243723011,72941.85433402525,-854465.0
2020-09-26,1992,0,1234,5,4569639,0,4512967,56672,358282933296,0,353780624596,4502308700,78405.08479903992,78392.02560000993,,79445.02929136081,56672.0
2020-09-23,3028,2,1751,10,9004623,13400,8616236,401787,716547692548,1080099090,685564178731,32063612907,79575.53498330803,79566.55072249645,80604.40970149254,79802.51453382015,388387.0
