date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-11,37,0,1,0,96359,0,96359,0,2133002824,0,2133002824,0,22136.0,22136.0,,,0.0
2020-10-10,14,0,1,0,7782,0,7782,0,168783798,0,168783798,0,21689.0,21689.0,,,0.0
2020-10-07,13,0,1,0,15587,0,15587,0,345361159,0,345361159,0,22157.0,22157.0,,,0.0
2020-10-05,6,0,8,0,402116,0,402116,0,9036350752,0,9036350752,0,22472.0,22472.0,,,0.0
2020-10-04,7,0,1,0,11776,0,11776,0,264748032,0,264748032,0,22482.0,22482.0,,,0.0
2020-10-03,10,0,1,0,65684,0,65684,0,1451813452,0,1451813452,0,22103.0,22103.0,,,0.0
2020-09-30,6,0,1,0,2614,0,2614,0,58997980,0,58997980,0,22570.0,22570.0,,,0.0
2020-09-29,4,0,2,0,12056,0,12056,0,272224480,0,272224480,0,22580.0,22580.0,,,0.0
2020-09-28,1,0,1,0,250,0,250,0,5645000,0,5645000,0,22580.0,22580.0,,,0.0
2020-09-27,7,0,2,0,3633,0,3633,0,80358327,0,80358327,0,22119.0,22119.0,,,0.0
2020-09-26,6,0,1,0,4292,0,4292,0,96947696,0,96947696,0,22588.0,22588.0,,,0.0
2020-09-23,9,0,1,0,3594,0,3594,0,81192054,0,81192054,0,22591.0,22591.0,,,0.0
2020-09-22,11,0,1,0,9784,0,9784,0,221108616,0,221108616,0,22599.0,22599.0,,,0.0
2020-09-21,6,0,2,0,3429,0,3429,0,77498829,0,77498829,0,22601.0,22601.0,,,0.0
2020-09-05,52,0,18,0,498112,0,498112,0,11365919616,0,11365919616,0,22818.0,22818.0,,,0.0
2020-09-02,16,0,1,0,20286,0,20286,0,472968090,0,472968090,0,23315.0,23315.0,,,0.0
2020-09-01,44,0,2,0,55976,0,55976,0,1307823264,0,1307823264,0,23364.0,23364.0,,,0.0
