date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,58,1,97,1,332355,620000,771750,180605,4214660304,7974611797,9893831415,2295440686,12681.200234688811,12819.995354713314,12862.277091935484,12709.729442706459,-439395.0
2020-10-18,60,1,113,0,201736,845941,1047677,0,2612646157,10930964947,13543611104,0,12950.817687472736,12927.27730397823,12921.663504901642,,-845941.0
2020-10-14,105,2,115,0,970743,947657,1918400,0,12448848470,12279837545,24728686015,0,12824.041450723827,12890.265854357798,12958.103559621255,,-947657.0
2020-10-13,110,1,120,0,813080,193417,1006497,0,10717448998,2546220304,13263669302,0,13181.297040881585,13178.051501395434,13164.408009637209,,-193417.0
2020-10-12,126,2,129,1,1104998,26612,1044526,87084,14634416830,345956000,13848280830,1132092000,13243.84010649793,13257.95703505705,13000.0,13000.0,60472.0
2020-10-05,201,1,143,1,1157377,182893,1340109,161,18386254580,2916751086,21300508395,2497271,15886.141317824702,15894.608867636885,15947.855226826614,15511.0,-182732.0
2020-10-04,185,0,104,1,1047710,0,1040099,7611,16689268341,0,16566031851,123236490,15929.282283265407,15927.360617595055,,16191.891998423334,7611.0
2020-10-03,77,1,161,2,830864,1128758,1778622,181000,13356737612,18183217595,28621752207,2918203000,16075.720710007896,16092.093883354642,16109.04870220189,16122.668508287294,-947758.0
2020-09-30,118,2,127,1,906779,1070000,1936779,40000,14052073091,16640932265,30074181766,618823590,15496.690032521707,15527.936726905858,15552.273144859813,15470.58975,-1030000.0
2020-09-29,76,2,174,0,920752,1852046,2772798,0,13886006989,28087517458,41973524447,0,15081.158649668967,15137.60629046905,15165.669458533966,,-1852046.0
2020-09-28,68,1,156,1,617251,891505,1474703,34053,9324107862,13420433881,22234692363,509849380,15105.86108730484,15077.403628391616,15053.683244625661,14972.230934132089,-857452.0
2020-09-27,43,2,108,0,382705,973994,1356699,0,5657997025,14564213157,20222210182,0,14784.225513123685,14905.450790484845,14953.083034392408,,-973994.0
2020-09-26,74,1,131,2,925846,2118705,1800915,1243636,13789955406,31834232790,27072646075,18551542121,14894.437526327272,15032.717299261763,15025.325748511474,14917.180043839195,-875069.0
2020-09-23,95,3,181,2,889406,1067931,1936337,21000,13150156995,16134109456,28963804611,320461840,14785.325256407084,14958.039128003029,15107.820126955769,15260.08761904762,-1046931.0
2020-09-22,83,2,236,0,1590882,2482094,4072976,0,23079388393,36651324515,59730712908,0,14507.2911711868,14665.127638365657,14766.291895069244,,-2482094.0
2020-09-21,37,0,12,0,168376,0,168376,0,2421270620,0,2421270620,0,14380.140993965886,14380.140993965886,,,0.0
2020-09-20,80,1,169,2,1137144,1044100,1552932,628312,16825008426,15809772423,23300313373,9334467476,14795.846810957979,15004.07833247045,15142.009791207738,14856.420816409682,-415788.0
2020-09-19,81,2,253,1,718975,1104000,1601423,221552,10924222115,17184271913,24694624126,3413869902,15194.161292117251,15420.42553778733,15565.463689311595,15408.887764497726,-882448.0
2020-09-16,108,1,235,0,826446,450000,1276446,0,12951306999,7169284006,20120591005,0,15671.086796959511,15762.978617975223,15931.742235555555,,-450000.0
2020-09-15,206,1,223,1,866174,1428787,2279061,15900,13430157898,22404657667,35589955565,244860000,15505.1501176438,15616.060985203994,15680.894119977296,15400.0,-1412887.0
2020-09-14,123,3,219,2,525466,1850389,1828064,547791,8010941762,28569378818,28178323492,8401997088,15245.40457803169,15414.298127417858,15439.660967504671,15337.961171322639,-1302598.0
2020-09-13,111,2,205,1,971862,2980886,2063146,1889602,14585053155,45296308470,31372919889,28508441736,15007.329389357748,15206.349860358889,15195.585631251917,15087.00865896628,-1091284.0
2020-09-12,129,3,208,1,934589,1718049,1981686,670952,13853708736,25971016450,29782489075,10042236111,14823.316704990108,15028.863843716916,15116.574934707916,14967.145356150664,-1047097.0
