date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,660,1,588,1,11807637,500000,12150637,157000,121861663450,5135453170,125392395430,1604721190,10320.580099981054,10319.820716395363,10270.90634,10221.15407643312,-343000.0
2020-10-18,937,2,552,0,11593565,530000,12123565,0,123857958080,5624250000,129482208080,0,10683.336668229314,10680.209004529608,10611.792452830188,,-530000.0
2020-10-14,637,2,702,0,8891336,607000,9498336,0,100217309400,6867960000,107085269400,0,11271.344306412444,11274.10837013978,11314.596375617792,,-607000.0
2020-10-13,666,1,827,1,11713416,320000,11853416,180000,135952684320,3704709800,137562569580,2094824540,11606.578671840905,11605.310197499184,11577.218125,11637.914111111111,-140000.0
2020-10-12,602,3,1015,0,16116931,616660,16733591,0,189910377810,7267951060,197178328870,0,11783.284163095319,11783.384024983041,11785.993999935134,,-616660.0
2020-10-11,1007,1,1656,6,34674300,375950,34189850,860400,417728587840,4483322000,411783577840,10428332000,12047.210407708302,12044.029963278575,11925.314536507514,12120.330079033009,484450.0
2020-10-10,711,2,1112,2,16737353,370000,16777353,330000,197890725340,4355150330,198331052490,3914823180,11823.298782071453,11821.355400342354,11770.676567567567,11863.100545454545,-40000.0
2020-10-07,940,2,1324,4,18126337,700000,18499443,326894,216648760710,8319364250,221060429740,3907695220,11952.153416876228,11949.572197389944,11884.806071428571,11954.013288711325,-373106.0
2020-10-06,901,0,1271,4,26623795,0,25258795,1365000,319206101390,0,302817588350,16388513040,11989.504178123367,11988.599945088434,,12006.236659340659,1365000.0
2020-10-05,640,1,1079,3,15063601,150000,14751601,462000,174596048230,1694756780,170894119620,5396685390,11590.59166729124,11584.78456812925,11298.378533333333,11681.137207792208,312000.0
2020-10-03,1209,0,1290,2,22550700,0,21949575,601125,270980280250,0,263724022060,7256258190,12016.490851725224,12014.994461623972,,12071.130280723642,601125.0
2020-09-30,855,0,975,3,14537260,0,13727260,810000,166179924050,0,156873379270,9306544780,11431.30989264827,11427.872661405116,,11489.561456790123,810000.0
