date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,31,2,14,1,1029834,5700000,1146302,5583532,10370683600,57456000000,11545681040,56281002560,10070.247826348712,10072.111049269739,10080.0,10079.820901895073,-116468.0
2020-10-18,10,1,15,1,512070,182452,691312,3210,5151256300,1833642600,6952574200,32324700,10059.672115140507,10057.071481472909,10050.0,10070.0,-179242.0
2020-10-14,23,0,13,1,1288923,0,125267,1163656,12965582840,0,1259203480,11706379360,10059.237704657298,10052.15643385728,,10060.0,1163656.0
2020-10-13,20,2,10,1,956623,32015540,340163,32632000,9605744920,321435866200,3416086120,327625525000,10041.306679851938,10042.497626138058,10039.995146107172,10040.007507967639,616460.0
2020-10-12,19,1,11,1,812854,45773,335694,522933,8153026950,458645460,3366425090,5245247320,10030.124659532954,10028.255166907958,10020.0,10030.43854566455,477160.0
2020-10-11,16,1,17,1,80849,1341852,1352017,70684,810813820,13445357040,13547210340,708960520,10028.74271790622,10020.0,10020.0,10030.0,-1271168.0
2020-10-10,22,0,16,1,353843,0,234897,118946,3546666420,0,2353638040,1193028380,10023.277046599764,10019.872710166585,,10030.0,118946.0
2020-10-07,31,2,10,1,976048,706825,617230,1065643,9777316570,7089250000,6181419000,10685147570,10017.249735668738,10014.774071253827,10029.710324337708,10026.948584094298,358818.0
2020-10-06,10,0,9,0,27470,0,27470,0,279429180,0,279429180,0,10172.15799053513,10172.15799053513,,,0.0
2020-10-05,10,1,5,4,317425,1900000,4500,2212925,3224796870,19285000000,45680000,22464116870,10159.240355989605,10151.111111111111,10150.0,10151.323189895726,312925.0
2020-10-03,15,1,14,2,248723,858879,595183,512419,2526826780,8717621850,6041112540,5203336090,10159.200315210093,10150.008551991572,10150.0,10154.455806673835,-346460.0
2020-09-30,18,1,9,1,350745,595690,906345,40090,3555924300,6034339700,9184078820,406185180,10138.203823290425,10133.093711555754,10130.0,10131.832876028935,-555600.0
2020-09-29,14,0,13,1,641165,0,125260,515905,6496527470,0,1269919460,5226608010,10132.380073771961,10138.268082388631,,10130.950485069925,515905.0
2020-09-28,17,0,7,3,976278,0,132743,843535,9891304260,0,1345369710,8545934550,10131.647194753954,10135.146184732905,,10131.096575720036,843535.0
2020-09-27,16,0,18,1,289013,0,288630,383,2924934890,0,2921055100,3879790,10120.426728209457,10120.41402487614,,10130.0,383.0
2020-09-26,16,1,18,0,239523,250430,489953,0,2422622760,2531847300,4954470060,0,10114.363798048622,10112.133327074229,10110.0,,-250430.0
2020-09-23,19,0,15,0,246127,0,246127,0,2492692150,0,2492692150,0,10127.666407992621,10127.666407992621,,,0.0
2020-09-22,15,1,20,1,97354,4541,87484,14411,982992020,45773280,883214200,145551100,10097.089179694722,10095.722646426775,10080.0,10100.0,9870.0
2020-09-21,22,3,11,1,337840,18603298,740137,18201001,3413285460,187705452740,7470638110,183648100090,10103.260300734075,10093.588227584893,10089.901948568475,10090.0,-402297.0
2020-09-19,13,1,18,1,137135,123066,149801,110400,1382100900,1239274620,1508543520,1112832000,10078.39647063113,10070.316753559722,10070.0,10080.0,-12666.0
2020-09-16,9,2,16,0,84279,153461,237740,0,847419520,1543797660,2391217180,0,10054.930884324684,10058.118869353075,10059.869673728179,,-153461.0
2020-09-15,13,1,17,1,137526,161205,265173,33558,1382482130,1620110250,2664998900,337593480,10052.514651774936,10050.038654010777,10050.0,10060.0,-127647.0
2020-09-14,23,1,19,1,295467,103589,344406,54650,2968669530,1040033560,3458924090,549779000,10047.381027322848,10043.15862673705,10040.0,10060.0,-48939.0
2020-09-13,41,2,22,2,950320,20040090,86627,20903783,9551210310,201402503600,870556760,210083157150,10050.520151106995,10049.485264409479,10049.979995099822,10050.00660167588,863693.0
2020-09-12,30,1,19,2,1029140,18618510,493227,19154423,10357421000,186743655300,4979669380,192121406920,10064.151621742425,10096.100537886206,10030.0,10030.132827284851,535913.0
2020-09-09,24,1,15,2,401564,406363,437773,370154,4024473620,4071238760,4384897200,3710815180,10021.9980376727,10016.371955328446,10018.724047218866,10025.057624664329,-36209.0
2020-09-08,30,2,16,1,1246518,782744,212206,1817056,12495242630,7842894880,2129653250,18208484260,10024.117285109402,10035.78244724466,10019.744488619523,10020.87126648821,1034312.0
2020-09-07,31,0,26,0,275851,0,275851,0,2767533170,0,2767533170,0,10032.710303750939,10032.710303750939,,,0.0
2020-09-06,20,1,10,1,96673,37256,133788,141,968755610,373032560,1340365480,1422690,10020.953213410156,10018.577749872933,10012.684131415073,10090.0,-37115.0
2020-09-05,21,1,14,1,598585,200000,240760,557825,6098419840,2036000000,2455491340,5678928500,10188.05990794958,10198.917345073933,10180.0,10180.484022766997,357825.0
2020-09-02,20,0,19,1,687425,0,387425,300000,6981513700,0,3933513700,3048000000,10156.036949485399,10152.968187391109,,10160.0,300000.0
2020-09-01,20,1,14,1,990971,100000,584971,506000,10060430920,1014000000,5933459930,5140970990,10152.094178336198,10143.169370789321,10140.0,10160.021719367589,406000.0
2020-08-31,32,2,22,1,1131598,209000,338098,1002500,11484927840,2121170000,3430722840,10175375000,10149.300228526385,10147.125507988809,10149.13875598086,10150.0,793500.0
2020-08-26,40,1,22,1,848032,232642,502199,578475,8588967910,2352010620,5080981780,5859996750,10128.117700747141,10117.466940396138,10110.0,10130.077790742902,345833.0
2020-08-25,24,1,12,1,804321,25984,452834,377471,8137084440,262438400,4579516320,3820006520,10116.712655768033,10113.01342213703,10100.0,10120.0,351487.0
2020-08-24,19,1,12,1,1004083,167699,254542,917240,10150958500,1693759900,2571422000,9273296400,10109.680673808838,10102.15210063565,10100.0,10110.0,749541.0
2020-08-23,20,1,11,2,450352,950046,186194,1214204,4550509460,9577568620,1880790320,12247287760,10104.339405620492,10101.240211822078,10081.163038421297,10086.680458967356,264158.0
2020-08-22,13,1,11,1,234100,1130653,1261133,103620,2356258200,11393651420,12704383820,1045525800,10065.178129004698,10073.785889355047,10077.054074061627,10090.0,-1027033.0
2020-08-19,5,1,6,1,278800,184000,362800,100000,2812399000,1852880000,3656279000,1009000000,10087.514347202296,10077.946527012127,10070.0,10090.0,-84000.0
2020-08-18,2,2,12,0,2509,363425,365934,0,25260390,3657740890,3683001280,0,10067.91151853328,10064.6599660048,10064.63751805737,,-363425.0
2020-08-17,6,1,9,0,15484,221465,236949,0,155666040,2225723250,2381389290,0,10053.347972100233,10050.218781256726,10050.0,,-221465.0
