date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,7,2,11,2,69760,2700000,2269250,500510,829455510,32120000000,27002792320,5946663190,11890.13059059633,11899.434755976645,11896.296296296296,11881.207548300734,-2199490.0
2020-10-18,4,0,9,1,412315,0,48188,364127,4897820320,0,571991560,4325828760,11878.83128190825,11870.0,,11880.0,364127.0
2020-10-14,10,0,7,1,282873,0,15804,267069,3363076290,0,187625880,3175450410,11888.99714712963,11872.050113895217,,11890.0,267069.0
2020-10-13,6,1,14,1,51777,57875,86210,23442,614827410,686397500,1022733950,278490960,11874.527492902254,11863.286741677299,11860.0,11880.0,-34433.0
2020-10-12,9,1,22,0,14025,199457,213482,0,166510670,2365560020,2532070690,0,11872.41853832442,11860.815853327213,11860.0,,-199457.0
2020-10-11,4,1,14,1,15190,162244,162244,15190,180153400,1920968960,1920968960,180153400,11860.0,11840.0,11840.0,11860.0,-147054.0
2020-10-10,14,1,8,1,64073,8600,33649,39024,760076610,101824000,398685730,463214880,11862.666177641127,11848.367856399893,11840.0,11870.0,30424.0
2020-10-07,10,1,14,1,29690,114435,139740,4385,353881130,1353766050,1655641080,52006100,11919.202761872684,11848.011163589523,11830.0,11860.0,-110050.0
2020-10-06,19,1,9,0,86757,59620,146377,0,1025513350,704112200,1729625550,0,11820.525721267448,11816.238548405829,11810.0,,-59620.0
2020-10-05,18,1,11,2,176143,184258,157174,203227,2080371720,2170559240,1854674640,2396256320,11810.697671778044,11800.136409329787,11780.0,11791.033278058525,18969.0
2020-10-03,14,1,16,1,69465,385001,89466,365000,819465620,4527611760,1054677380,4292400000,11796.813071330886,11788.58314890573,11760.0,11760.0,-20001.0
2020-09-30,14,1,4,4,70832,772377,149059,694150,831423690,9059982210,1748489100,8142916800,11737.967161734809,11730.181337591155,11730.0,11730.774040193042,-78227.0
2020-09-29,6,1,14,4,86339,379738,63488,402589,1013472360,4450529360,744173860,4719827860,11738.291617924691,11721.488470262097,11720.0,11723.68807890926,22851.0
2020-09-28,10,1,19,1,44465,99942,111556,32851,521902960,1171320240,1307552460,385670740,11737.388058023163,11721.041091469755,11720.0,11740.0,-67091.0
2020-09-27,14,1,23,1,81620,90884,80603,91901,955112880,1064842800,943932200,1076023480,11701.946581720167,11710.881728967905,11716.50455525725,11708.506762712048,1017.0
2020-09-26,26,0,15,1,80260,0,29312,50948,950922510,0,352156510,598766000,11848.025292798406,12014.073075873363,,11752.492737693334,50948.0
2020-09-23,12,0,9,0,23840,0,23840,0,279874700,0,279874700,0,11739.710570469799,11739.710570469799,,,0.0
2020-09-22,17,1,11,2,57005,15006392,11035,15052362,667622840,175574786400,129175480,176113233760,11711.654065432856,11705.979157227004,11700.0,11700.039751900731,45970.0
2020-09-21,22,1,9,2,1431670,19864292,34503,21261459,16791614100,232605720400,403960310,248993374190,11728.690340651128,11707.976407848593,11709.741298607572,11711.020122842934,1397167.0
2020-09-19,12,1,29,2,157873,1543289,578949,1122213,1846712950,18041209010,6768256740,13119665220,11697.45903352695,11690.592331967064,11690.104063464458,11690.886863723732,-421076.0
2020-09-16,9,1,23,2,115010,857425,858797,113638,1346560270,10026310530,10042999490,1329871310,11708.201634640465,11694.264756397612,11693.513170248127,11702.699009134269,-743787.0
2020-09-15,11,2,20,0,65740,2281500,2347240,0,768485500,26667503120,27435988620,0,11689.770307271068,11688.616681719806,11688.583440718825,,-2281500.0
2020-09-14,10,1,20,2,59288,1636362,595650,1100000,692841020,19116580200,6954276780,12855144440,11686.024490622049,11675.105817174515,11682.366249032915,11686.494945454546,-536362.0
2020-09-13,5,2,17,2,261935,542063,329998,474000,3059369100,6317173950,3844509700,5532033350,11679.878977608949,11650.100000606064,11653.947880596905,11670.956434599157,-68063.0
2020-09-12,15,1,26,0,98857,939463,1038320,0,1150403370,10952732620,12103135990,0,11637.045125787754,11656.460426458125,11658.50344292431,,-939463.0
2020-09-09,14,2,12,0,530013,1930800,2460813,0,6129135700,22342712000,28471847700,0,11564.123332823912,11570.098052960546,11571.738139631241,,-1930800.0
2020-09-08,6,1,13,1,362567,4883822,246389,5000000,4224254660,56847688080,2870770960,58201171780,11650.962884101422,11651.37631955972,11640.0,11640.234356,116178.0
2020-09-07,12,1,13,1,24408,25570,40508,9470,285078400,298146200,472520300,110704300,11679.711569977057,11664.863730621111,11660.0,11690.0,-16100.0
2020-09-06,17,1,18,1,1351045,1611042,673129,2288958,15830236300,18849191400,7877388900,26802038800,11717.031112953306,11702.643772590394,11700.0,11709.275050044605,677916.0
2020-09-05,10,0,8,1,19491,0,8991,10500,227471620,0,104841120,122630500,11670.597711764403,11660.674007340675,,11679.095238095239,10500.0
2020-09-02,8,1,11,0,97643,51872,149515,0,1136610530,603271360,1739881890,0,11640.471206333275,11636.838377420325,11630.0,,-51872.0
2020-09-01,6,1,29,1,340926,87380,362025,66281,3977853360,1017928200,4222282290,773499270,11667.791133559775,11662.957779158898,11649.441519798582,11670.0,-21099.0
2020-08-31,11,1,16,1,199200,118092,140067,177225,2326410940,1375250410,1631673350,2069988000,11678.769779116466,11649.234651987977,11645.584882972598,11680.0,59133.0
2020-08-26,25,1,20,2,275905,82076,50846,307135,3214747330,954543880,591644010,3577647200,11651.645783874885,11635.9990953074,11630.0,11648.451658065671,225059.0
2020-08-25,19,1,9,2,35721,218834,115346,139209,415330510,2538665330,1339198590,1614797250,11627.068391142466,11610.27335148163,11600.87248782182,11599.804969506282,-79625.0
2020-08-24,19,1,26,1,672109,2303921,976030,2000000,7313455190,26501519450,11299641730,22515332910,10881.35286091988,11577.145917645974,11502.790004518383,11257.666455,-303921.0
2020-08-23,9,2,16,1,109329,400139,402093,107375,1269460140,4624157270,4646785910,1246831500,11611.376121614576,11556.49541275277,11556.377333876479,11611.934807916181,-292764.0
2020-08-22,18,0,5,1,89510,0,5027,84483,1041878330,0,58496210,983382120,11639.798123114735,11636.40541078178,,11640.0,84483.0
2020-08-19,23,1,20,1,1396036,1000,176198,1220838,16259324950,11610000,2060210100,14210724850,11646.780562965425,11692.585046368291,11610.0,11640.13968274251,1219838.0
2020-08-18,16,2,16,1,926880,10141108,169063,10898925,10789240350,118039263880,1965010660,126863493570,11640.38532496116,11622.949196453394,11639.681174877538,11640.000602811746,757817.0
2020-08-17,5,1,7,1,59578,2933,6873,55638,693414120,34052130,79839930,647626320,11638.761287723657,11616.460061108686,11610.0,11640.0,52705.0
2020-08-16,11,1,20,0,47647,56999,104646,0,555072180,664038350,1219110530,0,11649.677419354839,11649.853123865221,11650.0,,-56999.0
2020-08-15,7,1,11,0,13533,113174,126707,0,157728390,1318477100,1476205490,0,11655.094214143206,11650.544089908213,11650.0,,-113174.0
2020-08-12,6,1,12,1,106474,3654,15036,95092,1243503370,42569100,175397910,1110674560,11678.939177639611,11665.197525937749,11650.0,11680.0,91438.0
2020-08-11,12,0,17,1,83022,0,76322,6700,969517810,0,891194810,78323000,11677.842138228421,11676.774848667488,,11690.0,6700.0
2020-08-10,20,2,18,1,106939,2057740,139515,2025164,1249907810,24033248400,1628769050,23654387160,11688.0446796772,11674.508475791134,11679.438801792257,11680.232889780778,-32576.0
2020-08-09,19,2,30,1,67688,106445,155530,18603,789985860,1240679600,1813382420,217283040,11670.988358350076,11659.373882852184,11655.593029263939,11680.0,-87842.0
2020-08-05,26,1,29,2,99376,2421920,258302,2262994,1148401850,28161770930,3000982560,26309190220,11556.128743358557,11618.115848890058,11627.870008092752,11625.8329540423,-158926.0
2020-08-04,28,1,19,2,68069,631326,507945,191450,791797560,7336008120,5903113180,2224692500,11632.278423364527,11621.559775172509,11620.0,11620.227213371638,-439876.0
2020-08-03,44,1,12,2,115178,308291,66878,356591,1339424960,3579258510,776964230,4141719240,11629.173626907916,11617.635545321331,11610.0,11614.76100069828,48300.0
2020-08-02,19,2,34,1,63299,30078108,424872,29716535,742539110,350105797900,4947869610,345900467400,11730.660989905055,11645.55350788002,11639.887651842995,11640.0,-361573.0
2020-08-01,38,0,9,1,268200,0,32062,236138,3114752210,0,372467270,2742284940,11613.542915734526,11617.094067743747,,11613.060752610761,236138.0
2020-07-29,28,1,16,0,58185,14459,72644,0,676478790,167001450,843480240,0,11626.343387470997,11611.14806453389,11550.0,,-14459.0
2020-07-28,24,2,25,3,424361,3939071,377461,3985971,4899710590,45411686060,4357652450,45953744200,11546.090686938714,11544.642890258861,11528.526919164442,11528.870681698387,46900.0
2020-07-27,17,3,24,2,186054,5920000,395911,5710143,2147382690,68313800000,4566230900,65894951790,11541.717404624464,11533.478231218633,11539.493243243243,11539.982762253065,-209857.0
