date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,223,5,476,3,530639,539940,1061129,9450,37840915190,38367696280,75531885650,676725820,71311.97516579067,71180.68175499869,71059.18487239323,71611.19788359788,-530490.0
2020-10-18,642,4,551,4,699245,366974,1047538,18681,50803925020,26685050080,76135321580,1353653520,72655.39978119257,72680.2479528189,72716.45969469227,72461.5127669825,-348293.0
2020-10-14,798,3,354,3,648589,109713,662611,95691,47461915020,8104768100,48557446060,7009237060,73177.18157415559,73281.98001542383,73872.44993756438,73248.65515043213,-14022.0
2020-10-13,372,5,660,5,585570,905926,1431134,60362,43365417410,67327812410,106203493160,4489736660,74056.76078009461,74209.3285185035,74319.32896285127,74380.18389052716,-845564.0
2020-10-12,536,2,614,11,1000114,266524,1055681,210957,72958858480,19731199490,77344934080,15345123890,72950.54211819853,73265.44105653129,74031.60499617296,72740.5295391952,-55567.0
2020-10-11,828,8,761,3,1615689,753579,1777266,592002,120472436690,56759081240,132497118540,44734399390,74564.12508224045,74551.09057394898,75319.35104348714,75564.60854861977,-161577.0
2020-10-10,798,3,560,1,1700174,376140,2055314,21000,127377974870,28133150380,153930701870,1580423380,74920.55217289524,74894.00737308266,74794.3594938055,75258.2561904762,-355140.0
2020-10-07,636,5,570,5,852230,632896,1210472,274654,66525688640,49487207950,94525233880,21487662710,78060.72144843529,78089.56661533682,78191.69018290525,78235.3896538918,-358242.0
2020-10-06,473,4,642,7,672321,400677,766075,306923,52564719190,31433261560,59925922920,24072057830,78183.96151540708,78224.61628430636,78450.37663754096,78430.28326322889,-93754.0
2020-10-05,303,3,621,7,794882,988602,1190519,592965,61689088480,76859041560,92405425370,46142704670,77607.8568642893,77617.76617592831,77745.18113457185,77816.91106557722,-395637.0
2020-10-03,686,4,772,7,1082101,565000,1218664,428437,84790352160,44596246710,95653540260,33733058610,78357.15165220252,78490.4947220891,78931.41010619469,78735.16668728425,-136563.0
2020-09-30,810,6,573,2,1309582,370705,1404246,276041,99964205250,28811334850,107213497960,21562042140,76332.91023395251,76349.51280616074,77720.38372830147,78111.73753174348,-94664.0
2020-09-29,878,6,969,2,1488552,419927,1639152,269327,113825823460,32326306410,125201652680,20950477190,76467.482130285,76381.96621179732,76980.77620634063,77788.2543896453,-150600.0
2020-09-28,988,4,899,3,1096504,314408,1393030,17882,81793982460,23387803600,103842511600,1339274460,74595.24311812816,74544.34692720186,74386.79550138673,74895.11575886366,-296526.0
2020-09-27,695,3,862,3,2795589,125700,2477910,443379,210841001740,9436271600,186999014490,33278258850,75419.16989228388,75466.4271462644,75069.78202068417,75056.01043351174,317679.0
2020-09-26,691,4,1014,12,3991844,420131,2239339,2172636,315356777520,33135674070,176789028510,171703423080,79000.27594264706,78946.96984690572,78869.86218584204,79030.0,1752505.0
2020-09-23,283,4,623,4,1383497,281697,788559,876635,104135819190,21203333190,59354835930,65984316450,75270.0,75270.0,75270.0,75270.0,594938.0
2020-09-22,280,3,983,4,1666338,205000,1456764,414574,119504190740,14656131650,104721390220,29438932170,71716.65696875424,71886.31118012252,71493.32512195122,71010.07822487662,209574.0
2020-09-21,542,6,707,5,2123507,411531,1216103,1318935,147281145680,28492375870,84725010530,91048511020,69357.50420413024,69669.27187088593,69235.06581521197,69031.84085644857,907404.0
2020-09-20,727,6,2208,10,2943171,794758,3527857,210072,211851514480,58372440920,255387179520,14836775880,71980.7019299932,72391.59056617091,73446.81138157779,70627.09870901406,-584686.0
2020-09-19,1268,8,1445,3,1592377,747299,2334584,5092,111334213480,52795425070,163763031110,366607440,69916.99420426194,70146.55763510759,70648.32827288676,71996.74783974863,-742207.0
2020-09-16,1141,6,1056,12,2071260,821759,2506371,386648,151534920300,61080770920,184777053700,27838637520,73160.7428811448,73722.94592460574,74329.2996121734,71999.9522045892,-435111.0
2020-09-15,1326,6,1123,50,2769467,477624,2743806,503285,209599320160,36296484890,207764692400,38131112650,75682.18728007952,75721.34924991052,75993.84639381606,75764.4528448096,25661.0
2020-09-14,164,3,56,2,405925,600000,901019,104906,29631944060,43800000000,65773907600,7658036460,72998.5688489253,72999.4679357483,73000.0,72999.03208586735,-495094.0
2020-09-01,48,3,125,0,120412,296276,416688,0,8786534740,21527626750,30314161490,0,72970.59047271036,72750.26276254655,72660.71754040151,,-296276.0
2020-08-31,978,33,1189,6,2680610,2123863,4502891,301582,194489601640,154664724630,327533411610,21620914660,72554.23267092192,72738.47215266814,72822.36407433059,71691.66150499698,-1822281.0
