date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-09-12,1927,6,997,11,10360679,10609149,18986657,1983171,154107630490,157622338000,283232184320,28497784170,14874.279040012725,14917.433033103194,14857.208433965816,14369.806824524965,-8625978.0
2020-09-09,1013,4,925,47,16298367,17863000,19542437,14618930,238872796980,261700660610,286697971690,213875485900,14656.241142440835,14670.533244651115,14650.431652577954,14630.03693840794,-3244070.0
2020-09-08,63,0,2,0,148590,0,148590,0,2178329400,0,2178329400,0,14660.0,14660.0,,,0.0
2020-09-07,123,1,4,1,335480,200000,135480,400000,4961749200,2958000000,2003749200,5916000000,14790.0,14790.0,14790.0,14790.0,200000.0
2020-09-06,747,3,826,11,6223208,10100000,8902839,7420369,98341082240,155726021800,139588710280,114478393760,15802.31325065786,15679.123286403359,15418.418,15427.587733170682,-2679631.0
2020-09-05,942,2,966,9,7898740,250900,7916192,233448,127778445460,4060699110,128105980450,3733164120,16177.066906873755,16182.778342162494,16184.532124352332,15991.416161200781,-17452.0
2020-09-02,557,7,669,574,4121112,19844901,12196002,11770011,66080898670,318118212040,195524696700,188674414010,16034.725256192989,16031.868205662806,16030.224189075068,16030.096659212977,-8074890.0
2020-09-01,569,3,1003,6,4383618,12819109,13159932,4042795,72993801930,217171928660,220946504790,69219225800,16651.49698947308,16789.334837748404,16941.26547016645,17121.626449028456,-8776314.0
2020-08-31,1631,2,945,5,20110329,5978931,13557827,12531433,350359438880,102631742220,236865056280,216126124820,17421.865096289574,17470.724200861983,17165.567259431493,17246.72069187937,6552502.0
2020-08-26,73,0,200,15,2721041,0,703495,2017546,47536586270,0,12290057650,35246528620,17470.0,17470.0,,17470.0,2017546.0
2020-08-25,211,2,426,5,2411803,1253624,3521201,144226,40027293620,20972728060,58600395330,2399626350,16596.419201734137,16642.161390389247,16729.679760438536,16637.95952186152,-1109398.0
2020-08-24,463,6,1317,6,5414837,36900000,38595336,3719501,87005070190,591229000000,618647664170,59586406020,16067.901986708002,16029.078336563776,16022.466124661247,16020.0,-33180499.0
2020-08-23,365,3,880,2,2184446,13400298,15414744,170000,36848240710,225929030240,259911070950,2866200000,16868.46033731207,16861.199313462486,16860.00044476623,16860.0,-13230298.0
2020-08-22,785,7,913,4,4245711,8762004,11900019,1107696,75587373770,155206772560,211242991770,19551154560,17803.231018314716,17751.48357074052,17713.61580752531,17650.289032369892,-7654308.0
2020-08-19,508,4,139,1,1545596,1840485,3312228,73853,28713375580,34177806450,61519731820,1371450210,18577.54263080391,18573.519642971438,18570.0,18570.0,-1766632.0
2020-08-18,1111,7,708,11,4694218,3492206,7904416,282008,92054453190,67934772300,154459906840,5529318650,19610.178562222718,19540.96379036731,19453.254561729747,19606.956717539928,-3210198.0
2020-08-17,1428,10,1487,4,15315692,14681970,15790581,14207081,292452587160,283522676010,303933273100,272041990070,19094.963985956365,19247.757451103287,19310.942333351722,19148.33807662531,-474889.0
2020-08-16,582,4,535,3,1471115,15723975,12778171,4416919,29304610800,313221582000,254541166320,87985026480,19920.0,19920.0,19920.0,19920.0,-11307056.0
2020-08-15,844,1,252,1,4260076,1000000,5160076,100000,89401237690,20850000000,108166237690,2085000000,20985.831635398055,20962.14042002482,20850.0,20850.0,-900000.0
2020-08-12,2998,2,1230,11,16754253,3551000,18336363,1968890,366490534850,78963690530,402068858980,43385366400,21874.477772897426,21927.405068278807,22237.02915516756,22035.44453981685,-1582110.0
2020-08-11,3603,2,2960,16,36961610,5476553,37404996,5033167,783718792120,116851083410,792843996860,107725878670,21203.589132616245,21196.205898805605,21336.611443365928,21403.1997487864,-443386.0
2020-08-10,1477,8,1473,5,11135205,29061539,39798613,398131,231195255890,601885387590,824835350470,8245293010,20762.550477517027,20725.22855180908,20710.719676270415,20710.0,-28663408.0
2020-08-09,2797,41,2807,3,23681239,31759213,53690452,1750000,517204122650,691577719750,1170683255510,38098586890,21840.247575306345,21804.30992665139,21775.656712589192,21770.62108,-30009213.0
2020-08-05,1982,13,2248,7,16910061,20022782,30424804,6508039,386669983910,459327622880,696696817050,149300789740,22866.267833687885,22898.974700050658,22940.249905332836,22940.979570036383,-13514743.0
2020-08-04,2249,123,1863,5,40345777,8421264,26266810,22500231,914172604200,190803597060,595121969110,509854232150,22658.44586906828,22656.80412315009,22657.358451177875,22659.955453346236,14078967.0
2020-08-03,2145,88,3425,6,30462806,8298574,38717194,44186,657465633060,179395955060,835910167440,951420680,21582.569677264793,21590.153652147415,21617.684563637078,21532.17489702621,-8254388.0
2020-08-02,3094,69,1573,14,38004972,15364217,37990032,15379157,836005785340,336988519390,831814317810,341179986920,21997.2740761393,21895.59402871785,21933.3350596389,22184.570124357273,14940.0
2020-08-01,1160,3,589,4,14709138,8638035,8808106,14539067,311098268700,182694440250,186291441900,307501267050,21150.0,21150.0,21150.0,21150.0,5901032.0
2020-07-29,2653,77,1804,14,45705774,5932795,34248823,17389746,921599201380,119140807260,689894945670,350845062970,20163.73689197343,20143.610356186546,20081.733358391786,20175.398937396785,11456951.0
2020-07-28,2577,291,1140,7,53874328,14108431,16029938,51952821,1035975016610,271299206050,308223474830,999050747830,19229.47450240122,19227.98920557272,19229.580245315727,19229.961503534138,37844390.0
2020-07-27,2412,42,2023,12,51696616,18389080,31475804,38609892,945886788110,337784031160,574269908590,709400910680,18296.880169293865,18244.805075987893,18368.729221907783,18373.5533546688,20220812.0
2020-07-26,1620,152,1738,6,33540582,9869267,22751796,20658053,588318231840,173162215350,398526647910,362953799280,17540.489662343964,17516.272030128963,17545.600433142605,17569.603451012543,10788786.0
