date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,8,1,47,0,930,38271,39201,0,107818614,4461165000,4568983614,0,115933.9935483871,116552.73115481748,116567.76671631262,,-38271.0
2020-10-18,11,1,29,0,5709,40000,45709,0,682092576,4740000000,5422092576,0,119476.71676300578,118621.99076768251,118500.0,,-40000.0
2020-10-14,40,1,40,0,14176,18426,32602,0,1701641733,2211120000,3912761733,0,120036.80396444695,120016.00309796946,120000.0,,-18426.0
2020-10-13,33,1,36,0,20610,3776,24386,0,2482195912,452742400,2934938312,0,120436.48287239204,120353.41228573772,119900.0,,-3776.0
2020-10-12,32,1,31,0,23417,10000,33417,0,2842782827,1240000000,4082782827,0,121398.25028825212,122176.82098931681,124000.0,,-10000.0
2020-10-11,59,0,57,1,57391,0,37391,20000,7228063085,0,4700063085,2528000000,125944.19133662073,125700.3847182477,,126400.0,20000.0
2020-10-10,31,1,49,0,18915,390,19305,0,2322339440,47190000,2369529440,0,122777.6600581549,122741.74773374773,121000.0,,-390.0
2020-10-07,41,0,39,2,29462,0,18448,11014,3682813924,0,2292453614,1390360310,125002.16971013509,124265.6989375542,,126235.72816415472,11014.0
2020-10-06,2,0,5,1,11014,0,1014,10000,1375980596,0,125980596,1250000000,124930.14309061195,124241.21893491125,,125000.0,10000.0
2020-10-05,28,1,27,0,11318,10000,21318,0,1364481362,1200000000,2564481362,0,120558.52288390175,120296.52697251149,120000.0,,-10000.0
2020-10-04,34,1,27,1,11678,12845,24387,136,1422976881,1579400000,2984968881,17408000,121851.0773248844,122400.00332144175,122958.34955235501,128000.0,-12709.0
2020-10-03,54,0,48,1,28111,0,18601,9510,3521672385,0,2323412385,1198260000,125277.37842837324,124907.92887479167,,126000.0,9510.0
2020-09-30,42,0,45,0,16699,0,16699,0,2024753641,0,2024753641,0,121249.99347266303,121249.99347266303,,,0.0
2020-09-29,43,1,54,1,37685,4726,31046,11365,4522751154,548216000,3695802154,1375165000,120014.62528857635,119042.78019712685,116000.0,121000.0,6639.0
2020-09-28,20,1,37,1,20829,43622,62951,1500,2377164850,5056491400,7262654750,171001500,114127.65135148111,115369.96632301314,115916.08362752739,114001.0,-42122.0
2020-09-27,28,1,46,0,33265,22607,55872,0,3972019157,2732233000,6704252157,0,119405.35568916278,119993.05836554983,120857.83164506569,,-22607.0
2020-09-26,33,1,31,1,17597,2888,16744,3741,2178819116,351570680,2060894296,469495500,123817.64596237995,123082.5547061634,121735.0,125500.0,853.0
2020-09-23,76,3,51,1,53310,23000,63053,13257,6709072444,2881168000,7879943444,1710297000,125850.16777340087,124973.33107068656,125268.17391304347,129010.86218601493,-9743.0
2020-09-22,47,0,59,1,67520,0,47520,20000,8347924269,0,5857984269,2489940000,123636.31914988151,123274.07973484849,,124497.0,20000.0
2020-09-21,28,1,47,1,22703,33101,51743,4061,2756705428,4033301000,6298597001,491409427,121424.7204334229,121728.48503179174,121848.31273979638,121007.0,-29040.0
2020-09-20,44,1,67,0,25733,40000,65733,0,3183160453,4960000000,8143160453,0,123699.54739051024,123882.37952018013,124000.0,,-40000.0
2020-09-19,56,1,66,1,33739,25883,49622,10000,4361294016,3300846300,6354140316,1308000000,129265.657429088,128050.8709040345,127529.50971680254,130800.0,-15883.0
2020-09-16,122,2,84,1,53787,10079,47746,16120,7156287397,1301811200,6304425222,2153673375,133048.64366854445,132040.90859967328,129160.75007441215,133602.56668734492,6041.0
2020-09-15,112,0,113,1,148855,0,118996,29859,19954845501,0,15984900082,3969945419,134055.59437707838,134331.40678678275,,132956.40908938678,29859.0
2020-09-14,69,1,62,1,39835,765,30600,10000,5133782541,95625000,3941907541,1287500000,128876.17775825279,128820.507875817,125000.0,128750.0,9235.0
2020-09-13,62,1,70,0,21883,40989,62872,0,2792078695,5172536000,7964614695,0,127591.22126765069,126679.83673177249,126193.2713654883,,-40989.0
2020-09-12,120,0,81,1,80340,0,50958,29382,10619354651,0,6724273681,3895080970,132180.16742593976,131957.17416303622,,132566.91069362193,29382.0
2020-09-09,93,1,71,2,112709,250,81252,31707,14129928600,30000000,10171093674,3988834926,125366.46230558341,125179.61002806085,120000.0,125802.97492667234,31457.0
2020-09-08,20,1,69,0,4463,34713,39176,0,539485266,4190847000,4730332266,0,120879.51288371051,120745.66739840718,120728.4590787313,,-34713.0
2020-09-07,15,1,51,0,5400,32480,37880,0,681316119,4080618000,4761934119,0,126169.65166666667,125711.03798838437,125634.79064039409,,-32480.0
2020-09-06,38,1,45,1,16042,11915,27634,323,2124198471,1546077500,3626606371,43669600,132414.81554668993,131237.112651082,129758.91733109526,135200.0,-11592.0
2020-09-05,60,0,66,1,44727,0,28214,16513,5844757112,0,3669657262,2175099850,130676.2606926465,130065.11880626639,,131720.45358202627,16513.0
2020-09-02,33,1,52,0,10129,30000,40129,0,1253770999,3796273438,5050044437,0,123780.33359660381,125845.25996162376,126542.44793333333,,-30000.0
2020-09-01,49,1,58,1,24776,2525,27101,200,3218611579,323518150,3515149729,26980000,129908.4428075557,129705.53592118372,128126.0,134900.0,-2325.0
2020-08-31,92,1,76,2,68995,50500,108674,10821,9671841072,6946869000,15068986152,1549723920,140181.76783824916,138662.29412739017,137561.76237623763,143214.4829498198,-39679.0
2020-08-26,123,1,82,1,201907,821,57068,145660,28817375813,117392870,8166715962,20768052721,142725.98678104277,143104.996880914,142987.66138855054,142578.96966222711,144839.0
2020-08-25,98,0,58,1,83078,0,19565,63513,11296232706,0,2654858440,8641374266,135971.40886877393,135694.27242524916,,136056.77996630612,63513.0
2020-08-24,20,1,46,0,6755,25418,32173,0,861819058,3336452680,4198271738,0,127582.39200592155,130490.5273987505,131263.38342906602,,-25418.0
2020-08-23,10,1,53,1,2255,40993,33248,10000,300477817,5501076000,4451218817,1350335000,133249.5862527716,133879.29550649662,134195.49679213524,135033.5,-30993.0
2020-08-22,53,2,62,1,28743,11570,38743,1570,3991662735,1609643000,5378831735,222474000,138874.25581880804,138833.6405286116,139122.12618841833,141703.18471337578,-10000.0
