date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,3,0,1,0,630,0,630,0,25651080,0,25651080,0,40716.0,40716.0,,,0.0
2020-10-14,9,0,2,0,22674,0,22674,0,906347802,0,906347802,0,39973.0,39973.0,,,0.0
2020-10-13,8,0,1,0,8266,0,8266,0,337550376,0,337550376,0,40836.0,40836.0,,,0.0
2020-10-12,14,0,2,0,22848,0,22848,0,934368960,0,934368960,0,40895.0,40895.0,,,0.0
2020-10-11,26,0,1,0,95213,0,95213,0,3917443672,0,3917443672,0,41144.0,41144.0,,,0.0
2020-10-10,22,0,2,0,20882,0,20882,0,843319570,0,843319570,0,40385.0,40385.0,,,0.0
2020-10-07,26,1,1,0,43220,3250,46470,0,1787535980,134416750,1921952730,0,41359.0,41359.0,41359.0,,-3250.0
2020-10-05,3,0,1,0,4218,0,4218,0,174502878,0,174502878,0,41371.0,41371.0,,,0.0
2020-10-04,7,1,2,0,101710,5750,107460,0,4237238600,239545000,4476783600,0,41660.0,41660.0,41660.0,,-5750.0
2020-10-03,20,1,1,0,23755,5221,28976,0,972244640,213685088,1185929728,0,40928.0,40928.0,40928.0,,-5221.0
2020-09-30,5,0,1,0,10274,0,10274,0,429638132,0,429638132,0,41818.0,41818.0,,,0.0
2020-09-29,7,0,1,0,9266,0,9266,0,387717238,0,387717238,0,41843.0,41843.0,,,0.0
2020-09-28,4,0,1,0,6967,0,6967,0,291659521,0,291659521,0,41863.0,41863.0,,,0.0
2020-09-27,11,1,1,0,14272,1200,15472,0,586122496,49281600,635404096,0,41068.0,41068.0,41068.0,,-1200.0
2020-09-26,7,1,2,0,8806,4500,13306,0,369579014,188860500,558439514,0,41969.0,41969.0,41969.0,,-4500.0
2020-09-23,7,1,2,0,4219,3500,7719,0,177155810,146965000,324120810,0,41990.0,41990.0,41990.0,,-3500.0
2020-09-22,5,0,3,0,2185,0,2185,0,91761260,0,91761260,0,41996.0,41996.0,,,0.0
2020-09-21,13,0,2,0,5846,0,5846,0,240592130,0,240592130,0,41155.0,41155.0,,,0.0
2020-09-20,11,0,2,0,4523,0,4523,0,190119782,0,190119782,0,42034.0,42034.0,,,0.0
2020-09-19,14,0,2,0,31730,0,31730,0,1336531060,0,1336531060,0,42122.0,42122.0,,,0.0
2020-09-16,22,1,2,0,37629,8450,46079,0,1589825250,357012500,1946837750,0,42250.0,42250.0,42250.0,,-8450.0
2020-09-15,47,0,4,0,44108,0,44108,0,1834010640,0,1834010640,0,41580.0,41580.0,,,0.0
2020-09-14,19,0,1,0,11346,0,11346,0,482057502,0,482057502,0,42487.0,42487.0,,,0.0
2020-09-13,14,0,0,1,16076,0,0,16076,683744432,0,0,683744432,42532.0,,,42532.0,16076.0
2020-09-12,24,1,1,0,20861,4750,25611,0,888762044,202369000,1091131044,0,42604.0,42604.0,42604.0,,-4750.0
2020-09-09,24,1,3,0,34171,5250,39421,0,1432448320,220080000,1652528320,0,41920.0,41920.0,41920.0,,-5250.0
2020-09-08,8,1,1,0,4705,3500,8205,0,201505740,149898000,351403740,0,42828.0,42828.0,42828.0,,-3500.0
2020-09-07,14,1,1,0,8667,1500,10167,0,371458953,64288500,435747453,0,42859.0,42859.0,42859.0,,-1500.0
2020-09-06,159,2,110,0,800114,15940,816054,0,35333028672,723522540,36056551212,0,44159.993040991656,44184.02607180407,45390.37264742785,,-15940.0
2020-09-05,305,1,573,1,3146225,75250,3211475,10000,141557743380,3377316500,144477609880,457450000,44992.88619853952,44987.929185187495,44881.28239202658,45745.0,-65250.0
2020-09-02,16,1,1,0,12177,5850,18027,0,557755308,267953400,825708708,0,45804.0,45804.0,45804.0,,-5850.0
2020-09-01,12,1,2,0,4448,2250,6698,0,203829600,103106250,306935850,0,45825.0,45825.0,45825.0,,-2250.0
2020-08-31,29,1,2,0,22962,2500,25462,0,1054162458,114772500,1168934958,0,45909.0,45909.0,45909.0,,-2500.0
2020-08-26,100,1,3,0,162442,2500,164942,0,7452514076,114695000,7567209076,0,45878.0,45878.0,45878.0,,-2500.0
2020-08-25,81,1,13,0,222812,7500,230312,0,10614986492,357307500,10972293992,0,47641.0,47641.0,47641.0,,-7500.0
2020-08-24,50,0,2,0,59398,0,59398,0,2842075504,0,2842075504,0,47848.0,47848.0,,,0.0
2020-08-23,303,0,52,0,1789354,0,1789354,0,88263464758,0,88263464758,0,49327.0,49327.0,,,0.0
2020-08-22,28,0,209,2,955866,0,895866,60000,48607697832,0,45556577832,3051120000,50852.0,50852.0,,50852.0,60000.0
