date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,585,2,453,0,9943022,2510000,12453022,0,40985256171,10338690000,51323946171,0,4122.01201717144,4121.404922515996,4119.0,,-2510000.0
2020-10-18,1461,2,2036,2,36756139,2501163,38859302,398000,159393950263,10788555939,168469912202,1712594000,4336.525940959142,4335.381839900264,4313.415774581665,4303.0,-2103163.0
2020-10-14,3315,2,2554,3,72822728,2524456,75295628,51556,329788738420,11490933236,341047205652,232466004,4528.651253218638,4529.4423422831405,4551.845322715072,4509.0,-2472900.0
2020-10-13,3514,1,2935,2,61393566,60166,58951732,2502000,291389659665,271950320,279594463985,12067146000,4746.2572815040585,4742.769287677586,4520.0,4823.0,2441834.0
2020-10-12,5097,1,3875,9,109002837,1487,106724371,2279953,500717544555,6959160,490149111386,10575392329,4593.61938033778,4592.663388814913,4680.0,4638.425585527421,2278466.0
2020-10-11,2312,1,926,5,39134935,3000,33385359,5752576,175165360964,13080000,149406900484,25771540480,4475.933356322171,4475.222221932674,4360.0,4480.0,5749576.0
2020-10-10,3131,1,1622,5,60513471,700000,57932840,3280631,258226593996,3000200000,247174188668,14052605328,4267.258012616728,4266.564329799817,4286.0,4283.506839995111,2580631.0
2020-10-07,82,0,971,4,15466615,0,12906730,2559885,63134722430,0,52685271860,10449450570,4082.0,4082.0,,4082.0,2559885.0
2020-10-06,7,0,103,1,941768,0,816768,125000,3831112224,0,3322612224,508500000,4068.0,4068.0,,4068.0,125000.0
2020-10-05,2137,4,2863,2,63540422,2147000,65505422,182000,246403646091,8164587760,253861550071,706683780,3877.9038340507086,3875.428053436554,3802.7888961341405,3882.877912087912,-1965000.0
