date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-06-09,403,1,170,1,7014643,46000,6560643,500000,45062066632,295504000,42145570632,3212000000,6424.0,6424.0,6424.0,6424.0,454000.0
2020-06-08,1275,1,508,3,25929595,14264,23126181,2817678,161725908767,89506600,144147339660,17668075707,6237.116652496887,6233.080146696076,6275.0,6270.4381788834635,2803414.0
2020-06-07,645,0,237,2,12456196,0,7720332,4735864,75894044827,0,47038425475,28855619352,6092.874969774079,6092.798272794486,,6093.0,4735864.0
2020-06-06,974,2,514,2,13166194,272793,10296872,3142115,77932402479,1570676180,60793362257,18709716402,5919.129133217997,5904.061180618735,5757.758373565304,5954.4976558782855,2869322.0
2020-06-02,935,0,428,5,18179793,0,14072340,4107453,105809827657,0,81881753069,23928074588,5820.188802864807,5818.63095043184,,5825.526083439056,4107453.0
2020-06-01,514,0,578,4,13104676,0,12596741,507935,74202760958,0,71303319379,2899441579,5662.311754827056,5660.457683380169,,5708.292555149773,507935.0
2020-05-31,436,1,254,2,5242460,59500,4395775,906185,30291853302,346676500,25422807192,5215722610,5778.175379878911,5783.464165477078,5826.495798319328,5755.692943493878,846685.0
2020-05-30,1246,3,447,4,12163467,302956,10608674,1857749,72149744118,1804059397,62928454958,11025348557,5931.675904411135,5931.79269699493,5954.85614082573,5934.7891222118815,1554793.0
2020-05-27,1804,2,606,7,41786362,8600000,32885591,17500771,243329254839,50231729225,191501233611,102059750453,5823.173954195869,5823.256562760268,5840.898747093023,5831.728810862104,8900771.0
2020-05-26,33,0,158,0,5037452,0,5037452,0,28567390292,0,28567390292,0,5671.0,5671.0,,,0.0
2020-05-23,17,1,103,0,1659671,200000,1859671,0,9096656751,1096200000,10192856751,0,5481.0,5481.0,5481.0,,-200000.0
