date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,16,1,73,0,5147,53469,58616,0,556885400,5777131000,6334016400,0,108196.11424130561,108059.51276102089,108046.36331332174,,-53469.0
2020-10-18,22,1,64,0,6832,41433,48265,0,773784340,4693048100,5466832440,0,113258.83196721312,113267.01419247902,113268.36338184538,,-41433.0
2020-10-14,20,1,43,0,4996,26355,31351,0,583895220,3075628500,3659523720,0,116872.5420336269,116727.49577365954,116700.0,,-26355.0
2020-10-13,46,1,68,0,23482,15914,39396,0,2760331770,1895243800,4655575570,0,117550.96542032195,118173.81383896842,119092.86163126807,,-15914.0
2020-10-12,25,1,43,0,5921,51592,57513,0,698739330,6154491900,6853231230,0,118010.35804762709,119159.68963538678,119291.59365793146,,-51592.0
2020-10-11,72,1,109,0,103768,52340,156108,0,12587179310,6333140000,18920319310,0,121301.16519543597,121200.19031696006,121000.0,,-52340.0
2020-10-10,53,1,74,0,19040,26919,45959,0,2225924460,3160226250,5386150710,0,116907.79726890757,117194.68896190083,117397.60949515212,,-26919.0
2020-10-07,113,1,107,0,56159,9314,65473,0,6608153420,1083218200,7691371620,0,117668.64474082516,117473.94529042506,116300.0,,-9314.0
2020-10-05,62,0,70,0,46811,0,46811,0,5301522780,0,5301522780,0,113253.78180342227,113253.78180342227,,,0.0
2020-10-03,84,1,86,1,78120,268,68388,10000,9170175080,30605600,8008780680,1192000000,117385.75371223758,117107.98210212318,114200.0,119200.0,9732.0
2020-09-30,46,0,51,1,57667,0,56627,1040,6483074410,0,6368632810,114441600,112422.60582308772,112466.36427852437,,110040.0,1040.0
2020-09-29,37,1,72,0,34937,27010,61947,0,3987862010,2903575000,6891437010,0,114144.37444543035,111247.30834422975,107500.0,,-27010.0
2020-09-28,24,1,111,0,7211,246022,253233,0,795756640,27198160900,27993917540,0,110353.16044931355,110546.08814806918,110551.74293355878,,-246022.0
2020-09-27,36,1,83,0,32898,64933,97831,0,3751705230,7374302600,11126007830,0,114040.52617180375,113726.8128711758,113567.87149831365,,-64933.0
2020-09-26,75,1,63,0,40088,10000,50088,0,4802568120,1181800000,5984368120,0,119800.64158850528,119477.08273438748,118180.0,,-10000.0
2020-09-23,77,0,136,0,103734,0,103734,0,12746614200,0,12746614200,0,122877.88189021921,122877.88189021921,,,0.0
2020-09-22,112,0,108,0,104174,0,104174,0,12270216820,0,12270216820,0,117785.7893524296,117785.7893524296,,,0.0
2020-09-21,41,1,101,1,34777,69167,98944,5000,4010910900,7860762100,11271173000,600500000,115332.2857060701,113914.66890362225,113649.02482397675,120100.0,-64167.0
2020-09-19,64,2,227,1,61103,239694,280797,20000,7490810930,29395575390,34428341320,2458045000,122593.1775853886,122609.36306299569,122637.92748254024,122902.25,-219694.0
2020-09-16,180,1,241,3,293373,84048,350229,27192,36627788670,10253653210,43461755570,3419686310,124850.5781718154,124095.25073594705,121997.5872120693,125760.7498528979,-56856.0
2020-09-15,347,0,200,1,786868,0,290725,496143,98009908430,0,36341610090,61668298340,124556.9885037897,125003.38839109124,,124295.41148418904,496143.0
2020-09-14,124,1,144,1,139030,5284,140290,4024,16842354550,644285810,16994505160,492135200,121141.8726174207,121138.3930429824,121931.45533686601,122300.0,-1260.0
2020-09-13,81,1,127,2,140948,81826,187921,34853,16563342090,9479441900,21919704970,4123079020,117513.84971762636,116643.19032997909,115848.77545034586,118299.11399305656,-46973.0
