date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-08-12,26,2,98,1,2053779,400000,2114093,339686,45813648153,8922800000,47159072551,7577375602,22307.0,22307.0,22307.0,22307.0,-60314.0
2020-08-11,36,1,84,1,2524595,70000,994595,1600000,53635020775,1487150000,21130170775,33992000000,21245.0,21245.0,21245.0,21245.0,1530000.0
2020-08-10,13,0,62,3,874241,0,713232,161009,18104656869,0,14770321488,3334335381,20709.0,20709.0,,20709.0,161009.0
2020-08-09,5,0,66,0,612827,0,612827,0,12464901180,0,12464901180,0,20340.0,20340.0,,,0.0
2020-08-05,8,0,67,0,1357543,0,1357543,0,26808759164,0,26808759164,0,19748.0,19748.0,,,0.0
2020-08-04,6,1,76,0,487067,90187,577254,0,9293238360,1720767960,11014006320,0,19080.0,19080.0,19080.0,,-90187.0
2020-08-03,9,0,62,1,653227,0,651227,2000,12251925612,0,12214413612,37512000,18756.0,18756.0,,18756.0,2000.0
2020-08-02,18,0,82,0,812761,0,812761,0,14923104721,0,14923104721,0,18361.0,18361.0,,,0.0
2020-08-01,4,0,35,0,368352,0,368352,0,6698112768,0,6698112768,0,18184.0,18184.0,,,0.0
2020-07-29,13,0,102,0,953478,0,953478,0,16962373620,0,16962373620,0,17790.0,17790.0,,,0.0
2020-07-28,10,1,68,0,535523,200000,735523,0,9366832793,3498200000,12865032793,0,17491.0,17491.0,17491.0,,-200000.0
2020-07-27,37,2,78,0,2539555,400000,2939555,0,43126723010,6792800000,49919523010,0,16982.0,16982.0,16982.0,,-400000.0
2020-07-26,23,0,86,1,1776050,0,1376050,400000,29283512400,0,22688312400,6595200000,16488.0,16488.0,,16488.0,400000.0
2020-07-25,3,0,68,0,575014,0,575014,0,9177223440,0,9177223440,0,15960.0,15960.0,,,0.0
2020-07-22,11,0,70,0,672364,0,672364,0,10580992268,0,10580992268,0,15737.0,15737.0,,,0.0
2020-07-21,9,1,80,0,648313,200000,848313,0,10022918980,3092000000,13114918980,0,15460.0,15460.0,15460.0,,-200000.0
2020-07-20,1,4,46,1,32669,413030,415699,30000,506892204,6408573480,6449985684,465480000,15516.0,15516.0,15516.0,15516.0,-383030.0
2020-07-19,8,0,82,0,869512,0,869512,0,12996595864,0,12996595864,0,14947.0,14947.0,,,0.0
2020-07-18,72,0,143,1,1841497,0,1838997,2500,26723804464,0,26687524464,36280000,14512.0,14512.0,,14512.0,2500.0
2020-07-15,20,6,164,0,2203075,770000,2973075,0,31041326750,10849300000,41890626750,0,14090.0,14090.0,14090.0,,-770000.0
2020-07-14,82,1,103,1,6176332,36000,5712332,500000,84483309208,504288000,78187597208,6800000000,13678.556983011924,13687.509270819693,14008.0,13600.0,464000.0
2020-06-30,6,1,67,0,794580,47876,842456,0,7797213540,469807188,8267020728,0,9813.0,9813.0,9813.0,,-47876.0
2020-06-29,7,1,69,0,591231,198472,789703,0,5739670548,1926766176,7666436724,0,9708.0,9708.0,9708.0,,-198472.0
2020-06-28,5,0,72,0,822658,0,822658,0,7897516800,0,7897516800,0,9600.0,9600.0,,,0.0
2020-06-27,8,1,54,0,647456,80007,727463,0,6232411456,770147382,7002558838,0,9626.0,9626.0,9626.0,,-80007.0
2020-06-24,4,1,41,0,317112,200000,517112,0,2974827672,1876200000,4851027672,0,9381.0,9381.0,9381.0,,-200000.0
2020-06-23,4,0,64,0,642179,0,642179,0,5975475595,0,5975475595,0,9305.0,9305.0,,,0.0
2020-06-22,9,1,61,0,505581,400000,905581,0,4650334038,3679200000,8329534038,0,9198.0,9198.0,9198.0,,-400000.0
2020-06-21,7,1,41,0,782443,200000,982443,0,7187521398,1837200000,9024721398,0,9186.0,9186.0,9186.0,,-200000.0
2020-06-20,19,2,70,1,2836320,400000,735886,2500434,24814963680,3499600000,6438266614,21876297066,8749.0,8749.0,8749.0,8749.0,2100434.0
2020-06-16,6,0,75,0,749063,0,749063,0,6494376210,0,6494376210,0,8670.0,8670.0,,,0.0
2020-06-15,5,0,57,0,658111,0,658111,0,5660412711,0,5660412711,0,8601.0,8601.0,,,0.0
2020-06-14,8,0,58,0,608674,0,608674,0,5196249938,0,5196249938,0,8537.0,8537.0,,,0.0
2020-06-13,18,0,79,0,1146040,0,1146040,0,9648510760,0,9648510760,0,8419.0,8419.0,,,0.0
2020-06-10,6,0,47,0,547613,0,547613,0,4650329596,0,4650329596,0,8492.0,8492.0,,,0.0
2020-06-09,7,0,45,0,517387,0,517387,0,4284481747,0,4284481747,0,8281.0,8281.0,,,0.0
