date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-18,4,0,3,0,3662,0,3662,0,113994398,0,113994398,0,31129.0,31129.0,,,0.0
2020-10-14,2,0,1,0,2300,0,2300,0,73112400,0,73112400,0,31788.0,31788.0,,,0.0
2020-10-12,1,0,1,0,170,0,170,0,5403960,0,5403960,0,31788.0,31788.0,,,0.0
2020-10-11,13,0,2,0,7698,0,7698,0,239815794,0,239815794,0,31153.0,31153.0,,,0.0
2020-10-10,5,0,1,0,896,0,896,0,28501760,0,28501760,0,31810.0,31810.0,,,0.0
2020-10-04,3,0,1,0,761,0,761,0,23709716,0,23709716,0,31156.0,31156.0,,,0.0
2020-10-03,2,0,1,0,1629,0,1629,0,51826635,0,51826635,0,31815.0,31815.0,,,0.0
2020-09-30,1,0,1,0,1,0,1,0,31815,0,31815,0,31815.0,31815.0,,,0.0
2020-09-29,5,0,1,0,3171,0,3171,0,100898049,0,100898049,0,31819.0,31819.0,,,0.0
2020-09-22,5,0,1,0,2851,0,2851,0,88868521,0,88868521,0,31171.0,31171.0,,,0.0
2020-09-21,2,0,1,0,2475,0,2475,0,78781725,0,78781725,0,31831.0,31831.0,,,0.0
2020-09-19,1,0,1,0,159,0,159,0,5061129,0,5061129,0,31831.0,31831.0,,,0.0
2020-09-16,3,0,1,0,607,0,607,0,18924439,0,18924439,0,31177.0,31177.0,,,0.0
2020-09-15,4,0,2,0,5508,0,5508,0,175385736,0,175385736,0,31842.0,31842.0,,,0.0
2020-09-14,3,0,1,0,632,0,632,0,20124776,0,20124776,0,31843.0,31843.0,,,0.0
2020-09-13,1,0,1,0,160,0,160,0,5094880,0,5094880,0,31843.0,31843.0,,,0.0
2020-09-12,4,0,1,0,2525,0,2525,0,78762325,0,78762325,0,31193.0,31193.0,,,0.0
2020-09-09,2,0,1,0,2564,0,2564,0,81671092,0,81671092,0,31853.0,31853.0,,,0.0
2020-09-07,1,0,1,0,500,0,500,0,15927000,0,15927000,0,31854.0,31854.0,,,0.0
2020-09-06,3,0,1,0,524,0,524,0,16347752,0,16347752,0,31198.0,31198.0,,,0.0
2020-09-05,5,0,1,0,5210,0,5210,0,166006230,0,166006230,0,31863.0,31863.0,,,0.0
2020-09-02,6,0,6,0,52259,0,52259,0,1669466014,0,1669466014,0,31946.0,31946.0,,,0.0
2020-09-01,2,0,1,0,416,0,416,0,13289536,0,13289536,0,31946.0,31946.0,,,0.0
2020-08-31,33,0,1,0,25294,0,25294,0,793042782,0,793042782,0,31353.0,31353.0,,,0.0
2020-08-26,27,0,5,0,46532,0,46532,0,1493072284,0,1493072284,0,32087.0,32087.0,,,0.0
2020-08-25,10,0,1,0,11201,0,11201,0,359608105,0,359608105,0,32105.0,32105.0,,,0.0
2020-08-24,3,0,1,0,700,0,700,0,22474200,0,22474200,0,32106.0,32106.0,,,0.0
2020-08-23,4,0,1,0,1670,0,1670,0,52518160,0,52518160,0,31448.0,31448.0,,,0.0
2020-08-22,6,0,1,0,3499,0,3499,0,112373884,0,112373884,0,32116.0,32116.0,,,0.0
2020-08-19,41,0,79,0,579923,0,579923,0,19198930838,0,19198930838,0,33106.0,33106.0,,,0.0
2020-08-18,16,0,1,0,29569,0,29569,0,980389764,0,980389764,0,33156.0,33156.0,,,0.0
2020-08-17,16,0,5,0,59213,0,59213,0,1932653107,0,1932653107,0,32639.0,32639.0,,,0.0
2020-08-16,12,0,3,0,6154,0,6154,0,205149744,0,205149744,0,33336.0,33336.0,,,0.0
