date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,142,3,171,5,737174,3736697,4275822,198049,7917248760,40132125780,45922328280,2127046260,10740.0,10740.0,10740.0,10740.0,-3538648.0
2020-10-18,404,3,297,4,3464709,3216185,5978273,702621,38528128120,35636244580,66343050380,7821322320,11120.162795778808,11097.36045510133,11080.284430155603,11131.63756847575,-2513564.0
2020-10-14,490,43,494,8,3191418,3340628,5163992,1368054,36722107710,38704726220,59712036370,15714797560,11506.517701535806,11563.154313562067,11586.062925892977,11486.97168386628,-1972574.0
2020-10-13,539,36,759,7,3923806,6274099,8792754,1405151,46218683640,74823150420,104252110220,16789723840,11779.044030209445,11856.593533721061,11925.720397462648,11948.697214747739,-4868948.0
2020-10-12,499,23,736,11,3922596,13400093,15869715,1452974,46301448810,159165956970,188274936500,17192469280,11803.777093027169,11863.788133561315,11877.974053612912,11832.606282011928,-11947119.0
2020-10-11,929,8,970,6,9237305,2159320,10940573,456052,112085007700,26399763550,132946314300,5538456950,12133.951157832289,12151.677457844302,12225.961668488228,12144.354042960013,-1703268.0
2020-10-10,928,6,637,4,7027496,234439,6907749,354186,81652300930,2731615460,80240023860,4143892530,11618.97508443975,11615.943755339113,11651.710935467221,11699.763768189596,119747.0
2020-10-07,827,25,680,7,6079466,2653462,7311250,1421678,72833709020,31985259700,87739849100,17079119620,11980.280672677502,12000.663238160369,12054.161582114235,12013.352967408935,-1231784.0
2020-10-06,835,12,607,12,8104835,4980189,7701959,5383065,96964541090,59238006710,91496750390,64705797410,11963.78965025198,11879.672482026976,11894.730643756693,12020.251921535408,402876.0
2020-10-05,601,29,286,2,5273192,8281078,13541270,13000,62492491730,97865109320,160204152050,153449000,11850.979772782784,11830.80701071613,11817.919034212695,11803.76923076923,-8268078.0
2020-10-03,920,6,593,12,19575358,250373,6975210,12850521,252506436560,3230252890,89590233430,166146456020,12899.198909159159,12844.091207289817,12901.762130900695,12929.161083819092,12600148.0
2020-09-30,338,50,750,7,2596937,8955162,8668655,2883444,31174794520,111156539120,106403689370,35927644270,12004.447747480976,12274.532712398866,12412.565972564204,12459.976427494343,-6071718.0
2020-09-29,649,48,1176,12,8229171,5855951,12030958,2054164,97191806460,70363916570,142972592780,24583130250,11810.64367966105,11883.724702554859,12015.796677601982,11967.46231070158,-3801787.0
2020-09-28,128,2,229,1,636064,6000000,6588520,47544,7626407360,71940000000,78996354800,570052560,11990.0,11990.0,11990.0,11990.0,-5952456.0
2020-09-27,532,3,274,0,5463537,1821195,7284732,0,68369890190,22564693130,90934583320,0,12513.851409810166,12482.900307108072,12390.047814758991,,-1821195.0
2020-09-26,1278,4,954,9,30083949,2538000,23759703,8862246,392412507590,33092286630,309864471310,115640322910,13043.916129162431,13041.596997656074,13038.726016548464,13048.64736433631,6324246.0
2020-09-23,780,18,990,22,11814934,5562784,13561962,3815756,146544465560,69508072950,168472006560,47580531950,12403.324941129591,12422.391875157886,12495.195382384072,12469.49017442415,-1747028.0
2020-09-22,879,9,750,8,14037955,1100138,6819315,8318778,168085447900,13106959340,81902705540,99289701700,11973.642022645035,12010.400683939662,11913.922926032916,11935.611420331208,7218640.0
2020-09-21,492,19,728,6,4130616,13118927,15491409,1758134,51253796270,162734871020,192186678390,21801988900,12408.269437294583,12406.016676081563,12404.58697727337,12400.641191172004,-11360793.0
2020-09-20,392,4,479,19,3322431,6305000,7608635,2018796,43406492110,82217200000,99298592270,26325099840,13064.678276238092,13050.77616024425,13040.0,13040.0,-4286204.0
2020-09-19,1112,12,1472,37,25023644,5340364,20554091,9809917,343736686900,72816760510,280683959330,135869488080,13736.476066395446,13655.868280917895,13635.168035362383,13850.217905003681,4469553.0
2020-09-16,1405,14,1208,14,29698838,2491768,21336393,10854213,399890961410,33694822580,286709268070,146876515920,13464.868942347171,13437.569699339527,13522.455774373859,13531.751764959836,8362445.0
2020-09-15,310,2,331,6,11703696,636339,4104749,8235286,151208366020,8221499880,53029970780,106399895120,12919.710664050057,12919.175028728918,12920.0,12920.0,7598947.0
2020-09-14,471,8,1077,25,15347104,9384455,8822406,15909153,188399917810,116145042600,107546866980,196998093430,12275.92631222151,12190.196980279528,12376.322610103623,12382.688973448177,6524698.0
2020-09-13,777,9,937,8,11148324,8158279,17074501,2232102,132858499160,96385180010,202803165660,26440513510,11917.351806423998,11877.545684058352,11814.401053212327,11845.566873736057,-5926177.0
2020-09-12,1098,9,885,36,15648917,2586344,10283764,7951497,194366952010,32196368520,128098126350,98465194180,12420.473059573387,12456.346367925207,12448.602552483351,12383.227231299968,5365153.0
2020-09-09,993,9,1444,37,21880560,17284089,25987099,13177550,265131961250,212955717620,318007623810,160080055060,12117.238372783877,12237.134426201246,12320.91073009402,12147.93759538002,-4106539.0
2020-09-08,83,1,8,2,222550,1000000,745790,476760,2692855000,12100000000,9024059000,5768796000,12100.0,12100.0,12100.0,12100.0,-523240.0
2020-09-07,215,2,324,3,568102,10700000,10603102,665000,7231938460,136211000000,134977488460,8465450000,12730.0,12730.0,12730.0,12730.0,-10035000.0
2020-09-06,919,5,1049,8,8879624,2100224,10081032,898816,119466556810,27715780800,135224958980,11957378630,13454.010756536538,13413.801184243835,13196.58322159922,13303.477719577755,-1201408.0
2020-09-05,925,11,1820,56,17779461,6029467,19098478,4710450,244802337340,82473992810,263245215030,64031115120,13768.827825545442,13783.570346809835,13678.488133362369,13593.4178517976,-1319017.0
2020-09-02,344,6,1083,6,1405699,25696011,20791710,6310000,19019903480,347667028830,281312632310,85374300000,13530.566273434071,13530.038284970307,13530.0,13530.0,-19386011.0
2020-09-01,498,6,741,28,3717419,9100750,10783649,2034520,52964762770,129556874020,153570414140,28951222650,14247.72477086925,14241.04346682649,14235.845839079197,14230.001499125101,-7066230.0
2020-08-31,2189,8,1961,27,30395263,30412156,37220347,23587072,449861651290,460684930110,552908146790,357638434610,14800.386865874461,14854.997101182318,15148.052315330751,15162.476911504744,-6825084.0
2020-08-26,656,3,573,13,18204981,410359,11549894,7065446,265970475780,5995308990,168740163850,103225620920,14609.763986021188,14609.672075778357,14609.9122719375,14609.9228442196,6655087.0
2020-08-25,884,7,391,33,11905014,15138122,12829220,14213916,164911718450,211424837410,177794914790,198541641070,13852.291013685493,13858.591152852629,13966.384826995052,13968.11695453948,-924206.0
2020-08-11,1133,7,979,5,9245123,6100000,11160640,4184483,135149463330,88889706880,162980841950,61058328260,14618.460276840016,14603.180637490323,14572.083095081967,14591.606241440102,-1915517.0
2020-08-10,1636,12,1409,28,11768212,14182954,20728394,5222772,180905039350,216983449010,317965981750,79922506610,15372.347077873852,15339.634211410686,15298.889710140778,15302.698760351783,-8960182.0
2020-08-09,2935,14,1457,14,21279742,3687323,15282373,9684692,342253700690,59581523790,246106861030,155728363450,16083.545594208803,16103.968999447927,16158.476973674397,16079.846777780853,5997369.0
2020-08-05,1839,58,1715,16,21915326,12329483,19953134,14291675,342785603130,192406651000,312288779380,222903474750,15641.364546892892,15651.114224963356,15605.41111091195,15596.735494614872,1962192.0
2020-08-04,1944,8,1943,29,13182230,6460885,14871143,4771972,199339439810,97629725140,224820655050,72148509900,15121.829903589909,15117.913602875045,15110.890402785377,15119.223226791775,-1688913.0
2020-08-03,2060,5,918,6,7907509,1325710,8195578,1037641,124221230850,20343239770,128128277480,16436193140,15709.274671707613,15633.8305217765,15345.165813036034,15839.961161904743,-288069.0
2020-08-02,2992,11,1014,10,17290832,3983000,12138796,9135036,276118656140,63912191160,193829538460,146201308840,15969.078650466328,15967.77295375917,16046.244328395682,16004.458968744075,5152036.0
2020-08-01,1907,7,1152,12,12099659,5392674,9219547,8272786,185273543230,82987148240,141000289570,127260401900,15312.294605162013,15293.62446658171,15388.867979039713,15383.016301884274,2880112.0
2020-07-29,1978,11,1795,16,17153638,3080129,15382460,4851307,251869111660,45064782380,226136331510,70797562530,14683.130870547693,14700.921147202724,14630.810066721231,14593.502849850565,1771178.0
2020-07-28,2664,10,1746,25,21850342,1592691,16123045,7319988,335077459780,24280581130,246927366670,112430674240,15335.112822490375,15315.181882206494,15245.004291479012,15359.40690613154,5727297.0
2020-07-27,2460,27,1351,11,16862372,13883221,15365377,15380216,259508504260,212959180270,236738985980,235728698550,15389.798319002806,15407.300841365624,15339.320772175275,15326.748242677477,1496995.0
2020-07-26,2445,10,1320,12,9218067,5621241,12648745,2190563,149674001890,89329337770,204106520200,34896819460,16237.026904881468,16136.50367684699,15891.390845900398,15930.52537635302,-3430678.0
2020-07-25,3446,12,1811,26,22844499,7533931,15883729,14494701,372211512380,123967940470,258811106240,237368346610,16293.266592539412,16294.102363494114,16454.615853264386,16376.215460394802,6960770.0
2020-07-22,2060,16,967,9,8526708,13288533,12406292,9408949,134742744230,208833077690,195672170530,147903651390,15802.434448324018,15772.010728910782,15715.284575806825,15719.46573310154,-3879584.0
2020-07-21,4060,15,1178,6,20193788,10722300,13228941,17687147,334591015920,176571181640,219598575400,291563622160,16569.007059002503,16599.86051793564,16467.659144026933,16484.491374442696,6964847.0
2020-07-20,2025,23,352,6,10431172,4808668,3462185,11777655,180767625420,82499371100,59522443650,203744552870,17329.560419481146,17192.16149628053,17156.3874029149,17299.246146198035,6968987.0
2020-07-14,7331,18,1521,155,37303119,42605993,34337516,45571596,959104750740,1097896707640,885298919480,1171702538900,25711.114149462945,25782.264491118112,25768.598038308835,25711.24651636076,2965603.0
2020-07-13,2593,16,1239,92,15610300,32928020,31550484,16987836,383879700460,814350303080,779293296950,418936706590,24591.436452854847,24699.884063585207,24731.225961354492,24660.98133923591,-15940184.0
2020-07-12,27,12,396,8,894436,14111106,3073549,11931993,21081856520,332598768420,72443549930,281237075010,23570.0,23570.0,23570.0,23570.0,-2179113.0
2020-07-11,1706,9,1229,14,14637052,1728327,11326867,5038512,328381892780,38963820120,254460380800,112885332100,22434.974800936692,22465.204261690367,22544.240829426377,22404.49801449317,3310185.0
2020-07-07,14,8,191,3,774475,1400494,1429828,745141,17797435500,32183352120,32857447440,17123340180,22980.0,22980.0,22980.0,22980.0,-655353.0
2020-07-06,237,20,491,9,1920724,4715622,2701251,3935095,42044648360,103224965580,59130384390,86139229550,21890.0,21890.0,21890.0,21890.0,-780527.0
2020-07-05,1053,6,1404,12,9717038,3592509,9708934,3600613,201453648360,75999507040,200446568900,77006586500,20732.001702576443,20645.579514702644,21154.994194864925,21387.076728323762,8104.0
2020-07-04,2953,16,1708,13,15161454,13345806,21139865,7367395,311771695360,269805479740,433069159740,148508015360,20563.44301542583,20485.8999686138,20216.499456083806,20157.4661545906,-5978411.0
2020-07-01,1134,14,987,15,19572683,15269068,5011340,29830411,409649827630,319581450770,104880776170,624350502230,20929.671605573953,20928.688967421887,20929.990669371567,20930.0,14561343.0
2020-06-30,297,4,921,4,3859353,3152849,3329258,3682944,76898760650,62939501730,66331699330,73506563050,19925.29852801752,19923.868720898172,19962.73901160506,19958.642610368228,530095.0
2020-06-29,1679,13,1749,13,12235617,7565230,15948645,3852202,233697093900,142943619100,303130860490,73509852510,19099.739220343363,19006.684297631553,18894.81471151571,19082.553954854913,-3713028.0
2020-06-28,1890,12,1623,24,16894201,13812549,27388314,3318436,328468290780,272664129540,535609745510,65522674810,19442.66501742225,19556.14155402191,19740.319439952757,19745.04700708406,-10494113.0
2020-06-27,1120,19,1123,14,13935053,7307028,16538517,4703564,264384552450,139096301800,313848806870,89632047380,18972.626257682696,18976.840962826354,19035.961241697718,19056.198104246057,-2603464.0
