date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,34,28,19,2,755408,7913720,5353018,3316110,11118990630,116645394400,78903647490,48860737540,14719.185698324614,14740.030295059722,14739.641331763065,14734.353667399453,-4597610.0
2020-10-18,20,12,26,2,1424364,5855980,315055,6965289,21105358530,86494608070,4660403160,102939563440,14817.39115141916,14792.347875767724,14770.304555343426,14778.936443268902,1109309.0
2020-10-14,18,3,16,3,102485,1418452,53459,1467478,1516221500,20980536040,790103140,21706654400,14794.569937063961,14779.60942030341,14791.149816842586,14791.809076524487,49026.0
2020-10-13,15,14,21,1,231622,1329517,341562,1219577,3415999560,19611590170,5036633210,17990956520,14748.16537289204,14745.882767989413,14750.913429463482,14751.800435724846,-109940.0
2020-10-12,14,4,20,2,58202,316432,134554,240080,857441850,4659148850,1978781690,3537809010,14732.17157485997,14706.227165301663,14724.012900085958,14735.958888703766,-76352.0
2020-10-11,29,2,24,2,499302,31435,192687,338050,7339376220,461711750,2831336820,4969751150,14699.272624583919,14693.969079387816,14687.824081437888,14701.231030912586,306615.0
2020-10-10,15,2,19,3,271510,360903,109813,522600,3985687500,5294447010,1611366510,7668768000,14679.707929726344,14673.73179860308,14670.0,14674.259471871412,161697.0
2020-10-07,12,4,26,1,39806,224463,228631,35638,584172660,3287123280,3348130100,523165840,14675.492639300608,14644.252529184581,14644.388072867243,14680.0,-188825.0
2020-10-06,11,2,13,1,96848,1094121,1090969,100000,1417920990,16013030440,15966951430,1464000000,14640.684268131505,14635.568407534953,14635.520605125028,14640.0,-994121.0
2020-10-05,18,6,22,5,1268880,2922267,288701,3902446,18586013100,42751243540,4227071320,57110185320,14647.573529411764,14641.692685512,14629.478942204802,14634.458829154843,980179.0
2020-10-03,18,8,37,3,329328,721156,539817,510667,4819066240,10543283720,7892971420,7469378540,14633.029198853423,14621.56882795466,14619.976426737072,14626.710831128701,-210489.0
2020-09-30,20,5,17,2,67632,1055495,88247,1034880,988961640,15420781950,1289288670,15120454920,14622.688076650107,14610.0,14610.0,14610.829197588126,-20615.0
