date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-07,1,0,1,0,520,0,520,0,10130640,0,10130640,0,19482.0,19482.0,,,0.0
2020-09-07,1,0,2,0,1504,0,1504,0,29297920,0,29297920,0,19480.0,19480.0,,,0.0
2020-09-05,2,0,1,0,484,0,484,0,9612724,0,9612724,0,19861.0,19861.0,,,0.0
2020-08-31,1,0,3,0,1700,0,1700,0,33112600,0,33112600,0,19478.0,19478.0,,,0.0
2020-08-26,5,0,3,0,5462,0,5462,0,108431624,0,108431624,0,19852.0,19852.0,,,0.0
2020-08-25,1,0,2,0,790,0,790,0,15380510,0,15380510,0,19469.0,19469.0,,,0.0
2020-08-24,1,0,1,0,484,0,484,0,9422996,0,9422996,0,19469.0,19469.0,,,0.0
2020-08-16,1,0,1,0,200,0,200,0,3970200,0,3970200,0,19851.0,19851.0,,,0.0
2020-08-15,1,0,2,0,494,0,494,0,9617686,0,9617686,0,19469.0,19469.0,,,0.0
2020-08-12,1,0,2,0,1504,0,1504,0,29279872,0,29279872,0,19468.0,19468.0,,,0.0
2020-08-10,1,0,1,0,1800,0,1800,0,35724600,0,35724600,0,19847.0,19847.0,,,0.0
2020-08-09,1,0,2,0,1580,0,1580,0,30753120,0,30753120,0,19464.0,19464.0,,,0.0
2020-08-05,1,0,1,0,484,0,484,0,9420576,0,9420576,0,19464.0,19464.0,,,0.0
2020-08-02,2,0,3,0,2712,0,2712,0,52780944,0,52780944,0,19462.0,19462.0,,,0.0
2020-07-26,1,0,2,0,2380,0,2380,0,47221580,0,47221580,0,19841.0,19841.0,,,0.0
2020-07-20,2,0,2,0,1327,0,1327,0,26326353,0,26326353,0,19839.0,19839.0,,,0.0
2020-07-19,1,0,1,0,508,0,508,0,9884156,0,9884156,0,19457.0,19457.0,,,0.0
2020-07-18,2,0,4,0,3266,0,3266,0,63540030,0,63540030,0,19455.0,19455.0,,,0.0
2020-07-14,1,0,1,0,1020,0,1020,0,20231700,0,20231700,0,19835.0,19835.0,,,0.0
2020-07-12,1,0,2,0,768,0,768,0,14939904,0,14939904,0,19453.0,19453.0,,,0.0
2020-07-11,3,0,2,0,11528,0,11528,0,224161960,0,224161960,0,19445.0,19445.0,,,0.0
2020-06-27,1,0,1,0,641,0,641,0,12464245,0,12464245,0,19445.0,19445.0,,,0.0
2020-06-23,1,0,3,0,1868,0,1868,0,36321392,0,36321392,0,19444.0,19444.0,,,0.0
2020-06-15,3,0,4,0,5048,0,5048,0,100041264,0,100041264,0,19818.0,19818.0,,,0.0
2020-06-01,1,0,1,0,1360,0,1360,0,26432960,0,26432960,0,19436.0,19436.0,,,0.0
2020-05-30,1,0,1,0,484,0,484,0,9407024,0,9407024,0,19436.0,19436.0,,,0.0
2020-05-27,1,0,1,0,200,0,200,0,3963400,0,3963400,0,19817.0,19817.0,,,0.0
2020-05-23,1,0,2,0,968,0,968,0,18813080,0,18813080,0,19435.0,19435.0,,,0.0
2020-05-20,2,0,1,0,1364,0,1364,0,26507976,0,26507976,0,19434.0,19434.0,,,0.0
2020-05-19,1,0,2,0,300,0,300,0,5944500,0,5944500,0,19815.0,19815.0,,,0.0
2020-05-13,1,0,1,0,50,0,50,0,990750,0,990750,0,19815.0,19815.0,,,0.0
2020-05-09,3,0,2,0,2050,0,2050,0,40614600,0,40614600,0,19812.0,19812.0,,,0.0
2020-04-26,1,0,1,0,2845,0,2845,0,55272660,0,55272660,0,19428.0,19428.0,,,0.0
2020-04-25,4,0,3,0,8066,0,8066,0,156657852,0,156657852,0,19422.0,19422.0,,,0.0
2020-04-21,1,0,1,0,484,0,484,0,9584168,0,9584168,0,19802.0,19802.0,,,0.0
2020-04-14,6,0,1,0,2588,0,2588,0,50256372,0,50256372,0,19419.0,19419.0,,,0.0
2020-04-11,2,0,1,0,484,0,484,0,9582716,0,9582716,0,19799.0,19799.0,,,0.0
2020-04-07,1,0,1,0,740,0,740,0,14368580,0,14368580,0,19417.0,19417.0,,,0.0
2020-03-30,6,0,2,0,2844,0,2844,0,55216260,0,55216260,0,19415.0,19415.0,,,0.0
2020-03-04,4,0,3,0,3639,0,3639,0,70640268,0,70640268,0,19412.0,19412.0,,,0.0
2020-03-02,1,0,3,0,2901,0,2901,0,56308410,0,56308410,0,19410.0,19410.0,,,0.0
2019-12-31,1,0,4,0,3680,0,3680,0,70030400,0,70030400,0,19030.0,19030.0,,,0.0
2019-12-03,1,0,2,0,620,0,620,0,11345380,0,11345380,0,18299.0,18299.0,,,0.0
2019-11-13,1,0,1,0,680,0,680,0,12199880,0,12199880,0,17941.0,17941.0,,,0.0
2019-11-04,1,0,2,0,1080,0,1080,0,18997200,0,18997200,0,17590.0,17590.0,,,0.0
2019-10-14,2,0,3,0,5027,0,5027,0,86695642,0,86695642,0,17246.0,17246.0,,,0.0
2019-10-13,1,0,1,0,436,0,436,0,7371888,0,7371888,0,16908.0,16908.0,,,0.0
2019-10-08,1,0,1,0,1,0,1,0,16908,0,16908,0,16908.0,16908.0,,,0.0
2019-10-07,2,0,2,0,2316,0,2316,0,38392332,0,38392332,0,16577.0,16577.0,,,0.0
2019-10-05,1,0,1,0,484,0,484,0,7865968,0,7865968,0,16252.0,16252.0,,,0.0
2019-10-01,2,0,2,0,1881,0,1881,0,29971854,0,29971854,0,15934.0,15934.0,,,0.0
2019-09-29,1,0,2,0,1504,0,1504,0,23495488,0,23495488,0,15622.0,15622.0,,,0.0
2019-09-23,1,0,1,0,1,0,1,0,15316,0,15316,0,15316.0,15316.0,,,0.0
2019-09-22,1,0,1,0,1,0,1,0,15316,0,15316,0,15316.0,15316.0,,,0.0
2019-09-21,1,0,2,0,486,0,486,0,7443576,0,7443576,0,15316.0,15316.0,,,0.0
2019-09-18,1,0,3,0,2025,0,2025,0,31014900,0,31014900,0,15316.0,15316.0,,,0.0
2018-11-19,1,0,1,0,25,0,25,0,975000,0,975000,0,39000.0,39000.0,,,0.0
2018-11-14,8,1,12,0,6869,4416,11285,0,242915000,154560000,397475000,0,35363.95399621488,35221.53300841826,35000.0,,-4416.0
2018-11-12,1,0,1,0,30,0,30,0,1053000,0,1053000,0,35100.0,35100.0,,,0.0
2018-11-10,2,0,1,0,130,0,130,0,4550000,0,4550000,0,35000.0,35000.0,,,0.0
2018-11-05,1,0,1,0,30,0,30,0,1047000,0,1047000,0,34900.0,34900.0,,,0.0
2018-10-31,1,0,7,0,1970,0,1970,0,62677950,0,62677950,0,31816.218274111674,31816.218274111674,,,0.0
2018-10-29,3,0,2,0,831,0,831,0,24930000,0,24930000,0,30000.0,30000.0,,,0.0
2018-10-27,1,0,2,0,289,0,289,0,8727800,0,8727800,0,30200.0,30200.0,,,0.0
2018-10-24,1,0,1,0,333,0,333,0,14928390,0,14928390,0,44830.0,44830.0,,,0.0
2018-10-22,2,0,2,0,263,0,263,0,12495831,0,12495831,0,47512.665399239544,47512.665399239544,,,0.0
2018-10-17,10,0,5,0,3700,0,3700,0,166500000,0,166500000,0,45000.0,45000.0,,,0.0
2018-10-10,7,0,1,0,1128,0,1128,0,65308944,0,65308944,0,57898.0,57898.0,,,0.0
2018-10-08,1,0,2,0,1095,0,1095,0,13687500,0,13687500,0,12500.0,12500.0,,,0.0
2018-10-06,1,0,1,0,59,0,59,0,2949882,0,2949882,0,49998.0,49998.0,,,0.0
2018-10-03,6,0,5,0,3606,0,3606,0,194738424,0,194738424,0,54004.0,54004.0,,,0.0
2018-09-26,1,0,1,0,300,0,300,0,12000000,0,12000000,0,40000.0,40000.0,,,0.0
2018-09-22,2,0,5,0,363,0,363,0,18150000,0,18150000,0,50000.0,50000.0,,,0.0
2018-09-17,11,0,4,0,2256,0,2256,0,112800077,0,112800077,0,50000.03413120568,50000.03413120568,,,0.0
2018-09-12,1,0,1,0,83,0,83,0,3734917,0,3734917,0,44999.0,44999.0,,,0.0
2018-08-27,1,0,1,0,484,0,484,0,12584000,0,12584000,0,26000.0,26000.0,,,0.0
2018-08-20,5,0,5,0,2103,0,2103,0,41008500,0,41008500,0,19500.0,19500.0,,,0.0
2018-08-18,1,0,2,0,50,0,50,0,1000000,0,1000000,0,20000.0,20000.0,,,0.0
2018-08-15,1,0,1,0,49,0,49,0,762440,0,762440,0,15560.0,15560.0,,,0.0
2018-08-04,4,0,1,0,680,0,680,0,10210200,0,10210200,0,15015.0,15015.0,,,0.0
