date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-09-28,1750,1,861,0,2070500,300,2070800,0,119403140080,16479000,119419619080,0,57668.74671818401,57668.34995170948,54930.0,,-300.0
2020-09-27,360,1,101,0,331395,15000,346395,0,18597224610,841770000,19438994610,0,56118.0,56118.0,56118.0,,-15000.0
2020-09-26,683,0,301,0,641400,0,641400,0,37528409171,0,37528409171,0,58510.14838010602,58510.14838010602,,,0.0
2020-09-23,924,0,764,0,1398679,0,1398679,0,85468596263,0,85468596263,0,61106.65582524653,61106.65582524653,,,0.0
2020-09-22,425,1,358,0,727280,200000,927280,0,45708552826,12567600000,58276152826,0,62848.631649433504,62846.33856656026,62838.0,,-200000.0
2020-09-21,130,2,205,0,125447,501241,626688,0,8252280001,32973136703,41225416704,0,65783.0,65783.0,65783.0,,-501241.0
2020-09-20,166,0,4,0,146291,0,146291,0,9725133098,0,9725133098,0,66478.0,66478.0,,,0.0
2020-09-19,399,0,213,0,286405,0,286405,0,19437422486,0,19437422486,0,67866.91044499922,67866.91044499922,,,0.0
2020-09-16,1175,1,800,0,1324231,100000,1424231,0,94741271323,7000000000,101741271323,0,71544.36901341232,71435.9337235322,70000.0,,-100000.0
2020-09-15,1134,0,661,2,1669262,0,1568662,100600,121454219565,0,114091425565,7362794000,72759.23106438653,72731.68188239404,,73188.80715705766,100600.0
2020-09-14,1076,3,894,0,1501010,650000,2151010,0,104852214271,45084650000,149936864271,0,69854.44085715618,69705.33111003668,69361.0,,-650000.0
2020-09-13,547,2,239,0,517605,150000,667605,0,37822766468,10920000000,48742766468,0,73072.64510195999,73011.38617595733,72800.0,,-150000.0
2020-09-12,1392,1,563,0,1523690,3000,1526690,0,116767053656,225000000,116992053656,0,76634.3899717134,76631.17833744899,75000.0,,-3000.0
2020-09-09,1320,0,884,1,1745980,0,1688999,56981,131414724131,0,127103052127,4311672004,75267.02718874214,75253.47979898153,,75668.59135501308,56981.0
2020-09-08,366,0,67,0,373425,0,373425,0,28347438600,0,28347438600,0,75912.0,75912.0,,,0.0
2020-09-07,3077,1,1456,1,7585148,6500,7569629,22019,606131704666,494000000,604908883236,1716821430,79910.33328103815,79912.6196589027,76000.0,77970.0,15519.0
2020-09-06,13,0,245,2,632240,0,426570,205670,49804706000,0,33603051750,16201654250,78775.0,78775.0,,78775.0,205670.0
2020-09-05,8,1,310,1,219971,129000,248971,100000,16896852394,9909006000,19124458394,7681400000,76814.0,76814.0,76814.0,76814.0,-29000.0
2020-09-02,344,2,461,1,812005,115000,899528,27477,59406468569,8410600000,65809708857,2007359712,73160.2250835894,73160.26722570059,73135.65217391304,73056.0,-87523.0
