date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-09-15,27,0,147,0,610836,0,610836,0,15026565600,0,15026565600,0,24600.0,24600.0,,,0.0
2020-09-14,17,0,122,1,505581,0,504381,1200,12295729920,0,12266545920,29184000,24320.0,24320.0,,24320.0,1200.0
2020-09-13,36,0,185,0,854463,0,854463,0,20387487180,0,20387487180,0,23860.0,23860.0,,,0.0
2020-09-12,395,0,646,0,4269543,0,4269543,0,97059447890,0,97059447890,0,22732.982871937347,22732.982871937347,,,0.0
2020-09-09,85,0,39,0,568581,0,568581,0,12468981330,0,12468981330,0,21930.0,21930.0,,,0.0
2020-09-08,4,0,1,0,46340,0,46340,0,1017163000,0,1017163000,0,21950.0,21950.0,,,0.0
2020-09-07,1,0,1,0,444,0,444,0,9745800,0,9745800,0,21950.0,21950.0,,,0.0
2020-09-02,43,0,7,0,86635,0,86635,0,1905970000,0,1905970000,0,22000.0,22000.0,,,0.0
2020-09-01,53,0,16,0,177187,0,177187,0,3914060830,0,3914060830,0,22090.0,22090.0,,,0.0
2020-08-31,339,2,520,1,3077750,7300,3065050,20000,71557181490,163348000,71228529490,492000000,23249.835590934937,23238.945364675943,22376.438356164384,24600.0,12700.0
2020-08-26,904,1,689,0,5184541,3629,5188170,0,122016576730,84635790,122101212520,0,23534.692218655422,23534.54349414148,23322.06944061725,,-3629.0
2020-08-25,153,1,215,0,1280961,1000,1281961,0,30653396730,23930000,30677326730,0,23930.0,23930.0,23930.0,,-1000.0
2020-08-24,21,0,2,0,38651,0,38651,0,925691450,0,925691450,0,23950.0,23950.0,,,0.0
2020-08-23,20,1,5,0,40532,1000,41532,0,971957360,23980000,995937360,0,23980.0,23980.0,23980.0,,-1000.0
2020-08-22,152,1,134,0,1162612,1000,1163612,0,28752804690,24710000,28777514690,0,24731.212726171758,24731.19449610351,24710.0,,-1000.0
2020-08-19,45,2,3,0,43946,1300,45246,0,1087224040,32162000,1119386040,0,24740.0,24740.0,24740.0,,-1300.0
2020-08-18,497,3,388,1,2755909,5096,2722005,39000,71765756910,131087160,70881108470,1015735600,26040.684547276414,26040.03610206447,25723.540031397173,26044.502564102564,33904.0
2020-08-17,67,2,2,0,212656,2500,215156,0,5499284160,64650000,5563934160,0,25860.0,25860.0,25860.0,,-2500.0
2020-08-16,45,1,2,0,110922,500,111422,0,2877316680,12970000,2890286680,0,25940.0,25940.0,25940.0,,-500.0
2020-08-15,63,0,4,0,173932,0,173932,0,4532667920,0,4532667920,0,26060.0,26060.0,,,0.0
2020-08-12,162,0,85,0,808279,0,808279,0,21589132090,0,21589132090,0,26710.0,26710.0,,,0.0
2020-08-11,85,0,58,0,353852,0,353852,0,9550465480,0,9550465480,0,26990.0,26990.0,,,0.0
2020-08-10,177,0,192,0,880550,0,880550,0,24417651500,0,24417651500,0,27730.0,27730.0,,,0.0
2020-08-09,444,0,349,0,1465146,0,1465146,0,42595129110,0,42595129110,0,29072.276148588604,29072.276148588604,,,0.0
2020-08-05,455,0,430,0,1590242,0,1590242,0,47469286360,0,47469286360,0,29850.353820361932,29850.353820361932,,,0.0
2020-08-04,622,0,587,1,2649523,0,2349523,300000,83200676690,0,73869401710,9331274980,31402.134153959032,31440.169647200728,,31104.249933333333,300000.0
2020-08-03,955,0,549,0,3458293,0,3458293,0,109748064370,0,109748064370,0,31734.75017009837,31734.75017009837,,,0.0
2020-08-02,83,0,249,1,1143143,0,1142718,425,35711323930,0,35698046930,13277000,31239.594635141886,31239.594484378475,,31240.0,425.0
2020-08-01,129,0,222,0,638743,0,638743,0,19596635240,0,19596635240,0,30680.0,30680.0,,,0.0
2020-07-29,604,1,508,0,3693278,500,3693778,0,107917498930,14570000,107932068930,0,29219.977193701638,29219.966367767636,29140.0,,-500.0
2020-07-28,762,1,772,0,4606502,9300,4615802,0,141266913470,278907000,141545820470,0,30666.85165229495,30665.487919542476,29990.0,,-9300.0
2020-07-27,389,0,326,0,2129243,0,2129243,0,67203236310,0,67203236310,0,31562.032285652695,31562.032285652695,,,0.0
2020-07-26,579,1,441,0,2290939,100000,2390939,0,76062762930,3315500000,79378262930,0,33201.56622677426,33199.61861427665,33155.0,,-100000.0
2020-07-25,835,4,973,2,5319335,162005,5210690,270650,184797095200,5659574200,181002815720,9453853680,34740.63867005932,34736.82290061393,34934.56498256227,34930.18171069647,108645.0
2020-07-22,138,0,6,0,236042,0,236042,0,8195378240,0,8195378240,0,34720.0,34720.0,,,0.0
2020-07-21,402,0,176,0,877447,0,877447,0,31903989060,0,31903989060,0,36360.018394273386,36360.018394273386,,,0.0
2020-07-20,1546,1,835,1,5220721,50000,5258498,12223,192824291740,1865191700,194246766380,442717060,36934.41801237798,36939.59118744554,37303.834,36220.0,-37777.0
2020-07-19,1044,2,365,0,2610251,1500,2611751,0,99495479050,56865000,99552344050,0,38117.20752142227,38117.08851647803,37910.0,,-1500.0
2020-07-18,1556,4,967,0,5899466,39903,5939369,0,235406639550,1576225280,236982864830,0,39903.04199566537,39900.34376210671,39501.42295065534,,-39903.0
2020-07-15,184,0,217,0,1080514,0,1080514,0,42410174500,0,42410174500,0,39250.0,39250.0,,,0.0
2020-07-14,224,0,229,0,685103,0,685103,0,26239444900,0,26239444900,0,38300.0,38300.0,,,0.0
2020-07-13,817,2,831,2,5234652,22000,5253152,3500,190973876420,789580000,191634736420,128720000,36482.63082627078,36479.95268745317,35890.0,36777.142857142855,-18500.0
2020-07-12,989,0,703,0,4880407,0,4880407,0,175137877040,0,175137877040,0,35885.91628526063,35885.91628526063,,,0.0
2020-07-11,419,0,216,0,1660910,0,1660910,0,57650186100,0,57650186100,0,34710.0,34710.0,,,0.0
2020-07-08,792,0,433,0,4167469,0,4167469,0,152234502470,0,152234502470,0,36529.246521089895,36529.246521089895,,,0.0
2020-07-07,12,0,161,0,561200,0,561200,0,21045000000,0,21045000000,0,37500.0,37500.0,,,0.0
2020-07-06,21,0,153,1,1085834,0,1085833,1,39339765820,0,39339729590,36230,36230.0,36230.0,,36230.0,1.0
2020-07-05,6,0,153,0,719105,0,719105,0,25463508050,0,25463508050,0,35410.0,35410.0,,,0.0
2020-07-04,114,0,280,0,1352886,0,1352886,0,45903421980,0,45903421980,0,33930.0,33930.0,,,0.0
2020-07-01,111,0,269,0,1765425,0,1765425,0,57199770000,0,57199770000,0,32400.0,32400.0,,,0.0
2020-06-30,203,0,248,0,929832,0,929832,0,29391989520,0,29391989520,0,31610.0,31610.0,,,0.0
2020-06-29,392,1,550,0,3515938,120000,3635938,0,105899265340,3586788740,109486054080,0,30119.776099578547,30112.189503781417,29889.906166666668,,-120000.0
2020-06-28,338,1,414,0,6202662,50000,6252662,0,181366171840,1467500000,182833671840,0,29240.054002620167,29240.933196133105,29350.0,,-50000.0
2020-06-27,81,1,166,0,1434540,100000,1534540,0,40454028000,2820000000,43274028000,0,28200.0,28200.0,28200.0,,-100000.0
2020-06-21,372,0,513,1,3002382,0,2977382,25000,80647344970,0,80019844970,627500000,26861.12059358203,26875.908086365806,,25100.0,25000.0
2020-06-20,580,1,347,0,2397302,1000,2398302,0,62796049850,26120000,62822169850,0,26194.467718293316,26194.436668109352,26120.0,,-1000.0
2020-06-16,464,0,307,2,1798846,0,1757336,41510,45299335830,0,44281843020,1017492810,25182.442426978185,25198.27911110909,,24511.99253192002,41510.0
2020-06-15,478,0,368,0,2625746,0,2625746,0,63582535900,0,63582535900,0,24215.03675526879,24215.03675526879,,,0.0
2020-06-14,654,0,574,0,3899692,0,3899692,0,90274539600,0,90274539600,0,23149.146035122772,23149.146035122772,,,0.0
2020-06-13,193,0,186,1,1253434,0,1253427,7,28828982000,0,28828821000,161000,23000.0,23000.0,,23000.0,7.0
2020-06-10,123,0,179,0,961814,0,961814,0,21736996400,0,21736996400,0,22600.0,22600.0,,,0.0
2020-06-01,58,0,212,0,1537783,0,1537783,0,28833431250,0,28833431250,0,18750.0,18750.0,,,0.0
2020-05-31,363,0,965,0,7988632,0,7988632,0,142662578313,0,142662578313,0,17858.19878960503,17858.19878960503,,,0.0
2020-05-30,534,0,601,1,3713370,0,3686147,27223,65653240949,0,65159856284,493384665,17680.2314202463,17676.955445347132,,18123.816809315653,27223.0
2020-05-27,371,0,626,0,3711612,0,3711612,0,66703357852,0,66703357852,0,17971.53308373828,17971.53308373828,,,0.0
2020-05-26,127,0,28,0,359653,0,359653,0,6423402580,0,6423402580,0,17860.0,17860.0,,,0.0
2020-05-23,735,1,745,0,6040186,104000,6144186,0,113550882461,1952306000,115503188461,0,18799.236060114705,18798.777976610734,18772.173076923078,,-104000.0
2020-05-20,113,1,408,0,1868009,48619,1916628,0,34548826455,899208405,35448034860,0,18495.0,18495.0,18495.0,,-48619.0
2020-05-19,129,0,271,0,2016004,0,2016004,0,36144935716,0,36144935716,0,17929.0,17929.0,,,0.0
2020-05-18,47,0,227,0,1422079,0,1422079,0,24941843581,0,24941843581,0,17539.0,17539.0,,,0.0
2020-05-17,187,0,279,0,1631784,0,1631784,0,27905138184,0,27905138184,0,17101.0,17101.0,,,0.0
2020-05-16,481,0,951,1,7989730,0,7939730,50000,130128427741,0,129306227741,822200000,16286.961854906236,16285.97291608153,,16444.0,50000.0
2020-05-13,719,1,621,0,4962764,14351,4977115,0,77836637279,218895803,78055533082,0,15684.13031105247,15682.887191073543,15253.0,,-14351.0
2020-05-12,261,0,204,0,1612023,0,1612023,0,25250728272,0,25250728272,0,15664.0,15664.0,,,0.0
2020-05-11,467,0,139,0,1539607,0,1539607,0,24787366112,0,24787366112,0,16099.80086606517,16099.80086606517,,,0.0
2020-05-10,768,0,663,1,4041373,0,4029373,12000,68216697058,0,68017821058,198876000,16879.584502098667,16880.49755085965,,16573.0,12000.0
2020-05-09,624,0,479,0,3241404,0,3241404,0,55438139095,0,55438139095,0,17103.125403374586,17103.125403374586,,,0.0
2020-05-06,850,0,749,2,6250354,0,6046554,203800,101896365270,0,98602478098,3293887172,16302.495069879242,16307.218640237068,,16162.351187438666,203800.0
2020-05-05,768,0,281,1,2681329,0,2681229,100,45419252653,0,45417552853,1699800,16939.08231813403,16939.08012072076,,16998.0,100.0
2020-05-04,1156,0,690,1,4838314,0,4806555,31759,84777880076,0,84224287430,553592646,17522.194730643772,17522.796978293187,,17431.047765987594,31759.0
2020-05-03,826,0,350,0,3463084,0,3463084,0,63325404198,0,63325404198,0,18285.841232265808,18285.841232265808,,,0.0
2020-05-02,751,0,472,1,3545471,0,3545146,325,61752143315,0,61746469465,5673850,17417.190357783213,17417.18661657376,,17458.0,325.0
2020-04-29,1057,0,679,1,5687714,0,5687686,28,94570645685,0,94570173241,472444,16627.180214230182,16627.17900408004,,16873.0,28.0
2020-04-28,1284,0,601,0,5809185,0,5809185,0,93355620037,0,93355620037,0,16070.347223749975,16070.347223749975,,,0.0
2020-04-27,896,2,666,2,5813706,150026,5848832,114900,97708922992,2460979852,98212522798,1957380046,16806.650180108867,16791.81805837473,16403.689040566303,17035.50953872933,-35126.0
2020-04-26,926,1,752,1,7024341,1800,6998459,27682,120529097366,31284000,120085094415,475286951,17158.776512415898,17158.790873105067,17380.0,17169.530778122968,25882.0
2020-04-25,385,1,238,0,2829185,15000,2844185,0,47881126940,253860000,48134986940,0,16924.0,16924.0,16924.0,,-15000.0
2020-04-22,199,0,210,2,3380750,0,1690631,1690119,54494221137,0,27251192976,27243028161,16118.973936848333,16118.947881589773,,16119.0,1690119.0
2020-04-21,474,1,735,0,4342053,71187,4413240,0,66638456015,1113899350,67752355365,0,15347.223079727493,15352.066818255975,15647.510781462908,,-71187.0
2020-04-20,747,1,564,0,4438229,1432,4439661,0,66146748171,21193600,66167941771,0,14903.861015508663,14903.827515434174,14800.0,,-1432.0
2020-04-19,866,1,469,0,4945100,42412,4987512,0,75588414638,641414800,76229829438,0,15285.517914299004,15284.139554551448,15123.427331887202,,-42412.0
2020-04-18,838,1,365,0,3788078,326,3788404,0,59843379514,5135804,59848515318,0,15797.82135267542,15797.817581757385,15754.0,,-326.0
2020-04-15,459,1,623,1,3520267,100000,3549025,71242,53306081624,1510269128,53731314058,1085036694,15142.624586146449,15139.739522263157,15102.69128,15230.29524718565,-28758.0
2020-04-14,553,1,821,1,3839925,101787,3940212,1500,56643224484,1476518573,58097981613,21761444,14751.127817340182,14744.887232717427,14505.964150628273,14507.629333333334,-100287.0
2020-04-13,765,1,485,0,3545154,1000000,4545154,0,54284420842,15112016660,69396437502,0,15312.288504815306,15268.225785528939,15112.01666,,-1000000.0
2020-04-12,470,0,578,0,3746286,0,3746286,0,59592444709,0,59592444709,0,15907.072954120427,15907.072954120427,,,0.0
2020-04-11,1010,2,606,0,6254436,55477,6309913,0,97817979702,862361534,98680341236,0,15639.776264718354,15638.938482353085,15544.487517349533,,-55477.0
2020-04-08,394,1,511,0,2993117,51876,3044993,0,49326924830,783019786,50109944616,0,16480.119163400563,16456.505685234744,15094.066350528183,,-51876.0
2020-04-07,367,1,276,0,2974130,12000,2986130,0,47456466359,191484000,47647950359,0,15956.419645072676,15956.421977274935,15957.0,,-12000.0
2020-04-06,138,0,208,0,1411264,0,1411264,0,22087692864,0,22087692864,0,15651.0,15651.0,,,0.0
2020-04-05,557,1,211,0,3836272,100000,3936272,0,57183193510,1490600000,58673793510,0,14905.92781481605,14905.929648662492,14906.0,,-100000.0
2020-04-04,691,1,880,0,7850456,200000,8050456,0,111458310914,2831773321,114290084235,0,14197.686212622553,14196.721804951172,14158.866605,,-200000.0
2020-03-30,1045,1,357,0,5328527,47766,5376293,0,73993567139,674851474,74668418613,0,13886.30800575844,13888.457830144302,14128.281078591466,,-47766.0
2020-03-25,753,0,347,1,5285338,0,5156488,128850,70096617726,0,68364386276,1732231450,13262.466416717341,13257.935687235187,,13443.783081102056,128850.0
