date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-04-11,66,0,61,0,1966218,0,1966218,0,5341809411,0,5341809411,0,2716.794074207438,2716.794074207438,,,0.0
2020-04-08,54,0,73,2,2328095,0,1861162,466933,6386045795,0,5105248576,1280797219,2743.034882597145,2743.043634030783,,2743.0,466933.0
2020-04-07,99,0,99,0,2310781,0,2310781,0,6400055251,0,6400055251,0,2769.650283172659,2769.650283172659,,,0.0
2020-04-06,12,0,13,0,524581,0,524581,0,1446269817,0,1446269817,0,2757.0,2757.0,,,0.0
2020-04-05,16,0,1,0,27850,0,27850,0,77562250,0,77562250,0,2785.0,2785.0,,,0.0
2020-04-04,56,0,13,0,565730,0,565730,0,1580649620,0,1580649620,0,2794.0,2794.0,,,0.0
2020-03-30,19,0,1,0,31883,0,31883,0,89112985,0,89112985,0,2795.0,2795.0,,,0.0
2020-03-29,172,0,108,0,3221123,0,3221123,0,9091745216,0,9091745216,0,2822.538976623991,2822.538976623991,,,0.0
2020-03-28,63,0,1,0,258014,0,258014,0,736113942,0,736113942,0,2853.0,2853.0,,,0.0
2020-03-25,22,0,1,0,91597,0,91597,0,261417838,0,261417838,0,2854.0,2854.0,,,0.0
2020-03-24,8,0,2,0,215289,0,215289,0,615080673,0,615080673,0,2857.0,2857.0,,,0.0
2020-03-18,18,0,3,0,214983,0,214983,0,609476805,0,609476805,0,2835.0,2835.0,,,0.0
2020-03-17,8,0,2,0,33617,0,33617,0,96312705,0,96312705,0,2865.0,2865.0,,,0.0
2020-03-16,11,0,1,0,30479,0,30479,0,87322335,0,87322335,0,2865.0,2865.0,,,0.0
2020-03-15,2,0,2,0,3712,0,3712,0,10634880,0,10634880,0,2865.0,2865.0,,,0.0
2020-03-14,6,0,1,0,12296,0,12296,0,34871456,0,34871456,0,2836.0,2836.0,,,0.0
2020-03-11,12,0,3,0,176134,0,176134,0,505152312,0,505152312,0,2868.0,2868.0,,,0.0
2020-03-10,14,0,1,0,616103,0,616103,0,1772528331,0,1772528331,0,2877.0,2877.0,,,0.0
2020-03-09,8,0,3,0,45912,0,45912,0,132134736,0,132134736,0,2878.0,2878.0,,,0.0
2020-03-07,29,0,27,0,243322,0,243322,0,703278602,0,703278602,0,2890.320653290701,2890.320653290701,,,0.0
2020-03-04,101,2,126,0,4809184,342000,5151184,0,13996919937,994878000,14991797937,0,2910.456313794606,2910.359625476395,2909.0,,-342000.0
2020-03-03,21,0,2,0,59598,0,59598,0,175218120,0,175218120,0,2940.0,2940.0,,,0.0
2020-03-02,53,0,1,0,128218,0,128218,0,377217356,0,377217356,0,2942.0,2942.0,,,0.0
2020-03-01,85,0,29,0,1126672,0,1126672,0,3347012907,0,3347012907,0,2970.707452568272,2970.707452568272,,,0.0
2020-02-29,93,1,49,0,3231685,5000,3236685,0,9655994695,14945000,9670939695,0,2987.9133315901768,2987.9150102651324,2989.0,,-5000.0
2020-02-26,56,0,16,0,2656073,0,2656073,0,7861166930,0,7861166930,0,2959.695358523655,2959.695358523655,,,0.0
2020-02-25,1,0,6,0,57306,0,57306,0,167963886,0,167963886,0,2931.0,2931.0,,,0.0
2020-02-24,1,0,6,0,67163,0,67163,0,193026462,0,193026462,0,2874.0,2874.0,,,0.0
2020-02-23,4,0,8,0,304794,0,304794,0,867443724,0,867443724,0,2846.0,2846.0,,,0.0
2020-02-22,53,0,14,0,1949359,0,1949359,0,5493209335,0,5493209335,0,2817.95674116466,2817.95674116466,,,0.0
2020-02-19,2,0,11,0,50174,0,50174,0,140035634,0,140035634,0,2791.0,2791.0,,,0.0
2020-02-17,12,0,13,0,305462,0,305462,0,836049494,0,836049494,0,2737.0,2737.0,,,0.0
2020-02-16,4,0,10,0,138674,0,138674,0,375806540,0,375806540,0,2710.0,2710.0,,,0.0
2020-02-15,2,0,7,0,60273,0,60273,0,161772732,0,161772732,0,2684.0,2684.0,,,0.0
2020-02-12,2,0,3,0,101009,0,101009,0,265855688,0,265855688,0,2632.0,2632.0,,,0.0
2020-02-10,2,0,17,0,139670,0,139670,0,363980020,0,363980020,0,2606.0,2606.0,,,0.0
2020-02-09,25,0,10,1,2249593,0,249593,2000000,5806199533,0,644199533,5162000000,2581.0,2581.0,,2581.0,2000000.0
2020-02-08,1,0,10,0,50911,0,50911,0,130128516,0,130128516,0,2556.0,2556.0,,,0.0
2020-02-05,4,0,16,0,126694,0,126694,0,317495164,0,317495164,0,2506.0,2506.0,,,0.0
2020-02-04,3,0,17,0,171814,0,171814,0,426442348,0,426442348,0,2482.0,2482.0,,,0.0
2020-02-02,54,0,10,1,1265704,0,265704,1000000,3111100432,0,653100432,2458000000,2458.0,2458.0,,2458.0,1000000.0
2020-02-01,77,0,26,1,2847841,0,1447841,1400000,6863855015,0,3482855015,3381000000,2410.196009889597,2405.550757990691,,2415.0,1400000.0
2020-01-28,3,0,12,0,196050,0,196050,0,468951600,0,468951600,0,2392.0,2392.0,,,0.0
2020-01-27,3,0,17,0,335694,0,335694,0,795259086,0,795259086,0,2369.0,2369.0,,,0.0
2020-01-26,5,0,19,0,278095,0,278095,0,652410870,0,652410870,0,2346.0,2346.0,,,0.0
2020-01-25,54,0,23,0,3299880,0,3299880,0,7589724000,0,7589724000,0,2300.0,2300.0,,,0.0
2020-01-22,117,0,52,0,6553194,0,6553194,0,14927195415,0,14927195415,0,2277.850375709921,2277.850375709921,,,0.0
2020-01-21,16,0,15,0,523867,0,523867,0,1184987154,0,1184987154,0,2262.0,2262.0,,,0.0
2020-01-20,17,0,21,0,1022627,0,1022627,0,2290684480,0,2290684480,0,2240.0,2240.0,,,0.0
2020-01-19,8,0,32,0,505107,0,505107,0,1109720079,0,1109720079,0,2197.0,2197.0,,,0.0
2020-01-18,3,0,23,0,197334,0,197334,0,429398784,0,429398784,0,2176.0,2176.0,,,0.0
2020-01-15,3,0,12,0,73565,0,73565,0,158532575,0,158532575,0,2155.0,2155.0,,,0.0
2020-01-14,65,1,51,1,7516026,5000,1118984,6402042,16037869060,10655000,2406105219,13642418841,2133.8229883717804,2150.2588231824584,2131.0,2130.948038297781,6397042.0
2020-01-13,72,1,26,1,1447056,10000,418575,1038481,3112903616,21480000,900034359,2234349257,2151.1977532313886,2150.234388102491,2148.0,2151.555259075515,1028481.0
2020-01-12,102,1,34,1,3384163,10000,628041,2766122,7340365651,21710000,1360313446,6001762205,2169.0343080401267,2165.962804976108,2171.0,2169.7387913475977,2756122.0
2020-01-11,101,1,44,1,5389568,20000,1095090,4314478,11585384759,43100000,2343398455,9285086304,2149.5943198044815,2139.914029897086,2155.0,2152.0764050714824,4294478.0
2020-01-04,9,0,1,0,78112,0,78112,0,168331360,0,168331360,0,2155.0,2155.0,,,0.0
2020-01-01,42,0,14,1,1992554,0,227735,1764819,4335844442,0,495598298,3840246144,2176.0235567016002,2176.206107976376,,2176.0,1764819.0
2019-12-31,33,0,27,1,1177599,0,377399,800200,2587745390,0,830324657,1757420733,2197.4758725168754,2200.124157721669,,2196.226859535116,800200.0
2019-12-30,64,0,24,1,1386719,0,536719,850000,3074476028,0,1192507314,1881968714,2217.0865388013,2221.846653462985,,2214.08084,850000.0
